0: [[2, 1, 13, 10], [22, 4], [6, 5, 3], [11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20], [21, 23, 24]]
1: [[13, 2, 10, 1], [22, 4], [6, 5, 3], [11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20], [21, 23, 24]]
2: [[13, 2, 10, 1], [22, 4], [6, 5, 3], [11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20], [21, 23, 24]]
3: [[13, 2, 10, 1], [22, 4], [6, 5, 3], [11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20], [21, 23, 24]]
4: [[13, 2, 10, 1], [22, 4], [6, 5, 3], [11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20], [21, 23, 24]]
5: [[13, 2, 10, 1], [22, 4], [6, 5, 3], [11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20], [21, 23, 24]]
6: [[13, 2, 10, 1], [22, 4], [6, 5, 3], [11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20], [21, 23, 24]]
7: [[13, 2, 10, 1], [22, 4], [6, 5, 3], [11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20], [21, 23, 24]]
8: [[13, 2, 10, 1], [22, 4], [6, 5, 3], [11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20], [21, 23, 24]]
9: [[3, 2, 22, 4, 10], [6, 5, 13, 1], [11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20], [21, 23, 24]]
10: [[3, 2, 22, 4, 10], [6, 5, 13, 1], [11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20], [21, 23, 24]]
11: [[3, 2, 22, 4, 10], [6, 5, 13, 1], [11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20], [21, 23, 24]]
12: [[3, 10], [2, 22, 4, 6, 5, 13, 1], [11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20], [21, 23, 24]]
13: [[3, 10], [2, 22, 4, 6, 5, 13, 1], [11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20], [21, 23, 24]]
14: [[3, 10], [2, 22, 4, 6, 5, 13, 1], [11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20], [21, 23, 24]]
15: [[3, 10], [2, 22, 4, 6, 5, 13, 1], [11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20], [21, 23, 24]]
16: [[3, 10], [2, 22, 4, 6, 5, 13, 1], [11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20], [21, 23, 24]]
17: [[3, 10], [2, 22, 4, 6, 5, 13, 1], [11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20], [21, 23, 24]]
18: [[3, 10], [2, 22, 4, 6, 5, 13, 1], [11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20], [21, 23, 24]]
19: [[3, 10], [2, 22, 1], [4, 6, 5, 13], [11, 7, 8, 9, 14, 12, 15, 17, 16, 19, 18, 20], [21, 23, 24]]
20: [[3, 10], [2, 22, 1], [4, 6, 5, 13], [11, 7, 8, 9, 14, 12, 15, 17, 16, 19, 18, 20], [21, 23, 24]]
21: [[3, 10], [2, 22, 1], [4, 6, 5, 13], [11, 7, 8, 9, 14, 12, 15, 17, 16, 19, 18, 20], [21, 23, 24]]
22: [[13, 2, 10, 1], [22, 4], [6, 5, 3], [11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20, 21], [23, 24]]
23: [[3, 10], [2, 22, 1], [4, 6, 5, 11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20, 13], [21, 23, 24]]
24: [[3, 10], [2, 22, 1], [4, 6, 5, 11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20, 13], [21, 23, 24]]
25: [[3, 10], [2, 22, 1], [4, 6, 5, 11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20, 13], [21, 23, 24]]
26: [[3, 10], [2, 22, 1], [4, 6, 5, 11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20, 13], [21, 23, 24]]
27: [[3, 10], [2, 22, 1], [4, 6, 5, 11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20, 13], [21, 23, 24]]
28: [[3, 10], [2, 22, 1], [4, 6, 5, 11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20, 13], [21, 23, 24]]
29: [[3, 10], [2, 22, 1], [4, 6, 5, 11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20, 13], [21, 23, 24]]
30: [[3, 2, 22, 4, 6, 5, 11, 7], [8, 9, 13, 1], [14, 12, 10], [15, 17, 16, 19, 18, 20], [21, 23, 24]]
31: [[3, 2, 22, 4, 6, 5, 11, 7], [8, 9, 13, 1], [14, 12, 10], [15, 17, 16, 19, 18, 20], [21, 23, 24]]
32: [[3, 10], [2, 22, 4, 6, 5, 13, 1], [11, 7, 8, 9, 14, 12, 15, 17, 16, 19], [18, 20], [21, 23, 24]]
33: [[3, 10], [2, 22], [4, 6, 5, 11, 13, 1], [7, 8, 9, 14, 12, 15, 17, 16, 19, 18, 20], [21, 23, 24]]
34: [[3, 10], [2, 22], [4, 6, 13, 1], [5, 11, 7, 8, 9, 14, 12, 15, 17, 16, 19, 18, 20], [21, 23, 24]]
35: [[3, 10], [2, 22, 4, 6, 5, 13, 1], [11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20, 21], [23, 24]]
36: [[13, 2, 10, 1], [22, 4], [6, 5, 3], [11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18], [20, 21, 23, 24]]
37: [[13], [2, 22, 4, 6, 10, 3], [5, 11, 7, 8, 9, 14, 12, 15, 17], [16, 19, 1], [18, 20], [21, 23, 24]]
38: [[3, 2, 22, 4, 10], [6, 5, 13, 1], [11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18], [20, 21, 23, 24]]
39: [[3, 2, 22, 10], [4, 6, 13, 1], [5, 11], [7, 8], [9, 14, 12, 15, 17, 16, 19, 18, 20], [21, 23, 24]]
40: [[3, 10], [2, 22, 1], [4, 6, 5, 13], [11, 7, 8, 9, 14, 12, 15, 17, 16, 19, 18, 20, 21], [23, 24]]
41: [[3, 10], [2, 22, 1], [4, 6, 5, 11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20, 21, 13], [23, 24]]
42: [[3, 10], [2, 22, 1], [4, 6, 5, 11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 20, 21, 13], [23, 24]]
43: [[3, 10], [2, 22, 1], [4, 6, 5, 11, 7], [8, 9, 14, 12, 15, 17, 16, 19, 18, 13], [20, 21, 23, 24]]
44: [[13, 3, 2, 22, 4, 5, 11, 1, 6], [7, 8], [9, 14, 10], [12, 15, 17, 16, 19, 18], [20, 21], [23, 24]]
45: [[3, 10], [2, 22, 4, 6, 13, 1], [5, 11], [7, 8, 9, 14, 12, 15, 17, 16, 19, 18], [20, 21, 23, 24]]
46: [[3], [2, 22, 4, 6, 5, 11, 10, 1], [7, 8, 13], [9, 14, 12, 15, 17, 16, 19, 18, 20, 21], [23, 24]]
47: [[3, 2, 22, 10], [4, 6, 13, 1], [5, 11], [7, 8], [9, 14, 12, 15, 17, 16, 19, 18, 20, 21], [23, 24]]
48: [[13, 3, 10, 1], [2, 22], [6], [5, 11, 4], [7, 8, 9, 14, 12, 15, 17, 16, 19, 18, 20, 21], [23, 24]]
49: [[13, 10], [2, 22, 4, 6, 1], [5, 11, 7, 8, 9, 14, 12, 15], [17, 16, 3], [19, 18], [20, 21, 23, 24]]
