0: [[7, 5, 10, 2], [1, 8, 3], [4, 13], [9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
1: [[5, 7, 10, 2], [1, 8, 3], [4, 13], [9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
2: [[7, 5, 10, 2], [1, 8, 3], [4, 13], [9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
3: [[5, 7, 10], [2, 1, 8], [3, 4], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
4: [[5, 7, 10], [2, 1, 8], [3, 4], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
5: [[7, 5, 10], [2, 1, 8], [3, 4, 13], [9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
6: [[5, 7, 10], [2, 1, 8], [3, 4, 13, 9], [11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
7: [[10, 1, 8, 5, 7, 2], [3, 4], [13, 9, 11], [12, 6, 14, 15, 16], [17, 18, 19, 20]]
8: [[10, 1, 8, 5, 7, 2], [3, 4], [13, 9, 11], [12, 6, 14, 15, 16], [17, 18, 19, 20]]
9: [[7, 5, 10], [2, 1, 9], [3, 4, 13], [8, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
10: [[7, 3, 8], [10, 2, 1], [5, 4, 13], [9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
11: [[7, 5, 10], [2, 1], [9, 8, 4], [13, 11, 3, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
12: [[7, 5, 10, 2], [1, 8, 3], [4, 13, 9, 11], [12, 6, 14, 15], [16, 17, 18, 19, 20]]
13: [[7, 5, 10, 2], [1, 8, 3], [4, 13, 9, 11], [12, 6, 14, 15], [16, 17, 18, 19, 20]]
14: [[7, 5, 10, 2], [1, 8, 3], [13, 9, 4], [11, 12, 6], [14, 15, 16, 17], [18, 19, 20]]
15: [[5, 1, 2], [3, 7, 10], [8, 4, 13], [9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
16: [[7, 5, 10, 2], [1, 8, 3, 4], [13, 9], [11, 12, 6, 14], [15, 16, 17, 18, 19, 20]]
17: [[5, 1, 8, 7, 2], [3, 4, 13], [11, 9], [12, 10], [14, 15, 16, 6], [17, 18, 19, 20]]
18: [[5, 7, 10, 2, 1], [3, 8, 4, 13], [11, 9], [12, 6, 14, 15], [16, 17, 18, 19, 20]]
19: [[1, 8, 2], [5, 7, 10], [3, 4, 9], [11, 13, 12, 6, 14], [15, 16, 17, 18, 19, 20]]
20: [[5, 4, 11], [2, 1, 3, 7, 9], [13, 10, 8, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
21: [[5, 7, 10, 2], [9, 1, 3, 4, 13, 8, 11, 14, 6, 12, 15], [16, 17, 18, 19, 20]]
22: [[7, 5, 10], [2, 1, 8], [3, 4, 13, 9], [11, 12, 6, 14], [15, 16, 17, 18, 19], [20]]
23: [[5, 6, 14], [2, 1, 8], [3, 4, 13], [9, 11, 12, 7], [10, 15, 16], [17, 18, 19, 20]]
24: [[5, 7, 10, 2], [1, 9], [3, 4, 13, 8], [11, 14, 6, 12], [15, 16, 17, 18, 19, 20]]
25: [[1, 10, 2], [4, 13, 5], [3, 7, 8], [9, 11, 12, 6, 14], [15, 16, 17, 18, 19, 20]]
26: [[7, 5, 10], [2, 8, 1, 3, 4, 13, 9, 11, 12, 6, 14, 15], [16, 17, 18, 19, 20]]
27: [[7, 5, 10, 2, 8, 1, 3, 4, 13, 9, 11, 12], [6, 14, 15, 16, 17], [18, 19, 20]]
28: [[5, 6, 7], [2, 1, 8], [3, 4, 13], [9, 11, 12], [10, 14, 15], [16, 17], [18, 19, 20]]
29: [[4, 12, 10], [1, 2, 7], [3, 5], [13, 9, 11, 8], [6, 14, 15, 16], [17, 18, 19, 20]]
30: [[7, 3, 10], [2, 1, 4], [8, 5, 13], [9, 11, 12, 6], [14, 15, 16], [17, 18, 19, 20]]
31: [[2, 1, 9, 8, 11], [3, 4, 13, 6], [10, 12, 7, 14, 5], [15, 16, 17, 18], [19, 20]]
32: [[5, 6, 3], [2, 1, 8], [7, 4, 13, 10], [11, 12, 9, 14, 15, 16, 17, 18, 19, 20]]
33: [[7, 1, 2], [5, 3], [10, 8, 4], [13, 9, 11], [12, 6, 14], [15, 16, 17, 18], [19, 20]]
34: [[5, 13, 10], [2, 1], [9, 8, 4, 3], [6, 11, 12, 7, 14, 15, 16, 17, 18, 19, 20]]
35: [[5, 7, 14], [2, 1], [9, 3, 4, 13], [8, 11, 12, 6], [10, 15, 16, 17, 18, 19], [20]]
36: [[5, 3], [1, 2, 4, 7, 8, 6, 13, 9, 11, 12, 10, 14, 15, 16, 17, 18], [19, 20]]
37: [[1, 13, 2, 5, 11, 3], [7, 4, 8], [10, 9, 12, 6, 14, 15, 16, 17, 18, 19, 20]]
38: [[5, 11, 2], [6, 1, 8], [3, 4, 13, 9], [10, 12, 7, 14, 15, 16, 17, 18, 19, 20]]
39: [[5, 6, 10, 1], [12, 2, 3], [4, 7, 11], [8, 9, 13], [14, 15, 16, 17], [18, 19, 20]]
