0: [[7, 11], [1, 2], [4, 22, 5], [13, 6], [10, 9, 14, 8], [12, 15], [3, 16], [17, 18, 19, 20], [21, 23, 24]]
1: [[7, 11], [1, 2], [4, 22, 5], [13, 6], [10, 9, 14, 8], [12, 15], [3, 16], [17, 18, 19, 20], [21, 23, 24]]
2: [[7, 11], [1, 2], [4, 22, 5], [13, 6], [10, 9, 14, 8], [12, 15], [3, 16], [17, 18, 19, 20], [21, 23, 24]]
3: [[7, 11], [1, 2], [4, 22], [5, 13, 6], [10, 9], [14, 8, 12, 15], [3, 16], [17, 18, 19, 20], [21, 23, 24]]
4: [[7, 11], [1, 2], [4, 22], [5, 13], [6, 10, 9, 14, 8], [12, 15], [3, 16], [17, 18, 19, 20], [21, 23, 24]]
5: [[7, 11], [1, 2], [4, 22], [5, 13], [6, 10, 9, 14], [8, 12, 15], [3, 16, 17, 18], [19, 20], [21, 23, 24]]
6: [[7, 11], [1, 2], [4, 22], [5, 13], [6, 10, 9, 14], [8, 12, 15], [3, 16, 17, 18], [19, 20], [21, 23, 24]]
7: [[7, 11], [1, 2], [4, 22], [5, 13], [6, 10, 9, 14], [8, 12, 15], [3, 16, 17, 18], [19, 20], [21, 23, 24]]
8: [[7, 11], [1, 2], [4, 22], [5, 13], [6, 10, 9, 14], [8, 12, 15], [3, 16, 17, 18], [19, 20], [21, 23, 24]]
9: [[7, 11], [1, 2], [4, 22], [5, 13], [6, 10], [9, 14, 8, 12, 15], [3, 16], [17, 18, 19, 20], [21, 23, 24]]
10: [[2, 4, 22], [5, 13, 6], [10, 9, 14, 8, 7, 11], [12, 15], [3, 16], [17, 18], [19, 20, 1], [21, 23, 24]]
11: [[7, 11], [1, 2], [4, 22], [5, 13], [6, 10], [9, 14, 8, 12, 15], [3, 16], [17, 18, 19, 20], [21, 23, 24]]
12: [[7, 11], [1, 2], [4, 22], [5, 13], [6, 10], [9, 14, 8, 12, 15], [3, 16], [17, 18, 19, 20], [21, 23, 24]]
13: [[7, 11], [1, 2], [4, 22], [5, 13, 6, 10], [9, 14, 8, 12, 15], [3, 16], [17, 18], [19, 20], [21, 23, 24]]
14: [[7, 11], [1, 2], [4, 22], [5, 13], [6, 10, 9, 14], [8, 12, 15, 3], [16, 17, 18], [19, 20], [21, 23, 24]]
15: [[2, 4, 22, 5], [13, 6, 10, 9], [14, 8, 7, 11], [12, 15], [3, 16], [17, 18], [19, 20, 1], [21, 23, 24]]
16: [[7, 11], [1, 2], [4, 22, 5, 13, 6], [10, 9], [14, 8], [12, 15], [3, 16], [17, 18, 19, 20], [21, 23, 24]]
17: [[2], [4, 22], [5, 13], [6, 10, 9, 14, 8, 7, 11], [12, 15], [3, 16], [17, 18], [19, 20, 1], [21, 23, 24]]
18: [[2], [4, 22], [5, 13, 6, 10, 9], [14, 8, 7, 11], [12, 15], [3, 16], [17, 18], [19, 20, 1], [21, 23, 24]]
19: [[7, 11], [1, 2], [4, 22, 5], [13, 6], [10, 9, 14, 8], [12, 15], [3, 16], [17, 18, 19, 20, 21], [23, 24]]
20: [[2], [4, 22, 5, 13], [6, 10, 7, 11], [9, 14, 8], [12, 15], [3, 16], [17, 18], [19, 20, 1], [21, 23, 24]]
21: [[2, 4, 22, 5], [13, 6], [10, 9], [14, 8, 12, 15, 7, 11], [3, 16], [17, 18], [19, 20, 1], [21, 23, 24]]
22: [[7, 11], [1, 2], [4, 22], [5, 13], [6, 10, 9], [14, 8, 12], [15, 3, 16, 17, 18], [19, 20], [21, 23, 24]]
23: [[2], [4, 22], [5, 13], [6, 10, 7, 11], [9, 14], [8, 12, 15], [3, 16, 17, 18], [19, 20, 1], [21, 23, 24]]
24: [[7, 11], [1, 2], [4, 22], [5, 13], [6, 10, 9], [14, 8], [12, 15, 3, 16], [17, 18, 19, 20], [21, 23, 24]]
25: [[2, 4, 22, 5], [13, 6, 1], [10, 9], [14, 8, 7, 11], [12, 15], [3, 16], [17, 18, 19, 20], [21, 23, 24]]
26: [[2, 4, 22, 5], [13, 6, 1], [10, 9], [14, 8, 7, 11], [12, 15], [3, 16], [17, 18, 19, 20], [21, 23, 24]]
27: [[7, 11], [1, 2], [4, 22], [5, 13], [6, 10, 9], [14, 8], [12, 15, 3, 16], [17, 18, 19, 20], [21, 23, 24]]
28: [[7, 11], [1, 2, 4], [22, 5, 13, 6], [10, 9, 14, 8], [12, 15], [3, 16], [17, 18], [19, 20], [21, 23, 24]]
29: [[7, 11], [1, 2, 4], [22, 5, 13, 6], [10, 9, 14, 8], [12, 15], [3, 16], [17, 18], [19, 20], [21, 23, 24]]
30: [[2, 4, 22], [5, 13, 6, 10], [9, 14, 8, 7, 11], [12, 15], [3, 16], [17, 18], [19, 20, 1], [21, 23, 24]]
31: [[2], [4, 22], [5, 13, 6, 10, 9], [14, 8, 7, 11], [12, 15, 3], [16, 17, 18], [19, 20, 1], [21, 23, 24]]
32: [[2], [4, 22, 5], [13, 6], [10, 9, 14, 8, 12], [15, 3], [16, 17, 7, 11], [18, 19, 20, 1], [21, 23, 24]]
