0: [[4, 1, 9, 3], [5, 13, 10, 2], [6, 11, 8], [12, 7]]
1: [[4, 1, 9, 3], [5, 13, 2, 10], [6, 11, 8], [12, 7]]
2: [[4, 1, 9, 3], [5, 13, 2, 10], [6, 11, 8], [12, 7]]
3: [[4, 1, 9, 3], [5, 13, 2, 10], [6, 11, 8], [12, 7]]
4: [[4, 1, 9, 3], [5, 13, 2, 10], [6, 11, 8], [12, 7]]
5: [[4, 1, 9, 3], [5, 13, 2, 10], [6, 11, 8], [12, 7]]
6: [[4, 1, 9, 3], [5, 13, 2, 10], [6, 11, 8], [12, 7]]
7: [[4, 1, 5, 9, 3], [13, 2, 10], [6, 11, 8], [12, 7]]
8: [[4, 9], [1, 5, 13, 2, 10, 3], [6, 11, 8], [12, 7]]
9: [[4, 1, 5, 9, 3], [13, 2, 10], [6, 11, 8], [12, 7]]
10: [[4, 1, 9], [5, 13, 2, 10, 3], [6, 11, 8], [12, 7]]
11: [[4, 1, 9], [5, 13, 2, 10, 3], [6, 11, 8], [12, 7]]
12: [[4, 1, 9], [5, 13, 2, 10, 3], [6, 11, 8], [12, 7]]
13: [[4, 1, 9], [5, 13, 2, 10, 3], [6, 11, 8], [12, 7]]
14: [[4, 1, 9, 3], [5, 13, 2], [10, 6, 11, 8], [12, 7]]
15: [[4, 1, 9, 3], [5, 13, 2], [10, 6, 11, 8], [12, 7]]
16: [[4, 1, 9, 3], [5, 13, 2], [10, 6, 11, 8], [12, 7]]
17: [[4, 1, 9, 3], [5, 13, 2], [10, 6, 11, 8], [12, 7]]
18: [[4, 1, 9, 3], [5, 13, 2], [10, 6, 11, 8], [12, 7]]
19: [[4, 1, 9, 3], [5, 13, 2], [10, 6, 11, 8], [12, 7]]
20: [[4, 1, 9], [5, 13, 2, 3], [10, 6, 11, 8], [12, 7]]
21: [[4, 1, 9], [5, 13, 2, 3], [10, 6, 11, 8], [12, 7]]
22: [[9, 4], [1, 5, 13, 3], [10, 6, 11, 8, 2], [12, 7]]
23: [[9, 4], [1, 5, 13, 3], [10, 6, 11, 8, 2], [12, 7]]
24: [[9, 4], [1, 5, 13, 3], [10, 6, 11, 8, 2], [12, 7]]
25: [[4, 1, 5, 13, 9, 3], [2, 10], [6, 11, 8], [12, 7]]
26: [[4, 1, 5, 9, 3], [13, 2], [10, 6, 11, 8], [12, 7]]
27: [[4, 1, 3, 5, 9], [13, 10, 6, 2], [11, 8], [12, 7]]
