0: [[1, 6, 2, 9, 3, 4, 5], [15, 13, 8], [7, 11, 10, 14], [12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
1: [[1, 6, 2, 9, 3, 4, 5], [15, 13, 8], [7, 11, 10, 14], [12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
2: [[1, 6, 2, 9, 3, 4], [5, 15, 13, 8], [7, 11, 10, 14], [12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
3: [[1, 6, 2, 9, 3, 4], [5, 15, 13, 8], [7, 11, 10, 14], [12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
4: [[1, 6, 2, 9, 3], [4, 5, 15, 13, 8], [7, 11, 10, 14], [12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
5: [[1, 6, 2, 9, 3, 4, 5], [15, 13, 8], [7, 11, 10, 14, 12, 20], [17, 19, 18, 16], [23, 21, 22, 24]]
6: [[1, 6, 2, 9], [3, 4, 5, 15, 13, 8], [7, 11, 10, 14], [12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
7: [[1, 6, 2, 9, 3, 4, 5, 15], [13, 8], [7, 11, 10, 14], [12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
8: [[1, 6, 2, 9, 3, 4, 5, 15], [13, 8], [7, 11, 10, 14], [12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
9: [[1, 6, 2, 9, 3, 4, 5, 15], [13, 8], [7, 11, 10, 14], [12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
10: [[1, 6, 2, 9, 3], [4, 5, 15, 13, 8], [7, 11, 10], [14, 12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
11: [[1, 6, 2, 9, 3], [4, 5], [15, 13, 8, 7, 11, 10, 14], [12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
12: [[1, 6, 2, 9, 3], [4, 5, 15], [13, 8, 7, 11, 10, 14, 12], [20, 17, 19, 18, 16], [23, 21, 22, 24]]
13: [[1, 6, 2, 9], [3, 4, 5, 15], [13, 8, 7, 11, 10, 14], [12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
14: [[1, 6, 2, 9, 3, 4, 5], [15, 13, 8, 7], [11, 10, 14], [12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
15: [[1, 6, 2, 9], [3, 4, 5, 15, 13, 8], [7, 11, 10], [14, 12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
16: [[1, 6, 2, 9], [3, 4, 5, 15, 13, 8], [7, 11, 10], [14, 12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
17: [[1, 6, 2, 9], [3, 4, 5], [15, 13, 8, 7, 11, 10, 14], [12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
18: [[1, 6, 2, 9, 3], [4, 5, 15, 13], [8, 7, 11], [10, 14, 12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
19: [[1, 6, 2, 9, 3], [4, 5, 15, 13], [8, 7, 11, 10, 14, 12], [20, 17, 19, 18, 16], [23, 21, 22, 24]]
20: [[1, 6, 2, 9, 3], [4, 5, 15, 13], [8, 7, 11], [10, 14, 12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
21: [[1, 6, 2, 9, 3, 4, 5], [15, 13], [8, 7, 11, 10, 14], [12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
22: [[1, 6, 2, 9, 3], [4, 5, 15, 13, 8, 7], [11, 10, 14], [12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
23: [[1, 6, 2, 9], [3, 4], [5, 15, 13, 8, 7, 11, 10, 14], [12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
24: [[1, 6, 2, 9], [3, 4, 5, 15], [13, 8, 7, 11, 10], [14, 12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
25: [[1, 6, 2, 9], [3, 4, 5, 15, 13, 8, 7], [11, 10, 14], [12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
26: [[1, 6, 2, 9, 3, 4], [5, 15, 13, 8, 7], [11, 10], [14, 12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
