0: [[7, 19], [5, 25], [17, 1, 6], [3, 4], [13, 8, 2, 9, 11, 15, 18, 29, 10, 12], [16], [20, 23, 22, 14], [27, 21, 26], [24, 28]]
1: [[7, 19], [5, 25], [17, 1, 6], [3, 4, 13, 8, 10, 11, 2, 14, 9, 16, 12, 15, 20, 18, 22, 29, 28, 23, 24], [26, 21, 27]]
2: [[7, 19], [5, 25], [17, 1, 6], [3, 4], [13, 9, 2, 8, 11, 10, 18, 28, 24, 12], [16, 20, 23, 22, 14, 26, 15], [21, 27, 29]]
3: [[7, 19], [5, 25], [17, 1], [6, 3, 4, 2, 11, 9, 12, 8], [13, 10, 20], [14, 15], [21, 18, 16, 23, 22, 28, 24], [26, 27, 29]]
4: [[7, 19], [5, 25], [17, 1, 6], [3, 4], [15, 8, 2, 9, 11, 24, 13, 10, 14], [18], [20, 23, 16, 12, 22], [21], [26, 27, 29, 28]]
5: [[7, 19], [5, 25], [17, 1, 6], [3, 4], [10, 8, 9, 2, 13], [15, 11, 20, 12, 16, 14, 23, 18, 21, 22, 24], [26, 27, 28, 29]]
6: [[7, 19], [5, 25], [17, 1, 6, 3, 4, 8, 12, 2], [9, 10, 15, 11, 13, 14, 16, 20, 18], [23, 21, 22, 27, 28, 24, 26, 29]]
7: [[7, 19], [5, 25], [17, 1], [6, 3, 4, 8, 2, 9, 11, 10, 15, 12], [13], [24, 18, 16], [23, 20, 22, 28], [27, 29], [21, 26, 14]]
8: [[7, 19], [5, 25], [17, 1, 6, 3, 4, 11, 15, 8, 2, 9, 10, 14, 12, 13, 18, 16, 23, 20, 28, 24], [22, 21, 27, 26, 29]]
9: [[7, 19], [5, 25], [17, 1], [6, 3, 4, 9, 10, 2, 12, 15, 8, 11, 13, 16, 28], [14, 26, 22, 20, 21, 18, 29, 23, 24, 27]]
10: [[7, 19], [5, 25], [17, 1, 6], [3, 4, 15, 8, 10, 9, 11, 12, 18, 13, 14, 20, 16, 2, 22, 21, 23, 27, 29, 26, 24, 28]]
11: [[7, 19], [5, 25], [17, 1], [6, 3, 4, 13, 12], [8, 2, 11, 9, 24, 15, 18, 20, 23, 16, 29, 22, 21, 27, 28, 26, 10, 14]]
12: [[7, 19], [5, 25], [17, 1], [6], [3, 4], [8, 10], [2, 9], [11, 12, 22], [13, 29, 20, 14], [28, 18, 15, 16, 21, 26, 27, 23, 24]]
13: [[7, 19], [5, 25], [17, 1, 6, 3, 4, 9, 2, 8, 11, 10, 15, 14, 12, 21, 13, 28, 23, 18, 20, 16, 22, 26, 24, 27, 29]]
14: [[7, 19], [5, 25], [17, 1], [6, 3, 4, 13, 10, 2, 12, 15, 9, 8], [11, 16, 14, 20, 27, 22, 18, 23, 21, 28, 26, 24, 29]]
15: [[7, 19], [5, 25], [17, 1], [6, 3, 4], [13, 9, 2, 10, 8, 11, 12], [14, 16, 15, 18, 20, 22, 21, 23, 24, 27, 26, 28, 29]]
16: [[7, 19], [5, 25], [17, 1, 6], [3, 4], [13, 11, 2, 12, 15, 28, 9, 29, 26, 16], [18], [10, 14, 22, 20], [27, 21, 23], [8, 24]]
17: [[7, 19], [5, 25], [17, 1], [6, 3, 4, 13, 8, 2, 10, 9, 12, 15, 14, 16, 18, 20, 11, 23, 21, 22, 27, 28, 26, 24, 29]]
18: [[7, 19], [5, 25], [17, 1], [6, 3, 4, 13, 8, 2, 10, 15, 9, 11], [16, 12, 14, 20, 23], [18, 21, 26, 27, 22, 24, 28, 29]]
19: [[7, 19], [5, 25], [17, 1], [6, 3, 4, 13, 8, 2, 10, 9, 12, 15, 14, 16, 18, 20, 11, 23, 21, 22, 27, 28, 26, 24, 29]]
20: [[7, 19], [5, 25], [17, 1], [6, 3, 4, 13, 8, 2, 10, 9, 12, 14, 11, 18, 16, 20, 15, 23, 21, 22, 27, 29, 26, 24, 28]]
21: [[7, 19], [5, 25], [17, 1, 6, 3], [4, 9], [8, 2, 12, 11, 15, 13, 28, 10, 16, 22, 14, 18, 20, 27, 29, 23], [21, 24, 26]]
22: [[7, 19], [5, 25], [17, 1], [6, 3, 4, 13, 8, 10, 11, 14, 15, 24], [2, 26, 9, 18, 21, 22, 12, 16, 27, 20, 23, 28, 29]]
23: [[7, 19], [5, 25], [17, 1, 6, 3], [4, 14, 9, 2, 11, 10, 15, 8, 13, 12, 16, 18, 22, 21, 20, 28, 23, 26, 27, 24, 29]]
24: [[7, 19], [5, 25], [17, 1, 6], [3, 4, 13], [2, 8], [14, 9, 15, 11, 12], [16, 18, 21, 10, 20, 22], [26, 24, 23, 27, 28, 29]]
25: [[7, 19], [5, 25], [17, 1], [6, 3, 4, 13, 10], [2, 11, 9, 8], [12, 15], [16, 14, 20, 18, 23, 21, 22, 27, 28, 26, 24, 29]]
