0: [[3, 8, 1], [6, 2, 7, 5, 10], [11, 12, 13, 9], [14, 16, 4, 15], [18, 19, 17, 20]]
1: [[3, 8, 1], [6, 2, 7, 5, 10], [11, 12, 13, 9], [14, 16, 4, 15], [18, 19, 17, 20]]
2: [[3, 8, 1], [6, 2, 7, 5, 10], [11, 12, 13, 9], [14, 16, 4, 15], [18, 19, 17, 20]]
3: [[3, 8, 1], [6, 2, 7, 5, 10], [11, 12, 13, 9], [14, 16, 4, 15], [18, 19, 17, 20]]
4: [[3, 8, 1], [6, 2, 7, 5, 10], [11, 12, 13, 9], [14, 16, 4, 15], [18, 19, 17, 20]]
5: [[3, 8, 1], [6, 2, 7, 5, 10], [11, 12, 13, 9], [14, 16, 4, 15], [18, 19, 17, 20]]
6: [[3, 8, 1], [6, 2, 7, 5, 10], [11, 12, 13, 9], [14, 16, 4, 15], [18, 19, 17, 20]]
7: [[3, 8, 1], [6, 2, 7, 5, 10], [11, 12, 13, 9], [14, 16, 4, 15], [18, 19, 17, 20]]
8: [[3, 8, 1], [6, 2, 7, 5, 10], [11, 12, 13, 9], [14, 16, 4, 15], [18, 19, 17, 20]]
9: [[3, 8, 1], [6, 2, 7, 5, 10], [11, 12, 13, 9], [14, 16, 4, 15], [18, 19, 17, 20]]
10: [[3, 8, 1, 6, 2], [7, 5, 10], [11, 12, 13, 9], [14, 16, 4, 15], [18, 19, 17, 20]]
11: [[3, 8, 1, 6, 2], [7, 5, 10], [11, 12, 13, 9], [14, 16, 4, 15], [18, 19, 17, 20]]
12: [[3, 8, 1, 6, 2], [7, 5, 10], [11, 12, 13, 9], [14, 16, 4, 15], [18, 19, 17, 20]]
13: [[3, 8, 1, 6, 2], [7, 5, 10], [11, 12, 13, 9], [14, 16, 4, 15], [18, 19, 17, 20]]
14: [[3, 8, 1], [6, 2, 7, 5], [10, 11, 12, 13, 9], [14, 16, 4, 15], [18, 19, 17, 20]]
15: [[3, 8, 1, 6], [2, 7, 5, 10], [11, 12, 13], [9, 14, 16, 4, 15], [18, 19, 17, 20]]
16: [[3, 8, 1, 6], [2, 7, 5, 10], [11, 12, 13], [14, 16, 4, 15, 9], [18, 19, 17, 20]]
17: [[3, 8, 1, 6], [2, 7, 5, 10], [11, 12, 13], [4, 15, 16, 14, 9], [18, 19, 17, 20]]
18: [[3, 8, 1, 6], [2, 7, 5, 10], [11, 12, 13], [9, 14, 16, 4, 15], [18, 19, 17, 20]]
19: [[3, 8, 1, 6], [2, 7, 5, 10], [11, 12, 13], [9, 14, 16, 4, 15], [18, 19, 17, 20]]
20: [[3, 8, 1, 6], [2, 7, 5, 10], [11, 12, 13], [9, 14, 16, 4, 15], [18, 19, 17, 20]]
21: [[3, 8, 1, 6], [2, 7, 5, 10], [11, 12, 13], [9, 14, 16, 4, 15], [18, 19, 17, 20]]
22: [[3, 8, 1, 6], [2, 7, 5], [10, 11, 12, 13, 9], [14, 16, 4, 15], [18, 19, 17, 20]]
23: [[3, 8, 1, 6], [2, 7, 5], [10, 11, 12, 13, 9], [14, 16, 4, 15], [18, 19, 17, 20]]
24: [[3, 8, 1, 6], [2, 7, 5], [10, 11, 12, 13, 9], [14, 16, 4, 15], [18, 19, 17, 20]]
25: [[3, 8, 1, 6], [2, 7, 5], [10, 11, 12, 13, 9], [14, 16, 4, 15], [18, 19, 17, 20]]
26: [[3, 8, 1, 6], [2, 7, 5], [10, 11, 12, 13, 9], [14, 16, 4, 15], [18, 19, 17, 20]]
27: [[3, 8, 1, 6], [2, 7, 5], [10, 11, 12, 13, 9], [14, 16, 4, 15], [18, 19, 17, 20]]
28: [[3, 8, 1, 6], [2, 7, 5], [10, 11, 12, 13, 9], [14, 16, 4, 15], [18, 19, 17, 20]]
29: [[3, 8, 1, 6], [2, 7, 5, 10], [11, 12, 13, 9, 14], [16, 4, 15], [18, 19, 17, 20]]
30: [[3, 8, 1, 6], [2, 7, 5, 10], [11, 12, 13, 9, 14], [16, 4, 15], [18, 19, 17, 20]]
31: [[3, 8, 1, 6], [2, 7, 5, 10], [11, 12, 13, 9, 14], [16, 4, 15], [18, 19, 17, 20]]
32: [[3, 8, 1, 6], [2, 7, 5, 10], [11, 12, 13, 9, 14], [16, 4, 15], [18, 19, 17, 20]]
33: [[3, 8, 1, 6, 2], [7, 5, 10], [11, 12, 13, 9], [20, 4, 15, 14], [18, 19, 17, 16]]
34: [[3, 8, 1, 6], [2, 7, 5, 10, 11], [12, 13, 9], [14, 16, 4, 15], [18, 19, 17, 20]]
35: [[3, 8, 1, 6], [2, 7, 5, 10, 11], [12, 13, 9], [14, 16, 4, 15], [18, 19, 17, 20]]
36: [[3, 8, 1, 6], [2, 7, 5, 10, 11], [12, 13, 9], [14, 16, 4, 15], [18, 19, 17, 20]]
37: [[3, 8, 1], [6, 2, 7, 5], [10, 11, 12, 13], [9, 14, 16, 4, 15], [18, 19, 17, 20]]
38: [[3, 8, 1, 6], [2, 7, 5, 10], [11, 12, 13], [9, 20, 14, 4, 15], [18, 19, 17, 16]]
39: [[3, 8, 1, 6], [2, 7, 5, 10], [11, 12, 13], [9, 14, 20, 4, 15], [18, 19, 17, 16]]
40: [[3, 8, 1, 6, 2], [7, 5, 10, 11], [12, 13, 9, 14], [16, 4, 15], [18, 19, 17, 20]]
41: [[3, 8, 1, 6], [2, 7, 5, 10], [11, 12, 13, 9, 20], [18, 4, 15], [14, 19, 17, 16]]
