0: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4, 12, 15], [18, 14, 24, 29], [13, 9, 16, 19, 22], [26, 27, 21], [20, 10, 23, 25, 28]]
1: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4, 12, 15], [18, 14, 24, 29], [13, 9, 16, 19, 22], [26, 27, 21], [20, 10, 23, 25, 28]]
2: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4, 12], [15, 18, 24, 13, 10, 14], [9, 16, 19, 22], [27, 26, 21], [20, 23, 29, 25, 28]]
3: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4, 12], [15, 18, 14, 24, 10, 13], [9, 16, 19, 22], [26, 27, 21], [20, 29, 28, 25, 23]]
4: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4, 12], [15, 18, 14, 24, 10, 13], [9, 16, 19, 22], [27, 26, 21], [20, 23, 29, 25, 28]]
5: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4, 12], [15, 18, 10, 24], [14, 13, 9, 16, 19, 22], [27, 26, 21], [20, 25, 23, 29, 28]]
6: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4, 12, 15], [18, 14, 24, 10], [13, 9, 16, 19, 22], [26, 27, 21], [20, 29, 23, 25, 28]]
7: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4, 12, 15], [18, 14, 24, 10], [13, 9, 16, 19, 22], [26, 27, 21], [20, 29, 23, 25, 28]]
8: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4, 12, 15], [18, 14, 24, 10], [13, 9, 16, 19, 22], [26, 27, 21], [20, 23, 29, 25, 28]]
9: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4, 12, 15], [18, 14, 24, 10], [13, 9, 16, 19, 22], [27, 26, 21], [20, 23, 28, 25, 29]]
10: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4, 12, 15], [18, 14, 24, 10], [9, 13, 16, 19, 22], [26, 27, 21], [20, 29, 23, 28, 25]]
11: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4, 12, 15], [18, 14, 24, 10], [13, 9, 16, 19, 22], [26, 27, 21], [20, 29, 23, 25, 28]]
12: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4, 12, 15], [18, 14, 24, 10], [13, 9, 16, 19, 22], [26, 27, 21], [20, 29, 23, 25, 28]]
13: [[17, 7, 1, 2, 6], [5, 8, 3, 11, 4, 12], [15, 18, 14, 24, 10, 13], [9, 16, 19, 22], [27, 26, 21], [20, 23, 29, 25, 28]]
14: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4, 12, 15], [18, 14, 24, 13], [9, 10, 16, 19, 22], [26, 27, 21], [20, 29, 23, 25, 28]]
15: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4, 12, 15], [18, 14, 24, 9], [10, 13, 16, 19, 22], [27, 26, 21], [20, 23, 28, 29, 25]]
16: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4], [12, 15, 18, 14, 24, 10], [13, 9, 16, 19, 22], [26, 27, 21], [20, 23, 28, 29, 25]]
17: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4], [12, 15, 18, 14, 24, 10], [13, 9, 16, 19, 22], [26, 27, 21], [20, 23, 28, 25, 29]]
18: [[17, 7, 1, 2, 6], [5, 8, 3, 11, 4, 12], [15, 18, 14, 24], [10, 13, 9, 16, 19, 22], [26, 27, 21], [20, 25, 23, 29, 28]]
19: [[17, 7, 1, 2, 6], [5, 8, 3, 11, 4, 12], [15, 18, 14, 24], [10, 9, 13, 16, 19, 22], [27, 26, 21], [20, 23, 29, 25, 28]]
20: [[17, 7, 1, 2, 6], [5, 8, 3, 11, 4, 12], [15, 18, 14, 24], [29, 13, 9, 16, 19, 22], [26, 27, 21], [20, 10, 23, 25, 28]]
21: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4], [12, 15, 18, 14, 24], [10, 13, 9, 16, 19, 22], [26, 27, 21], [20, 23, 29, 28, 25]]
22: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4], [12, 15, 18, 14, 24], [9, 10, 13, 16, 19, 22], [27, 26, 21], [20, 23, 29, 28, 25]]
23: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4, 12, 15], [18, 14, 24, 25], [13, 9, 16, 19, 22], [27, 26, 21], [20, 10, 29, 23, 28]]
24: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4, 12, 15], [18, 14, 10, 24, 9], [13, 16, 19, 22], [27, 26, 21], [20, 23, 28, 25, 29]]
25: [[17, 7, 1, 2, 6], [5, 8, 3, 11, 4, 12], [15, 18, 14, 24, 13, 9], [10, 16, 19, 22], [26, 27, 21], [20, 23, 29, 25, 28]]
26: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4], [12, 15, 18, 14, 24, 25], [13, 9, 16, 19, 22], [26, 27, 21], [20, 10, 29, 23, 28]]
27: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4], [12, 15, 18, 9, 24], [14, 13, 10, 16, 19, 22], [27, 26, 21], [20, 23, 28, 29, 25]]
28: [[17, 7, 1, 2], [6, 5, 8, 3, 11, 4], [12, 15, 18, 14, 24, 29], [13, 9, 16, 19, 22], [26, 27, 21], [20, 10, 23, 25, 28]]
29: [[17, 7, 1, 2, 6], [5, 8, 3, 11], [4, 12, 15, 18, 14, 24], [10, 13, 9, 16, 19, 22], [26, 27, 21], [20, 29, 23, 25, 28]]
