0: [[11, 1, 3], [7, 5], [10, 8, 9, 2, 6], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
1: [[11, 1, 3], [7, 5], [10, 8, 6, 2, 9], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
2: [[11, 1, 3], [7, 5], [10, 8, 9, 6, 2], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
3: [[11, 1, 3], [7, 5], [10, 8, 9, 6, 2], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
4: [[11, 1, 3], [7, 5], [10, 8, 2, 9, 6], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
5: [[11, 1, 3], [7, 5], [10, 8, 2, 6, 9], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
6: [[11, 1, 3], [7, 5], [10, 8, 6, 2, 9], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
7: [[11, 1, 3], [7, 5], [10, 8, 6, 2, 9], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
8: [[11, 1, 3], [7, 5], [10, 8, 9, 6, 2], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
9: [[11, 1, 3], [7, 5], [10, 8, 6, 9, 2], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
10: [[11, 1, 3], [7, 5], [10, 8, 6, 2, 9], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
11: [[11, 1, 3], [7, 5], [10, 8, 9, 6, 2], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
12: [[11, 1, 3], [7, 5], [10, 8, 6, 2, 9], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
13: [[11, 1, 3], [7, 5], [10, 8, 2, 6, 9], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
14: [[11, 1, 3], [7, 5], [10, 8, 6, 9, 2], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
15: [[11, 1, 3], [7, 5], [10, 8, 6, 9, 2], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
16: [[11, 1, 3], [7, 5], [10, 8, 9, 6, 2], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
17: [[11, 1, 3], [7, 5], [10, 8, 2, 6, 9], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
18: [[11, 1, 3], [7, 5], [10, 8, 6, 2, 9], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
19: [[11, 1, 3], [7, 5], [10, 8, 2, 6, 9], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
20: [[11, 1, 3], [7, 5], [10, 8, 6, 2, 9], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
21: [[11, 1, 3], [7, 5], [10, 8, 6, 2, 9], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
22: [[11, 1, 3], [7, 5], [10, 8, 2, 6, 9], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
23: [[11, 1, 3], [7, 5], [10, 8, 6, 9, 2], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
24: [[11, 1, 3], [7, 5], [10, 8, 9, 6, 2], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
25: [[11, 1, 3], [7, 5], [10, 8, 6, 2, 9], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
26: [[11, 1, 3], [7, 5], [10, 8, 6, 2, 9], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
27: [[11, 1, 3], [7, 5], [10, 8, 6, 2, 9], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
28: [[11, 1, 3], [7, 5], [10, 8, 9, 6, 2], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
29: [[11, 1, 3], [7, 5], [10, 8, 2, 6, 9], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
30: [[11, 1, 3], [7, 5], [10, 8, 2, 6, 9], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
31: [[11, 1, 3], [7, 5], [10, 8, 6, 2, 9], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
32: [[11, 1, 3], [7, 5], [10, 8, 9, 6, 2], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
33: [[11, 1, 3], [7, 5], [10, 8, 2, 6, 9], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
34: [[11, 1, 3], [7, 5], [10, 8, 9, 6, 2], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
35: [[11, 1, 3], [7, 5], [10, 8, 6, 2, 9], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
36: [[11, 1, 3], [7, 5], [10, 8, 9, 2, 6], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
37: [[11, 1, 3], [7, 5], [10, 8, 9, 2, 6], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
38: [[11, 1, 3], [7, 5], [10, 8, 9, 2, 6], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
39: [[11, 1, 3], [7, 5], [10, 8, 2, 6, 9], [4, 12, 15, 13, 14, 16], [20, 19, 17, 18]]
