0: [[56, 45, 63], [47, 27, 55, 86], [41, 67, 15], [20, 51], [17, 65], [84, 81], [21, 52, 25, 8, 34], [23, 39, 68, 36], [35, 40, 73], [60, 46, 48], [16, 22], [70, 71], [28, 50], [13, 1, 24, 12], [43, 2], [3, 4], [64, 5], [30, 32, 33], [6, 9, 10, 11], [44, 14, 78], [57, 31, 59], [62, 19, 26], [18, 29, 75], [37, 7], [54, 38, 42], [61, 49, 53], [76, 85], [66, 69], [74, 83, 77], [58, 72, 87], [80, 88], [79, 82]]
1: [[56, 45, 63], [47, 27, 55, 86], [41, 67, 15], [20, 51], [17, 65], [84, 81], [21, 52, 25, 8, 34], [23, 39, 68, 36], [35, 40, 73], [60, 46, 48], [16, 22], [70, 71], [28, 50], [13, 1, 24, 12], [43, 2], [3, 4], [64, 5], [30, 32, 33], [6, 9, 10, 11], [44, 14, 78], [57, 31, 59], [62, 19, 26], [18, 29, 75], [37, 7], [54, 38, 42], [61, 49, 53], [76, 85], [66, 69], [74, 83, 77], [58, 72, 87], [80, 88], [79, 82]]
2: [[56, 45], [63, 47], [27, 55, 86], [41, 67, 15], [20, 51], [17, 65, 84, 81, 21, 52, 25, 8, 34, 23, 39, 68, 36, 35, 40, 73, 60, 46, 48, 16, 22, 70, 71, 28, 50, 13, 1, 24, 12, 43, 2, 3, 4, 64, 5, 30, 32], [33, 6, 9], [10, 11, 44], [14, 78], [57, 31, 59], [62, 19, 26], [18, 29, 75], [37, 7], [54, 38, 42, 61, 49, 53, 76, 85, 66, 69, 74], [83, 77, 58, 72, 87, 80, 88], [79, 82]]
3: [[56, 45, 63], [47, 27, 55, 86], [41, 67, 15], [20, 51], [17, 65], [84, 81], [21, 52, 25, 8, 34], [23, 39, 68, 36], [35, 40, 73], [60, 46, 48], [16, 22], [70, 71], [28, 50, 13, 1, 24], [12, 43, 2, 3], [4, 64], [5, 30, 32, 33], [6, 9], [10, 11], [44, 14], [78, 57, 31], [59, 62, 19, 26], [18, 29, 75], [37, 7, 54], [38, 42], [61, 49], [53, 76, 85], [66, 69, 74], [83, 77], [58, 72], [87, 80, 88], [79, 82]]
4: [[56, 45], [63, 47], [27, 55, 86], [41, 67, 15], [20, 51, 17], [65, 84], [81, 21], [52, 25], [8, 34, 23], [39, 68, 36], [35, 40, 73], [60, 46], [48, 16, 22], [70, 71, 28], [50, 13, 1, 24], [12, 43, 2], [3, 4], [64, 5], [30, 32, 33], [6, 9], [10, 11, 44], [14, 78, 57], [31, 59], [62, 19, 26], [18, 29, 75], [37, 7], [54, 38, 42], [61, 49, 53], [76, 85, 66], [69, 74, 83], [77, 58], [72, 87, 80], [88, 79, 82]]
5: [[56, 45], [63, 47], [27, 55, 86], [41, 67, 15], [20, 51], [17, 65, 84], [81, 21], [52, 25, 8], [34, 23, 39], [68, 36, 35], [40, 73], [60, 46, 48], [16, 22, 70], [71, 28], [50, 13, 1], [24, 12, 43], [2, 3, 4], [64, 5], [30, 32, 33], [6, 9, 10], [11, 44, 14], [78, 57, 31], [59, 62, 19], [26, 18, 29], [75, 37, 7], [54, 38, 42], [61, 49, 53], [76, 85, 66], [69, 74, 83], [77, 58, 72], [87, 80, 88], [79, 82]]
6: [[56, 45], [63, 47], [27, 55, 86], [41, 67, 15], [20, 51], [17, 65, 84], [81, 21], [52, 25, 8], [34, 23, 39], [68, 36, 35], [40, 73], [60, 46, 48], [16, 22, 70], [71, 28], [50, 13, 1], [24, 12, 43], [2, 3, 4], [64, 5], [30, 32, 33], [6, 9, 10], [11, 44, 14], [78, 57, 31], [59, 62, 19], [26, 18, 29], [75, 37, 7], [54, 38, 42], [61, 49, 53], [76, 85, 66], [69, 74, 83], [77, 58, 72], [87, 80, 88], [79, 82]]
7: [[56, 45, 63], [47, 27], [55, 86], [41, 67, 15], [20, 51, 17], [65, 84, 81], [21, 52], [25, 8, 34], [23, 39, 68], [36, 35], [40, 73, 60, 46], [48, 16, 22], [70, 71, 28], [50, 13, 1], [24, 12, 43], [2, 3], [4, 64, 5], [30, 32, 33], [6, 9, 10], [11, 44, 14], [78, 57, 31], [59, 62, 19], [26, 18, 29], [75, 37, 7], [54, 38, 42], [61, 49, 53], [76, 85], [66, 69], [74, 83, 77], [58, 72, 87], [80, 88], [79, 82]]
8: [[56, 45, 63], [47, 27], [55, 86], [41, 67, 15], [20, 51, 17], [65, 84, 81], [21, 52], [25, 8, 34], [23, 39, 68], [36, 35], [40, 73, 60, 46], [48, 16, 22], [70, 71, 28], [50, 13, 1], [24, 12, 43], [2, 3], [4, 64, 5], [30, 32, 33], [6, 9, 10], [11, 44, 14], [78, 57, 31], [59, 62, 19], [26, 18, 29], [75, 37, 7], [54, 38, 42], [61, 49, 53], [76, 85], [66, 69], [74, 83, 77], [58, 72, 87], [80, 88], [79, 82]]
9: [[56, 45, 63], [47, 27], [55, 86], [41, 67, 15], [20, 51], [17, 65, 84], [81, 21, 52], [25, 8, 34], [23, 39, 68], [36, 35, 40], [73, 60, 46], [48, 16, 22], [70, 71, 28], [50, 13, 1], [24, 12, 43], [2, 3, 4], [64, 5], [30, 32, 33], [6, 9, 10], [11, 44, 14], [78, 57, 31], [59, 62, 19], [26, 18, 29], [75, 37, 7], [54, 38, 42], [61, 49], [53, 76], [85, 66, 69], [74, 83, 77], [58, 72], [87, 80, 88], [79, 82]]
10: [[56, 45, 63], [47, 27, 55, 86], [41, 67, 15], [20, 51], [17, 65], [84, 81], [21, 52, 25, 8, 34], [23, 39, 68, 36], [35, 40, 73], [60, 46, 48], [16, 22], [70, 71, 28], [50, 13, 1], [24, 12, 43], [2, 3], [4, 64, 5], [30, 32, 33], [6, 9, 10], [11, 44, 14], [78, 57, 31], [59, 62, 19], [26, 18], [29, 75, 37], [7, 54, 38], [42, 61, 49], [53, 76], [85, 66, 69], [74, 83, 77], [58, 72, 87, 80], [88, 79, 82]]
