0: [[9, 17, 6, 20, 8, 5], [7, 14, 22], [1, 16, 13, 11], [10, 2, 4, 3], [15, 12, 19, 18], [23, 21, 24]]
1: [[9, 17, 6, 20, 8, 5], [7, 14, 22], [1, 16, 13, 11], [10, 2, 4, 3], [15, 12, 19, 18], [23, 21, 24]]
2: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
3: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
4: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
5: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
6: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
7: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
8: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
9: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
10: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
11: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
12: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
13: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
14: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
15: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
