0: [[2, 10], [11, 7], [14, 6, 12, 5, 13, 4], [9, 8, 15, 18, 16, 3], [17, 19, 20, 22, 1], [21, 23, 24]]
1: [[3, 2, 10, 1], [11, 7], [14, 13, 6, 5, 12, 9], [8, 15, 18, 16, 17], [19, 20, 22, 4], [21, 23, 24]]
2: [[3, 2, 10, 1], [11, 7], [14, 13, 6, 5, 12, 9], [8, 15, 18, 16, 17], [19, 20, 22, 4], [21, 23, 24]]
3: [[1, 2, 10], [11, 7], [14, 13, 6, 5, 12], [9, 8, 15, 18], [16, 17, 19, 20, 22, 3, 4], [21, 23, 24]]
4: [[1, 2, 10], [11, 7], [14, 13, 6, 5, 12], [9, 8, 15, 18], [16, 17, 19, 20, 22, 3, 4], [21, 23, 24]]
5: [[1, 2, 10], [11, 7], [14, 13, 6, 5, 12, 4], [9, 8, 15, 18, 16, 3], [17, 19, 20, 22], [21, 23, 24]]
6: [[1, 2, 10], [11, 7], [14, 13, 6, 5, 12, 4], [9, 8, 15, 18, 16, 3], [17, 19, 20, 22], [21, 23, 24]]
7: [[1, 2, 10], [11, 7], [14, 13, 6, 5, 12, 4], [9, 8, 15, 18, 16, 3], [17, 19, 20, 22], [21, 23, 24]]
8: [[1, 2, 10], [11, 7], [14, 13, 6, 5, 12, 4], [9, 8, 15, 18, 16, 3], [17, 19, 20, 22], [21, 23, 24]]
9: [[1, 2, 10], [11, 7], [14, 13, 6, 5, 12, 4], [9, 8, 15, 18, 16, 3], [17, 19, 20, 22], [21, 23, 24]]
10: [[1, 2, 10], [11, 7], [14, 13, 6, 5, 12, 4], [9, 8, 15, 18, 16, 3], [17, 19, 20, 22], [21, 23, 24]]
11: [[1, 2, 10], [11, 7], [14, 13, 6, 5, 12, 4], [9, 8, 15, 18, 16, 3], [17, 19, 20, 22], [21, 23, 24]]
12: [[1, 2, 10], [11, 7], [14, 13, 6, 5, 4], [12, 9, 8, 15, 18, 16, 3], [17, 19, 20, 22], [21, 23, 24]]
13: [[1, 2, 11, 10, 4], [7, 14, 13, 6, 5, 12], [9, 8, 15], [18, 16, 3], [17, 19, 20, 22], [21, 23, 24]]
