0: [[1, 2], [6, 3], [7, 11], [14, 4], [5, 9, 8, 15], [12, 13], [10, 19], [20, 18, 22, 17, 16], [21, 23, 24]]
1: [[2], [7, 11], [14, 4, 5], [9, 8], [15, 12], [13, 10, 6, 3], [19, 20, 1], [18, 22, 17, 16], [21, 23, 24]]
2: [[2], [11, 7], [14, 4], [5, 9, 6], [8, 15], [12, 13, 10], [19, 20, 1], [18, 22], [17, 16, 3], [21, 23, 24]]
3: [[2], [11, 7], [14, 4], [5, 9], [8, 15], [12, 13, 6], [10, 19, 20, 1], [18, 22], [17, 16, 3], [21, 23, 24]]
4: [[2], [11, 7], [14, 4], [5, 9], [8, 15], [12, 13, 6], [10, 19, 20, 1], [18, 22], [17, 16, 3], [21, 23, 24]]
5: [[2], [11, 7], [14, 4, 5], [9, 8], [15, 12], [13, 10, 6, 3], [19, 20, 1], [18, 22], [17, 16], [21, 23, 24]]
6: [[2], [11, 7], [14, 4], [5, 9, 8], [15, 12], [13, 10, 6, 3], [19, 20, 1], [18, 22], [17, 16], [21, 23, 24]]
7: [[2], [11, 7], [14, 4], [5, 9, 8], [15, 12], [13, 10, 6, 3], [19, 20, 1], [18, 22], [17, 16], [21, 23, 24]]
8: [[2], [11, 7], [14, 4], [5, 9, 6], [8, 15, 12], [13, 10], [19, 20, 1], [18, 22], [17, 16, 3], [21, 23, 24]]
9: [[2], [11, 7], [14, 4], [5, 9], [8, 15], [12, 13, 6], [10, 19, 1], [20, 18, 22], [17, 16, 3], [21, 23, 24]]
10: [[2], [11, 7], [14, 4], [5, 9], [8, 15], [12, 13, 6], [10, 19, 1], [20, 18, 22], [17, 16, 3], [21, 23, 24]]
11: [[2], [7, 11], [14, 4], [5, 9, 1, 6], [8, 15], [12, 13, 10, 19, 20, 18, 22, 17, 16, 21, 3], [23, 24]]
12: [[2], [7], [11, 14], [4, 5], [9, 8, 15, 12], [13, 10, 6, 3], [19, 20, 1], [18, 22, 17, 16], [21, 23, 24]]
13: [[2], [11, 7], [14, 4], [5, 9, 6], [8, 15], [12, 13, 10], [19, 20, 1], [18, 22, 3], [17, 16, 21], [23, 24]]
14: [[2], [11, 7], [14, 4], [5, 9, 6], [8, 15], [12, 13, 10], [19, 20, 1], [18, 22, 3], [17, 16, 21], [23, 24]]
15: [[2], [11, 7], [14, 4], [5, 9], [8, 15], [12, 13, 6], [10, 19, 20, 1], [18, 22, 3], [17, 16, 21], [23, 24]]
16: [[2], [11, 7], [14, 4], [5, 9, 6], [8, 15, 12], [13, 10, 3], [19, 20, 1], [18, 22], [17, 16, 21], [23, 24]]
17: [[2], [11, 7], [14, 4], [5, 9, 6], [8, 15, 12], [13, 10, 3], [19, 20, 1], [18, 22], [17, 16, 21], [23, 24]]
18: [[1, 2], [6, 3], [7, 11], [14, 4, 5], [9, 8], [15, 12], [13, 10], [19, 20, 18, 22, 17, 16, 21], [23, 24]]
19: [[2], [11, 7], [14, 4], [5, 9, 6], [8, 15, 12, 13], [10, 19, 1], [20, 18], [22, 17], [16, 21, 3], [23, 24]]
20: [[2], [11, 7], [14, 4], [5, 9, 6], [8, 15, 12, 13], [10, 19, 1], [20, 18], [22, 17], [16, 21, 3], [23, 24]]
21: [[2], [11, 7], [14, 4], [5, 9, 6], [8, 15], [12, 13], [10, 19, 1], [20, 18], [22, 17], [16, 21, 3], [23, 24]]
22: [[2], [11, 7], [14, 4], [5, 9, 6], [8, 15], [12, 13], [10, 19, 1], [20, 18], [22, 17], [16, 21, 3], [23, 24]]
23: [[2], [11, 7], [14, 4], [5, 9, 6], [8, 15], [12, 13], [10, 19, 1], [20, 18], [22, 17], [16, 21, 3], [23, 24]]
