0: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
1: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
2: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
3: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
4: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
5: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
6: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
7: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
8: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
9: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
10: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
11: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
12: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
13: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
14: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
15: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
