0: [[22, 11, 2, 20, 4], [1, 7, 9], [5, 12], [3, 8, 6], [14, 10], [18, 29, 24], [23, 13, 15, 16, 19, 17], [27, 21], [25, 26, 28], [30, 31, 34, 33, 32], [35, 37], [36]]
1: [[22, 11], [2, 20, 4], [1, 7, 9], [5, 12, 3], [8, 6], [14, 10, 18], [29, 24], [23, 13, 15, 16], [19, 17], [27, 21], [25, 26, 28], [30, 31, 34], [33, 32, 35], [37, 36]]
2: [[22, 11, 2], [20, 4], [1, 7, 9], [5, 12, 3], [8, 6, 14], [10, 18], [29, 24], [23, 13, 15], [16, 19, 17], [27, 21], [25, 26, 28], [30, 31, 34], [33, 32], [35, 37], [36]]
3: [[22, 11, 2], [20, 4, 1], [7, 9], [5, 12, 3], [8, 6], [14, 10, 18], [29, 24], [23, 13], [15, 16, 19], [17, 27, 21], [25, 26, 28], [30, 31], [34, 33], [32], [35, 37, 36]]
4: [[22, 11], [2, 20, 4], [1, 7, 9], [5, 12], [3, 8], [6, 14, 10, 18], [29, 24], [23, 13, 15], [16, 19], [17, 27, 21], [25, 26, 28], [30, 31], [34, 33, 32], [35, 37, 36]]
5: [[22, 11, 2, 20, 4], [1, 7, 9], [5, 12], [3, 8, 6], [14, 10], [18, 29, 24], [23, 13, 15], [16, 19, 17], [27, 21, 25], [26, 28, 30], [31, 34], [33, 32], [35, 37, 36]]
6: [[22, 11], [2, 20], [4, 1, 7], [9, 5, 12], [3, 8], [6, 14, 10], [18, 29, 24], [23, 13], [15, 16, 19], [17, 27, 21], [25, 26, 28], [30, 31, 34], [33, 32], [35, 37, 36]]
7: [[22, 11], [2, 20, 4], [1, 7], [9, 5, 12], [3, 8], [6, 14, 10], [18, 29, 24], [23, 13, 15], [16, 19, 17], [27, 21], [25, 26, 28], [30, 31, 34], [33, 32], [35, 37, 36]]
8: [[22, 11, 2], [20, 4], [1, 7], [9, 5], [12, 3, 8], [6, 14, 10], [18, 29, 24], [23, 13, 15], [16, 19], [17, 27, 21], [25, 26, 28], [30, 31, 34], [33, 32], [35, 37], [36]]
9: [[22, 11, 2], [20, 4], [1, 7], [9, 5], [12, 3, 8], [6, 14, 10], [18, 29, 24], [23, 13, 15], [16, 19], [17, 27, 21], [25, 26, 28], [30, 31, 34], [33, 32], [35, 37], [36]]
10: [[22, 11], [2, 20, 4], [1, 7, 9], [5, 12, 3], [8, 6, 14], [10, 18, 29], [24, 23], [13, 15, 16], [19, 17], [27, 21], [25, 26, 28], [30, 31, 34], [33, 32, 35], [37, 36]]
11: [[22, 11, 2], [20, 4], [1, 7, 9], [5, 12, 3], [8, 6, 14, 10], [18, 29, 24], [23, 13, 15], [16, 19, 17], [27, 21, 25], [26, 28, 30], [31, 34], [33, 32, 35], [37, 36]]
12: [[22, 11], [2, 20], [4, 1], [7, 9, 5], [12, 3, 8], [6, 14, 10], [18, 29, 24], [23, 13, 15], [16, 19], [17, 27, 21], [25, 26, 28], [30, 31, 34], [33, 32, 35], [37, 36]]
13: [[22, 11], [2, 20], [4, 1], [7, 9], [5, 12, 3], [8, 6, 14], [10, 18, 29], [24, 23], [13, 15], [16, 19, 17], [27, 21], [25, 26, 28], [30, 31, 34], [33, 32, 35], [37, 36]]
14: [[22, 11, 2, 20, 4], [1, 7, 9], [5, 12], [3, 8, 6], [14, 10], [18, 29, 24], [23, 13, 15], [16, 19], [17, 27, 21], [25, 26, 28, 30, 31], [34, 33, 32, 35, 37, 36]]
15: [[22, 11], [2, 20], [4, 1, 7], [9, 5], [12, 3, 8], [6, 14, 10], [18, 29, 24], [23, 13, 15], [16, 19], [17, 27, 21], [25, 26, 28], [30, 31, 34], [33, 32], [35, 37, 36]]
16: [[22, 11], [2, 20], [4, 1, 7], [9, 5, 12], [3, 8, 6], [14, 10, 18], [29, 24, 23], [13, 15], [16, 19, 17], [27, 21], [25, 26, 28], [30, 31, 34], [33, 32], [35, 37, 36]]
17: [[22, 11], [2, 20, 4], [1, 7], [9, 5, 12], [3, 8], [6, 14, 10], [18, 29, 24], [23, 13], [15, 16, 19], [17, 27, 21], [25, 26, 28], [30, 31], [34, 33], [32, 35], [37, 36]]
18: [[22, 11], [2, 20], [4, 1], [7, 9, 5], [12, 3], [8, 6, 14], [10, 18, 29], [24, 23, 13], [15, 16, 19], [17, 27, 21], [25, 26, 28], [30, 31, 34], [33, 32, 35], [37, 36]]
19: [[22, 11], [2, 20], [4, 1], [7, 9, 5], [12, 3], [8, 6, 14], [10, 18, 29], [24, 23, 13], [15, 16, 19], [17, 27, 21], [25, 26, 28], [30, 31, 34], [33, 32, 35], [37, 36]]
20: [[22, 11], [2, 20, 4], [1, 7, 9], [5, 12, 3], [8, 6, 14], [10, 18], [29, 24, 23], [13, 15], [16, 19], [17, 27, 21], [25, 26, 28], [30, 31, 34, 33, 32, 35, 37, 36]]
21: [[22, 11, 2], [20, 4], [1, 7], [9, 5], [12, 3], [8, 6, 14], [10, 18, 29], [24, 23], [13, 15], [16, 19, 17], [27, 21], [25, 26, 28], [30, 31, 34], [33, 32, 35], [37, 36]]
22: [[22, 11, 2], [20, 4], [1, 7, 9], [5, 12], [3, 8, 6], [14, 10, 18, 29, 24, 23], [13, 15], [16, 19, 17], [27, 21, 25, 26, 28], [30, 31], [34], [33, 32, 35, 37, 36]]
23: [[22, 11, 2], [20, 4, 1], [7, 9, 5], [12, 3, 8], [6, 14], [10, 18, 29], [24, 23, 13], [15, 16, 19], [17, 27, 21], [25, 26, 28], [30, 31, 34], [33, 32], [35, 37, 36]]
24: [[22, 11, 2, 20, 4], [1, 7, 9], [5, 12], [3, 8, 6], [14, 10], [18, 29, 24], [23, 13], [15, 16, 19], [17, 27], [21, 25, 26, 28, 30, 31, 34, 33, 32, 35, 37, 36]]
25: [[22, 11], [2, 20], [4, 1], [7, 9], [5, 12], [3, 8, 6], [14, 10], [18, 29, 24], [23, 13, 15], [16, 19, 17], [27, 21], [25, 26], [28, 30, 31], [34, 33, 32], [35, 37, 36]]
26: [[22, 11], [2, 20, 4], [1, 7, 9], [5, 12, 3], [8, 6], [14, 10, 18], [29, 24, 23], [13, 15], [16, 19, 17], [27, 21, 25], [26, 28, 30], [31, 34], [33, 32], [35], [37, 36]]
27: [[22, 11], [2, 20], [4, 1, 7, 9], [5, 12], [3, 8, 6], [14, 10], [18, 29, 24], [23, 13, 15], [16, 19, 17], [27, 21], [25, 26, 28, 30, 31, 34, 33, 32, 35, 37, 36]]
28: [[22, 11], [2, 20], [4, 1, 7], [9, 5, 12], [3, 8, 6], [14, 10, 18], [29, 24], [23, 13, 15, 16, 19, 17, 27, 21, 25, 26, 28, 30, 31, 34, 33, 32, 35, 37, 36]]
29: [[22, 11], [2, 20, 4], [1, 7, 9], [5, 12], [3], [8, 6], [14, 10], [18, 29, 24], [23, 13, 15], [16, 19], [17, 27, 21], [25, 26, 28, 30, 31, 34, 33, 32, 35, 37, 36]]
30: [[22, 11], [2, 20, 4], [1, 7], [9, 5, 12], [3, 8], [6, 14, 10], [18, 29, 24], [23, 13, 15], [16, 19], [17, 27, 21], [25, 26], [28, 30, 31, 34], [33, 32, 35], [37, 36]]
31: [[22, 11], [2, 20, 4], [1, 7, 9], [5, 12], [3, 8], [6, 14, 10], [18, 29, 24], [23, 13, 15], [16, 19, 17, 27], [21, 25, 26], [28, 30, 31, 34, 33, 32, 35, 37, 36]]
32: [[22, 11], [2, 20, 4], [1], [7, 9, 5], [12, 3, 8], [6, 14], [10, 18, 29], [24, 23, 13], [15, 16, 19], [17, 27, 21], [25, 26, 28], [30, 31, 34], [33, 32, 35], [37, 36]]
33: [[22, 11], [2, 20], [4, 1], [7, 9], [5, 12, 3], [8, 6], [14, 10, 18], [29, 24], [23, 13, 15], [16, 19, 17, 27, 21, 25, 26, 28, 30, 31, 34, 33, 32, 35, 37, 36]]
34: [[22, 11], [2, 20, 4, 1], [7, 9], [5, 12, 3], [8, 6, 14], [10, 18, 29], [24, 23, 13], [15, 16], [19, 17, 27], [21, 25], [26, 28], [30, 31, 34], [33, 32, 35], [37, 36]]
35: [[22, 11], [2, 20], [4, 1, 7], [9, 5, 12], [3, 8, 6, 14], [10, 18], [29, 24, 23], [13, 15], [16, 19, 17], [27, 21, 25], [26, 28], [30, 31, 34], [33, 32, 35], [37, 36]]
36: [[22, 11], [2, 20], [4, 1], [7, 9], [5, 12, 3], [8, 6, 14], [10, 18], [29, 24, 23], [13, 15, 16], [19, 17], [27, 21, 25], [26, 28, 30], [31, 34], [33, 32, 35], [37, 36]]
37: [[22, 11], [2, 20, 4], [1, 7, 9], [5, 12], [3, 8], [6, 14, 10], [18, 29], [24, 23], [13, 15, 16], [19, 17], [27, 21, 25], [26, 28], [30, 31, 34], [33, 32], [35, 37, 36]]
38: [[22, 11, 2], [20, 4, 1], [7, 9], [5, 12, 3], [8, 6], [14], [10, 18], [29, 24, 23], [13, 15, 16], [19, 17], [27, 21, 25], [26, 28, 30], [31, 34, 33], [32, 35], [37, 36]]
39: [[22, 11], [2, 20, 4], [1, 7, 9], [5, 12, 3], [8, 6, 14], [10, 18, 29], [24, 23, 13], [15, 16, 19], [17, 27], [21, 25], [26, 28, 30], [31, 34, 33], [32, 35], [37, 36]]
40: [[22, 11], [2, 20], [4, 1, 7], [9, 5, 12], [3, 8, 6], [14, 10, 18], [29, 24, 23], [13, 15], [16, 19, 17], [27, 21, 25], [26, 28, 30], [31, 34, 33], [32, 35], [37, 36]]
41: [[22, 11, 2], [20, 4], [1, 7, 9], [5, 12, 3], [8, 6, 14], [10, 18], [29, 24, 23], [13, 15, 16, 19, 17, 27, 21, 25, 26, 28, 30, 31, 34, 33, 32, 35, 37, 36]]
42: [[22, 11], [2, 20, 4], [1, 7], [9, 5, 12], [3, 8], [6, 14, 10], [18, 29, 24], [23, 13], [15, 16, 19], [17, 27, 21], [25, 26], [28, 30, 31], [34, 33, 32], [35, 37, 36]]
43: [[22, 11], [2, 20], [4, 1, 7], [9, 5, 12], [3, 8, 6], [14, 10, 18], [29, 24, 23], [13, 15], [16, 19, 17], [27, 21, 25], [26, 28], [30, 31], [34, 33, 32], [35, 37, 36]]
44: [[22, 11, 2], [20, 4, 1], [7, 9], [5, 12, 3], [8, 6, 14], [10, 18, 29], [24, 23], [13, 15, 16, 19, 17, 27, 21, 25, 26, 28, 30, 31, 34, 33, 32, 35, 37, 36]]
45: [[22, 11], [2, 20], [4, 1, 7], [9, 5, 12], [3, 8, 6], [14, 10, 18], [29, 24, 23], [13, 15, 16], [19, 17], [27, 21, 25], [26, 28, 30], [31, 34, 33], [32, 35], [37, 36]]
46: [[22, 11, 2, 20], [4, 1, 7], [9, 5, 12, 3, 8, 6, 14, 10, 18, 29, 24, 23, 13, 15, 16, 19, 17, 27, 21, 25, 26, 28, 30, 31, 34, 33, 32, 35, 37, 36]]
47: [[22, 11, 2], [20, 4], [1, 7, 9], [5, 12], [3, 8, 6], [14, 10, 18], [29, 24, 23], [13, 15, 16], [19, 17, 27], [21, 25, 26], [28, 30, 31], [34, 33], [32, 35], [37, 36]]
48: [[22, 11], [2, 20], [4, 1, 7], [9, 5, 12], [3, 8, 6], [14, 10], [18, 29], [24, 23], [13, 15, 16], [19, 17], [27, 21, 25], [26, 28], [30, 31, 34], [33, 32, 35, 37, 36]]
49: [[22, 11, 2], [20, 4], [1, 7, 9], [5, 12], [3, 8], [6, 14], [10, 18, 29], [24, 23, 13, 15, 16, 19, 17, 27, 21, 25, 26, 28], [30, 31, 34, 33, 32, 35, 37, 36]]
