0: [[8, 10, 1, 5, 2, 7], [3, 11], [12, 13, 9], [14, 6, 16, 15], [19, 17, 20, 18, 4]]
1: [[8, 10, 1, 5, 2, 7], [3, 11], [12, 13, 9], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
2: [[8, 10, 1, 5, 2, 7], [3, 11], [13, 12, 9], [14, 15, 16, 6], [19, 17, 18, 20, 4]]
3: [[8, 10, 1, 5, 2, 7], [3, 11], [13, 12, 9], [14, 15, 16, 6], [19, 17, 18, 20, 4]]
4: [[8, 10], [1, 5, 2], [7, 3, 11, 12, 13, 9], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
5: [[8, 10], [1, 5, 2, 7, 3, 11], [12, 13, 9], [15, 14, 16, 6], [17, 19, 20, 18, 4]]
6: [[8, 10], [1, 5, 2, 7, 3, 11], [13, 12, 9], [15, 14, 16, 6], [19, 17, 18, 20, 4]]
7: [[8, 10], [1, 5, 2, 7, 3, 11], [12, 13, 9], [14, 15, 16, 6], [19, 17, 18, 20, 4]]
8: [[8, 10], [1, 5, 2, 7, 3, 11], [12, 13, 9], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
9: [[8, 10], [1, 5, 2, 7, 3, 11], [13, 12, 9], [14, 15, 16, 6], [19, 17, 18, 20, 4]]
10: [[8, 10], [1, 5, 2, 7, 3, 11], [12, 13, 9], [14, 15, 16, 6], [19, 17, 18, 20, 4]]
11: [[8, 10, 1, 5, 2, 7, 3], [11, 12, 9], [13], [14, 16, 15, 6], [19, 17, 20, 18, 4]]
12: [[8, 10, 1, 5, 2, 7], [3, 11, 12], [13, 9], [6, 15, 14, 4], [19, 17, 18, 16, 20]]
13: [[8, 10, 1, 5, 2, 7], [3, 11], [12, 13, 4], [14, 15, 6, 9], [19, 17, 18, 16, 20]]
14: [[8, 10, 1, 2, 6, 7, 3], [11, 12, 13, 9], [15, 14], [5, 4], [19, 17, 18, 20, 16]]
15: [[8, 10, 1, 5, 2, 7], [3, 11], [13, 4, 9], [14, 12, 15, 6], [19, 16, 18, 20, 17]]
16: [[8, 10, 1, 5, 2], [7, 3, 11, 12, 9], [13, 14, 15, 6, 4], [17, 19, 18, 20, 16]]
17: [[8], [10, 1, 5, 2, 7, 3, 11], [12, 9, 13], [14, 6, 16, 15], [17, 19, 18, 20, 4]]
18: [[8, 10, 1], [5, 2], [7, 3, 11, 12, 13, 9], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
19: [[8, 10, 1], [5, 2], [7, 3, 11, 12, 13, 9], [14, 15, 16, 6], [19, 17, 18, 20, 4]]
20: [[8, 10, 1], [5, 2], [7, 3, 12, 13, 11, 9], [14, 15, 16, 6], [19, 17, 18, 20, 4]]
21: [[8, 10, 1], [5, 2], [7, 3, 11, 13, 12, 9], [15, 14, 16, 6], [19, 17, 20, 4, 18]]
22: [[8, 10, 1, 5, 2, 7], [3, 11], [13, 12, 9], [15, 20, 6, 14], [17, 19, 18, 16, 4]]
23: [[8, 10], [1, 5, 2, 6, 7, 11], [13, 12, 3, 9], [14, 16, 15], [17, 18, 19, 20, 4]]
24: [[8, 10, 1, 5, 2], [7, 3, 6], [13, 11, 9], [14, 15, 12, 4], [19, 17, 16, 18, 20]]
25: [[8, 10, 1, 5, 2, 7], [3, 11], [12, 4, 9], [15, 13, 14, 6], [18, 17, 19, 20, 16]]
26: [[8, 10, 1, 5, 2], [7, 3, 11, 12], [13, 6, 15, 14, 4, 9], [17, 19, 20, 16, 18]]
27: [[8, 10, 1], [5, 2], [7, 3, 11, 13, 12, 9], [14, 17, 6, 4], [19, 15, 18, 16, 20]]
28: [[8, 10, 1, 5], [2, 7, 3, 6], [12, 13], [9, 15, 11, 14, 16], [19, 17, 20, 18, 4]]
29: [[8, 10], [1, 3, 2], [7, 4, 11, 13, 12, 5], [14, 15, 6, 9], [18, 17, 16, 19, 20]]
30: [[8, 10, 1, 2], [5, 7, 3, 6, 9], [11, 13], [12, 15, 14, 4], [17, 19, 18, 16, 20]]
31: [[8, 10, 1, 5], [2, 7, 3, 6], [9, 13], [11, 14, 16, 15, 12], [19, 17, 18, 20, 4]]
32: [[8, 10, 1, 5], [2, 7, 3], [11, 12], [13, 9, 15, 14, 16, 6], [19, 17, 20, 18, 4]]
33: [[8, 10, 1, 5], [2, 7, 3], [11, 12], [4, 9, 14, 15, 13, 6], [19, 16, 18, 20, 17]]
34: [[8, 10, 1], [5, 2, 7, 3, 11, 12], [13, 9], [14, 4, 15, 6], [19, 17, 18, 16, 20]]
35: [[8, 10, 1, 5], [2, 7, 3, 11, 12, 13, 9], [14, 4], [6, 15], [19, 17, 18, 20, 16]]
36: [[8, 10, 1], [5, 2], [7, 3, 11, 12, 13, 4], [14, 15, 16, 6], [19, 17, 18, 20, 9]]
37: [[8, 10, 1], [5, 2], [7, 3, 11, 12, 13, 6], [14, 9, 15, 16], [19, 17, 18, 20, 4]]
38: [[8, 10, 1, 5], [2, 6, 7], [11, 12, 13, 3, 14, 15], [9, 17], [19, 16, 18, 20, 4]]
39: [[8, 10, 1, 5], [2, 7, 3], [11, 13], [12, 9, 4, 6, 15, 14], [17, 16, 18, 20, 19]]
40: [[8, 10, 1, 5], [2, 7, 3], [11, 12, 13, 4, 14, 15], [16, 9], [19, 17, 18, 20, 6]]
41: [[8, 10, 1, 5], [2, 7, 3, 11, 12, 13], [9, 15], [16, 14, 4], [17, 19, 18, 6, 20]]
