0: [[10, 3], [4, 22], [1, 2, 13], [5, 7, 14, 6, 9, 11], [8, 12, 17, 15, 16, 18, 19, 20], [23, 21, 24]]
1: [[10, 3], [4, 22], [1, 2, 13], [5, 7, 14, 6, 9, 11], [8, 12, 17, 15, 16, 18, 19, 20], [23, 21, 24]]
2: [[10, 3], [4, 22], [1, 2, 13], [5, 7, 14, 6, 9, 11], [8, 12, 17, 15, 16, 18, 19, 20], [23, 21, 24]]
3: [[10, 3], [4, 22], [1, 2, 13, 5], [7, 14, 6, 9, 11], [8, 12, 17, 15, 16, 18, 19, 20], [23, 21, 24]]
4: [[10, 3], [4, 22], [1, 2, 13], [5, 7, 14, 6, 9, 8], [11, 12, 17, 15, 16, 18, 19, 20], [23, 21, 24]]
5: [[10, 3], [4, 22], [1, 2], [13, 5, 7, 14, 6, 9, 11, 8], [12, 17, 15, 16, 18, 19, 20], [23, 21, 24]]
6: [[10, 3], [4, 22], [1, 2], [13, 5, 7, 14, 6, 9, 8, 11], [12, 17, 15, 16, 18, 19, 20], [23, 21, 24]]
7: [[10, 3], [4, 22], [1, 2], [13, 5, 7, 14, 6, 9, 11, 8], [12, 17, 15, 16, 18, 19, 20], [23, 21, 24]]
8: [[22, 1, 2, 13, 5, 4], [7, 14, 6, 9, 11], [8, 12, 17, 15], [16, 18, 3], [19, 20, 10], [23, 21, 24]]
9: [[22, 1, 2, 13, 4], [5, 7, 14, 6, 9, 8, 11], [12, 17, 15], [16, 18, 3], [19, 20, 10], [23, 21, 24]]
10: [[10, 3], [4, 22], [1, 2, 13, 5], [7, 14, 6, 9, 8, 11], [12, 17, 15, 16, 18, 19, 20], [23, 21, 24]]
11: [[10, 3], [4, 22], [1, 2], [13, 5, 7, 14, 6, 9], [11, 8, 12, 17, 15, 16, 18, 19, 20], [23, 21, 24]]
12: [[10, 3], [4, 22], [1, 2], [13, 5, 7, 14, 6, 9], [8, 11, 12, 17, 15, 16, 18, 19, 20], [23, 21, 24]]
13: [[22, 1, 2, 4], [13, 5, 7, 14, 6, 9, 8], [11, 12, 17, 15], [16, 18, 3], [19, 20, 10], [23, 21, 24]]
14: [[10, 3], [4, 22], [1, 2], [13, 5, 7, 14, 6, 9], [11, 8, 12, 17, 15, 16, 18, 19, 20], [23, 21, 24]]
15: [[10, 3], [4, 22], [1, 2], [13, 5, 7, 14, 6, 9], [11, 8, 12, 17, 15, 16, 18, 19, 20], [23, 21, 24]]
16: [[10, 3], [4, 22], [1, 2], [13, 5, 7, 14, 6, 9, 11, 8, 12], [17, 15, 16, 18, 19, 20], [23, 21, 24]]
17: [[10, 3], [4, 22], [1, 2], [13, 5, 7, 14, 6, 9, 8, 11, 12], [17, 15, 16, 18, 19, 20], [23, 21, 24]]
18: [[10, 3], [4, 22], [1, 2], [13, 5, 7, 14, 6], [9, 11, 8, 12, 17, 15, 16, 18, 19, 20], [23, 21, 24]]
19: [[10, 3], [4, 22], [1, 2, 13, 5], [7, 14, 6, 9], [11, 8, 12, 17, 15, 16, 18, 19, 20], [23, 21, 24]]
20: [[10, 3], [4, 22], [1, 2, 13, 5], [7, 14, 6, 9, 8, 11, 12], [17, 15, 16, 18, 19, 20], [23, 21, 24]]
21: [[22, 1, 2, 13, 5, 4], [7, 14, 10], [6, 9, 3], [11, 8], [12, 17, 15, 16, 18, 19, 20], [23, 21, 24]]
22: [[22, 3, 4], [1, 2], [13, 5], [7, 14, 6, 9, 10], [11, 8, 12, 17, 15, 16, 18, 19, 20], [23, 21, 24]]
23: [[22, 1, 2, 4], [13, 5, 7, 14, 6, 9], [8, 11], [12, 17, 15, 16, 18, 3], [19, 20, 10], [23, 21, 24]]
24: [[10, 3], [4, 22, 1], [2, 13], [5, 7, 14, 6, 9, 11, 8], [12, 17, 15, 16, 18, 19, 20], [23, 21, 24]]
25: [[22, 1, 2, 13], [5, 7], [14, 6, 10, 3, 4], [9, 11, 8], [12, 17, 15, 16, 18, 19, 20], [23, 21, 24]]
26: [[22, 1, 2, 13], [5, 7], [14, 6, 10, 3, 4], [9, 11, 8], [12, 17, 15, 16, 18, 19, 20], [23, 21, 24]]
27: [[22, 1, 4], [2, 13, 10, 3], [5, 7, 14, 6, 9, 8], [11, 12, 17, 15, 16, 18, 19, 20], [23, 21, 24]]
28: [[10, 3], [4, 22], [1, 2, 13, 5, 7], [14, 6, 9, 11, 8], [12, 17, 15, 16, 18, 19, 20], [23, 21, 24]]
29: [[10, 3], [4, 22], [1, 2, 13, 5, 7], [14, 6, 9, 11, 8], [12, 17, 15, 16, 18, 19, 20], [23, 21, 24]]
30: [[10, 3], [4, 22], [1, 2, 13, 5, 7, 14, 6], [9, 11, 8, 12, 17, 15, 16, 18], [19, 20], [23, 21, 24]]
31: [[22, 1, 2, 4], [13, 5], [7, 14, 6, 9, 11, 8, 12, 10], [17, 15, 16, 18, 19, 20, 3], [23, 21, 24]]
32: [[22, 1], [2, 13, 5, 7, 14, 6, 9, 8], [11, 12, 17, 15], [16, 18, 3], [19, 20, 10, 4], [23, 21, 24]]
33: [[22, 1, 3, 4], [2, 13, 5, 7, 14, 6, 10], [9, 8], [11, 12, 17, 15, 16, 18, 19, 20], [23, 21, 24]]
34: [[10, 3], [4, 22], [1, 2, 13, 5, 7, 14, 6, 9], [8, 11, 12], [17, 15, 16, 18, 19, 20], [23, 21, 24]]
35: [[22, 1, 2, 13, 5, 7, 4], [14, 6, 9, 11, 8, 12], [17, 15], [16, 18, 3], [19, 20, 10], [23, 21, 24]]
