0: [[11, 35, 5, 7, 2, 1, 14], [12, 9, 4, 3, 8, 24], [13, 19, 21, 6], [23, 15, 16, 22, 29, 17, 18, 10], [27, 25], [26, 20, 31, 28, 30, 33, 32, 34, 38], [36, 43, 45, 39, 42, 37, 47], [40, 41, 46, 53, 44, 51, 55], [57, 49], [50, 54, 52, 48, 56, 58, 60, 59]]
1: [[11, 35, 5, 7, 2], [1, 3, 6, 9, 8, 4, 10, 29, 13, 21, 15, 28, 12], [14, 22, 17], [16, 19, 25, 26, 31, 23, 18, 20, 27], [24, 30, 33, 38, 39], [32, 36, 34, 45, 41, 42, 43, 37], [46, 47, 40, 44, 50, 48, 54], [57, 49], [51, 52, 53, 55, 59, 58, 60, 56]]
2: [[11, 35, 5, 7, 2, 1], [14, 4, 3, 8, 6, 9, 10, 15, 29, 26, 16, 12, 17, 18, 22, 25, 13, 21, 19, 30, 23, 20, 31, 24, 28, 27, 33, 34, 32, 36, 38, 43, 45], [46, 41], [37, 40, 42, 48, 47, 39, 44, 51], [49, 57, 52, 55, 54, 53], [50, 60, 58, 56, 59]]
3: [[11, 35, 5, 7, 2, 1, 14], [9, 4, 3, 8, 12, 31, 10, 6, 13, 21, 15, 16], [17, 23, 28, 18, 25, 20, 30, 19, 22], [27, 24, 26, 29, 33, 34, 38], [32, 36, 43, 46, 39, 41, 47], [37, 45, 40, 42, 53, 51, 44], [54, 57, 49, 50, 48, 52], [55, 58, 56, 60, 59]]
4: [[11, 35, 5, 7, 2, 1, 14, 3], [4], [9, 6, 8, 24], [31, 23, 29, 12, 13, 17, 16, 10, 15, 21, 18], [26, 22, 20, 19, 25, 27, 28], [30, 33, 34, 36, 37, 32, 43], [38, 47, 46, 39], [40, 41, 60, 44, 45, 51, 52], [48, 57, 42, 53, 49, 50], [54, 59, 55, 56, 58]]
5: [[11, 35, 5, 7, 2, 1], [14], [12, 3, 6, 4, 9, 31, 13, 21, 10, 8, 15, 19, 18, 20, 25, 17, 24, 16, 22, 23, 27, 26, 30, 28, 29, 37, 34, 36, 38, 32, 47, 44, 39, 40, 33, 43, 42], [41, 45], [46, 52, 48, 49, 57, 50, 53, 54], [51, 55, 60, 59, 58, 56]]
6: [[11, 35, 5, 7, 2], [3, 14, 12, 1, 6, 4, 8, 24, 25, 13, 9, 10, 26, 17, 16, 22, 15, 19, 18, 21, 31, 20, 23, 27, 28, 29, 30, 33, 32, 34, 37, 38, 43, 42, 36, 40, 45, 39, 44, 41, 46, 47, 48, 51, 54], [56, 49, 52, 50, 53, 55, 57, 58, 59, 60]]
7: [[11, 35, 5, 7, 2], [1, 12, 3, 4, 8, 24], [15, 19, 9, 6, 10, 18], [13, 14, 16, 17, 21], [31], [23, 25, 22, 26, 27, 20, 29, 28, 30, 33, 32, 34, 38, 36, 43, 39, 47, 45, 37, 40, 46, 41, 42, 53, 48, 44, 54], [57, 51], [49, 55, 50, 52, 56, 58, 60, 59]]
8: [[11, 35, 5, 7, 2, 1, 14], [12, 3, 4, 13, 9, 25], [8, 19, 22, 6], [18, 15, 16, 20, 29, 17, 23, 10], [26, 27], [24, 21, 31, 28, 30, 33, 32, 34, 38], [36, 47, 45, 39, 40, 41, 37], [42, 43, 46, 53, 44, 51, 55], [57, 49], [50, 48, 54, 52, 56, 58, 60, 59]]
9: [[11, 35, 5, 7, 2, 1, 14], [4, 3, 9, 8, 12, 28, 13, 15, 10, 17, 23, 6, 20, 19, 22, 16, 21, 24, 31, 26, 30, 18, 25, 27, 29, 33, 32, 36, 38, 34, 41, 39, 43, 37, 40, 44, 42, 46, 47], [52, 48, 51, 55, 57, 49, 45, 50, 53, 58, 56, 54, 59, 60]]
10: [[11, 35, 5, 7, 2, 1, 14], [4, 3, 8, 9, 6, 17, 10, 15, 12, 13, 23, 22, 18, 19, 16, 21, 29, 24], [20, 26, 30, 25, 27, 28, 31], [33, 40, 38, 32, 34, 43, 41], [39, 37, 36, 42, 44, 45, 47], [52, 48, 51, 55, 57, 49, 46, 50, 53, 54, 56, 58, 59, 60]]
11: [[11, 35, 5, 7, 2, 1, 14], [4, 10, 6, 3, 8, 24, 9, 23, 15, 17, 13, 18, 16, 12, 19, 21], [22], [20, 28, 25, 26, 27, 30, 29, 31, 37, 32, 36], [33, 39, 41, 38, 34, 40, 43], [46, 42, 45, 44, 47, 49, 51, 55, 57, 48, 59, 52, 53, 54, 56, 50, 58, 60]]
12: [[11, 35, 5, 7, 2, 1, 14], [12, 3, 4, 8, 9, 24, 18, 10, 15, 13, 19, 23, 21], [16, 27, 6, 22, 26, 17, 28, 31, 20, 30], [25, 33, 29, 32, 37, 34, 36, 45], [39, 43, 41, 42], [46, 38, 40, 44, 53, 47, 50], [48, 57, 49, 51, 52, 54], [55, 58, 59, 60, 56]]
13: [[11, 35, 5, 7, 2, 1, 14], [4, 3, 8, 9, 17, 12, 13, 19, 31, 16, 22, 15, 25, 18, 10, 21, 6], [24, 23, 20, 28, 27, 26, 29], [30, 33, 40, 38, 32, 34, 43], [41, 37, 42, 36, 39, 44, 45], [46], [54, 50, 51, 49, 57, 55, 47, 48], [52, 53, 56, 59, 58, 60]]
14: [[11, 35, 5, 7, 2, 1, 14], [6, 3, 12, 8, 4, 31, 9, 17], [24, 13], [10, 15, 16, 30, 21, 19, 18, 20, 23], [22, 28, 27, 29, 26, 25, 37, 34, 38, 32, 33], [43, 46, 36, 39, 42, 44, 45, 47, 40, 50], [48, 51, 41], [57, 49, 53, 52, 54, 55, 58, 59, 60, 56]]
15: [[11, 35, 5, 7, 2, 1, 14], [12, 9, 4, 3, 8, 26], [13, 15, 21, 6], [29, 18, 16, 22, 30, 17, 19, 10], [23, 27], [20, 24, 28, 25, 31, 33, 32], [34, 38, 36, 43, 42, 39, 40, 37], [44, 47], [41, 46, 52, 49, 51], [55, 57, 48, 45], [54, 53, 50, 56, 58, 59, 60]]
16: [[11, 35, 5, 7, 2, 1, 14], [12, 3, 4, 8, 6, 17, 10, 23, 9, 25, 15, 13, 21, 18, 16, 19, 24, 22, 28, 20, 27, 29, 31, 26, 30, 33, 34, 36, 37, 32, 46, 39, 43], [40, 42, 38], [41, 44, 47, 54, 50, 45, 58, 57, 49, 51, 53, 52, 48, 55, 56, 59, 60]]
17: [[11, 35, 5, 7, 2, 1, 14], [12, 10, 3, 4, 9, 24, 6, 31, 8, 18, 13, 19, 20, 15, 17, 27], [21], [16, 22, 28, 25, 26, 23, 30, 29, 37, 34, 36, 32, 33, 43, 47, 39, 42, 46, 41, 45], [38, 40], [53, 44, 60, 54, 57, 48, 49, 50], [51, 52, 56, 55, 58, 59]]
18: [[11, 35, 5, 7, 2, 1, 14], [12, 8, 4, 3, 10, 25], [13, 19, 20, 6, 31, 15, 22, 9, 24, 17, 16, 21, 23, 28, 27, 18, 29, 26, 30, 33, 32, 36, 38, 34, 41, 47, 37, 40, 39, 42, 45, 46, 43], [55, 48, 51, 44, 57, 49, 53, 50, 52, 56, 54, 60, 59, 58]]
19: [[11, 35, 5, 7, 2, 1], [14, 12, 3, 4, 6, 8, 9, 15, 17, 26, 25, 13, 10, 18, 19, 29, 21, 16, 20, 30, 23, 27, 31, 28, 24, 22, 33, 34, 32, 37, 38, 43], [45, 39, 40], [42], [47, 36, 41, 44, 46, 52, 48, 49, 57, 50, 51, 54, 53, 55, 58], [59, 60, 56]]
20: [[11, 35, 5, 7, 2, 1], [14, 4, 3, 12, 6, 8, 21, 10, 13, 29, 16], [9, 15, 17, 30, 18, 20, 23, 19, 22, 24, 26, 28, 25, 27, 31, 37, 34, 32, 36, 38, 47, 45, 41, 43, 40, 39, 50, 42, 46, 52, 44, 49, 33, 57, 55, 48, 51, 54, 59, 53, 60, 58, 56]]
21: [[11, 35, 5, 7, 2, 1, 14], [4, 3, 10, 8, 26, 17, 15, 6, 12, 30], [13, 9, 20, 22, 19, 16, 18, 24], [25, 21, 23, 31, 28, 29, 27], [37, 32, 33, 43, 36, 42, 34], [38, 40, 39, 41, 46, 45, 44], [53, 47, 51, 52, 57, 49, 54, 55], [48, 50], [56, 58, 60, 59]]
22: [[11, 35, 5, 7, 2, 1, 14], [4, 10], [6, 3, 8, 16, 13, 23, 21, 15], [9, 18, 12, 20, 19, 17, 22, 26, 25, 29, 24, 27, 30, 28, 31, 41, 32, 38, 33, 36, 43, 46, 37, 34, 39, 45, 42, 44, 40, 53, 51, 47, 49, 56, 48, 50, 52, 55, 54, 57, 59, 58, 60]]
