0: [[14, 7, 8], [1, 11, 2, 13], [5, 15, 18, 12], [6, 16, 4, 3], [19, 22, 9, 20, 10, 17], [21, 23, 24]]
1: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9, 20, 10, 17], [21, 23, 24]]
2: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5, 16], [4, 3, 19, 22], [9, 20, 10, 17], [21, 23, 24]]
3: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5, 16], [4, 3, 19, 22], [9, 20, 10, 17], [21, 23, 24]]
4: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9], [20, 10, 17], [21, 23, 24]]
5: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3, 19, 22, 9, 20, 10, 17], [21, 23, 24]]
6: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9], [20, 10, 17], [21, 23, 24]]
7: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9], [20, 10, 17], [21, 23, 24]]
8: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9], [20, 10, 17], [21, 23, 24]]
9: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9], [20, 10, 17], [21, 23, 24]]
10: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9], [20, 10, 17], [21, 23, 24]]
11: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9], [20, 10, 17], [21, 23, 24]]
12: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9], [20, 10, 17], [21, 23, 24]]
13: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9], [20, 10, 17], [21, 23, 24]]
14: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9], [20, 10, 17], [21, 23, 24]]
15: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9], [20, 10, 17], [21, 23, 24]]
16: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9], [20, 10, 17], [21, 23, 24]]
17: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9], [20, 10, 17], [21, 23, 24]]
18: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9], [20, 10, 17], [21, 23, 24]]
19: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9], [20, 10, 17], [21, 23, 24]]
20: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9], [20, 10, 17], [21, 23, 24]]
21: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9], [20, 10, 17], [21, 23, 24]]
22: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9], [20, 10, 17], [21, 23, 24]]
23: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9], [20, 10, 17], [21, 23, 24]]
24: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9], [20, 10, 17], [21, 23, 24]]
25: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9], [20, 10, 17], [21, 23, 24]]
26: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9], [20, 10, 17], [21, 23, 24]]
27: [[14, 7, 8], [1, 11, 2, 13], [5, 15, 18, 12], [6, 16, 4], [3, 19, 22], [9, 20, 10, 17], [21, 23, 24]]
28: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9, 20], [10, 17], [21, 23, 24]]
29: [[14, 7, 8], [1, 11, 2, 13], [6, 15, 18, 12], [5, 16, 4, 3], [19, 22, 9, 20], [10, 17], [21, 23, 24]]
30: [[14, 7, 8], [1, 11, 2], [13, 5, 15], [18, 12], [6, 16, 4, 3], [19, 22, 9], [20, 10, 17], [21, 23, 24]]
31: [[14, 7, 8], [1, 11, 2, 13], [5, 15], [18, 12, 6], [16, 4, 3], [19, 22, 9], [20, 10, 17], [21, 23, 24]]
32: [[14, 7, 8], [1, 11], [2, 13, 6], [15, 18, 12], [5, 16, 4], [3, 19, 22, 9], [20, 10, 17], [21, 23, 24]]
33: [[14, 7, 8], [1, 11, 2, 13], [6, 15, 18, 12], [5, 16, 4, 3, 19, 22], [9, 20, 10], [17, 21, 23, 24]]
34: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9, 20, 10, 17, 21, 23, 24]]
35: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9, 20, 10, 17, 21, 23, 24]]
36: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9, 20, 10, 17, 21, 23, 24]]
37: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9, 20, 10, 17, 21, 23, 24]]
38: [[14, 7, 8], [1, 11, 2], [13, 6, 15], [18, 12, 5], [16, 4, 3], [19, 22, 9], [20, 10, 17, 21, 23, 24]]
39: [[14, 7, 8], [1, 11, 2, 13], [6, 15, 18, 12], [5, 16, 4, 3], [19, 22, 9], [20, 10, 17, 21, 23, 24]]
