0: [[18, 9, 16, 13, 5, 6, 3, 1, 2, 4], [11, 12, 8, 7, 14, 10, 15, 19, 17, 20, 22], [21, 23, 24]]
1: [[18, 9, 16, 13, 5, 6, 3, 1, 2, 4], [11, 12, 8, 7, 14, 10, 15, 19, 17, 20, 22], [21, 23, 24]]
2: [[18, 9, 16, 13, 5, 6, 3, 1, 2, 4], [11, 12, 8, 7, 14, 10, 15, 19, 17, 20, 22], [21, 23, 24]]
3: [[18, 9, 16, 13, 5, 6, 3, 1, 2, 4], [11, 12, 8, 7, 14, 10, 15, 19, 17, 20, 22], [21, 23, 24]]
4: [[18, 9, 16, 13, 5, 6, 3, 1, 2, 4], [11, 12, 8, 7, 14, 10, 15, 19, 17, 20, 22], [21, 23, 24]]
5: [[18, 9, 16, 13, 5, 6, 3, 1, 2, 4], [11, 12, 8, 7, 14, 10, 15, 19, 17, 20, 22], [21, 23, 24]]
6: [[18, 9, 16, 13, 5, 6, 3, 1, 2, 4], [11, 12, 8, 7, 14, 10, 15, 19, 17, 20, 22], [21, 23, 24]]
7: [[18, 9, 16, 13, 5, 6, 3, 1, 2, 4], [11, 12, 8, 7, 14, 10, 15, 19, 17, 20, 22], [21, 23, 24]]
8: [[18, 9, 16, 13, 5, 6, 3, 1, 2, 4], [11, 12, 8, 7, 14, 10, 15, 19, 17, 20, 22], [21, 23, 24]]
9: [[18, 9, 16, 13, 5, 6, 3, 1, 2, 4], [11, 12, 8, 7, 14, 10, 15, 19, 17, 20, 22], [21, 23, 24]]
10: [[18, 9, 16, 13, 5, 6, 3, 1, 2, 4], [11, 12, 8, 7, 14, 10, 15, 19, 17, 20, 22], [21, 23, 24]]
11: [[18, 9, 16, 13, 5, 6, 3, 1, 2, 4], [11, 12, 8, 7, 14, 10, 15, 19, 17, 20, 22], [21, 23, 24]]
12: [[18, 9, 16, 13, 5, 6, 3, 1, 2, 4], [11, 12, 8, 7, 14, 10, 15, 19, 17, 20, 22], [21, 23, 24]]
13: [[18, 9, 16, 13, 5, 6, 3, 1, 2, 4], [11, 12, 8, 7, 14, 10, 15, 19, 17, 20, 22], [21, 23, 24]]
14: [[18, 9, 16, 13, 5, 6, 3, 1, 2, 4], [11, 12, 8, 7, 14, 10, 15, 19, 17, 20, 22], [21, 23, 24]]
15: [[18, 9, 16, 13, 5, 6, 3, 1, 2, 4], [11, 12, 8, 7, 14, 10, 15, 19, 17, 20, 22], [21, 23, 24]]
16: [[18, 9, 16, 13, 5, 6, 3, 1, 2, 4], [11, 12, 8, 7, 14, 10, 15, 19, 17, 20, 22], [21, 23, 24]]
17: [[18, 9, 16, 13, 5, 6, 3, 1, 2, 4], [11, 12, 8, 7, 14, 10, 15, 19, 17, 20, 22], [21, 23, 24]]
18: [[18, 9, 16, 13, 5, 6, 3, 1, 2, 4], [11, 12, 8, 7, 14, 10, 15, 19, 17, 20, 22], [21, 23, 24]]
19: [[18, 9, 16, 13, 5, 6, 3, 1, 2, 4], [11, 12, 8, 7, 14, 10, 15, 19, 17, 20, 22], [21, 23, 24]]
20: [[18, 9, 16, 13, 5, 6, 3, 1, 2, 4], [11, 12, 8, 7, 14, 10, 15, 19, 17, 20, 22], [21, 23, 24]]
21: [[18, 9, 16, 13, 5, 6, 3, 1, 2, 4], [11, 12, 8, 7, 14, 10, 15, 19, 17, 20, 22], [21, 23, 24]]
22: [[18, 9, 16, 13, 5, 6, 3, 1, 2, 4], [11, 12, 8, 7, 14, 10, 15, 19, 17, 20, 22], [21, 23, 24]]
23: [[18, 9, 16, 13, 5, 6, 3, 1, 2, 4], [11, 12, 8, 7, 14, 10, 15, 19, 17, 20, 22], [21, 23, 24]]
24: [[18, 9, 16, 13, 5, 6, 3, 1, 2], [4, 11, 12, 8, 7, 14, 10, 15, 19, 17, 20, 22], [21, 23, 24]]
25: [[18, 9, 16, 13, 5, 6, 3, 1, 2], [4, 11, 12, 8, 7, 14, 10, 15, 19, 17, 20, 22], [21, 23, 24]]
