0: [[9, 11, 6, 8], [5, 1, 2, 3], [10, 4], [12, 13, 7]]
1: [[9, 11, 6, 8], [5, 1, 2, 3], [10, 4], [12, 13, 7]]
2: [[9, 11, 6, 8], [5, 1, 2, 3], [10, 4], [12, 13, 7]]
3: [[9, 11, 6, 8], [5, 1, 2, 3], [10, 4], [12, 13, 7]]
4: [[9, 11, 6, 8], [5, 1, 2, 3], [10, 4], [12, 13, 7]]
5: [[9, 11, 6, 8], [5, 1, 3], [10, 4], [12, 13, 2, 7]]
6: [[9, 11], [6, 8], [5, 1, 3, 2], [10, 4], [12, 13, 7]]
7: [[9, 11, 6], [8, 5, 1, 2, 3], [10, 4], [12, 13, 7]]
8: [[9, 11, 6], [8, 5, 1, 2, 3], [10, 4], [12, 13, 7]]
9: [[9, 11, 6, 8], [5, 1, 2, 3], [10, 4, 12], [13, 7]]
10: [[9, 11, 6, 8], [5, 1, 3], [10, 12, 13, 7, 2], [4]]
11: [[9, 11, 6], [8, 5, 1, 2], [3, 10, 4], [12, 13, 7]]
12: [[9, 11, 6], [8, 5], [1, 2, 3], [10, 4], [12, 13, 7]]
13: [[9, 11], [6, 8, 5], [1, 2, 3], [10, 4], [12, 13, 7]]
14: [[9, 11], [6, 8, 5], [1, 2, 3], [10, 4], [12, 13, 7]]
15: [[9, 11], [6, 8, 5], [1, 2, 3], [10, 4], [12, 13, 7]]
16: [[9, 11, 6, 8], [5, 1, 3], [10, 2], [12, 13, 7, 4]]
17: [[9, 11, 6, 8], [5, 1, 3], [10, 2], [12, 13, 7, 4]]
18: [[9, 11, 6], [8, 5, 1, 2, 4], [3], [10], [12, 13, 7]]
19: [[9, 11, 6], [8, 5], [1, 3], [10, 12, 13, 2, 4, 7]]
20: [[9, 11, 6, 8], [5, 1, 2], [3, 10, 4, 12, 13, 7]]
21: [[9, 11], [6, 8], [5, 1], [3, 10, 4], [12, 13, 2, 7]]
22: [[9, 11, 6], [8, 5], [1, 2, 3], [10, 4, 12], [13, 7]]
23: [[9, 11, 6], [8, 5], [1, 2, 3], [10, 4, 12], [13, 7]]
24: [[9, 11], [6, 8], [5, 1, 2], [3, 10, 4, 12, 13, 7]]
25: [[9, 11], [6, 8, 5, 1, 2, 3, 10, 4, 12, 13], [7]]
26: [[9, 11, 6], [8, 5, 1], [2, 3, 10, 4, 12, 13, 7]]
27: [[9, 11, 7], [6, 8, 5, 4], [1, 3, 2], [10, 12], [13]]
