0: [[10, 4], [1, 5, 2, 3], [11, 6, 9, 8], [7, 12, 13]]
1: [[10, 4], [1, 5, 2, 3], [11, 6, 9, 8], [7, 12, 13]]
2: [[10, 4], [1, 5, 2, 3], [11, 6, 9, 8], [7, 12, 13]]
3: [[10, 4], [1, 5, 2, 3], [11, 6, 9, 8], [7, 12, 13]]
4: [[10, 4], [1, 5, 2, 3], [11, 6, 9, 8], [7, 12, 13]]
5: [[10, 4], [1, 5, 2, 3], [11, 6, 9, 8], [7, 12, 13]]
6: [[10, 4], [1, 5, 2, 3], [11, 6, 9, 8], [7, 12, 13]]
7: [[10, 4], [1, 5, 2, 3], [11, 6, 9, 8], [7, 12, 13]]
8: [[10, 4], [1, 5, 2, 3], [11, 6, 9, 8], [7, 12, 13]]
9: [[10, 4, 1], [5, 2, 3], [11, 6, 9, 8], [7, 12, 13]]
10: [[10, 4, 1], [5, 2, 3], [11, 6, 9, 8], [7, 12, 13]]
11: [[10, 4, 1], [5, 2, 3], [11, 6, 9, 8], [7, 12, 13]]
12: [[10, 4, 1], [5, 2, 3], [11, 6, 9, 8], [7, 12, 13]]
13: [[10, 4, 1], [5, 2, 3], [11, 6, 9, 8], [7, 12, 13]]
14: [[10, 4], [1, 5, 3, 2], [11, 9, 6], [8, 7, 12, 13]]
15: [[10, 1, 4], [5, 3, 2], [11, 9, 6], [8, 7, 12, 13]]
16: [[10, 1, 4], [5, 3, 2], [11, 9, 6], [8, 7, 12, 13]]
17: [[10, 1, 4], [5, 3, 2], [11, 6, 9], [8, 12, 7], [13]]
18: [[10, 5], [1, 4, 3, 2], [11, 6, 9, 8], [7, 12, 13]]
19: [[10, 4, 1], [5, 3], [11], [9, 8, 6], [12, 13, 2, 7]]
20: [[10], [1, 5, 3], [11, 6], [9, 8, 4], [12, 13, 7, 2]]
21: [[10, 4], [1, 5, 2], [3, 11, 6, 9], [8, 7, 12, 13]]
22: [[10, 4, 1], [5], [2, 3, 11, 6, 9, 8, 7, 12, 13]]
23: [[10, 1, 4], [5, 3, 2], [11, 13, 6], [8, 7, 12, 9]]
24: [[10, 4, 1], [5, 2, 3, 11], [6, 9, 8, 7, 12, 13]]
25: [[10, 4], [1, 5, 2], [3, 11, 6], [9, 8], [7, 12, 13]]
26: [[10, 4], [1, 5, 2, 3, 11, 6, 9, 8, 7, 12], [13]]
27: [[10, 4, 1, 5], [2, 3, 11], [6, 9, 8, 7, 12, 13]]
