0: [[2, 9, 17, 1], [6, 5], [7, 3, 11, 8], [4, 15, 10, 12], [20, 25], [18, 16, 19, 13, 14], [23, 22], [21, 26, 27], [29, 24, 28]]
1: [[2, 9, 17, 1], [6, 5], [7, 3, 11, 8], [4, 15, 10, 12], [20, 25], [18, 16, 19, 13, 14], [23, 22], [21, 26, 27], [29, 24, 28]]
2: [[2, 9, 17, 1], [6, 5], [7, 3, 11, 8], [4, 15, 10, 12], [20, 25], [18, 16, 19, 13, 14], [23, 22], [21, 26, 27], [29, 24, 28]]
3: [[2, 9], [17, 1], [6, 5], [7, 3, 11], [8, 4], [15, 10], [12, 20], [25, 18, 14], [19, 13, 16], [22, 23], [21, 26, 27], [29, 24, 28]]
4: [[2, 9, 17], [1, 6], [5, 7], [3, 11], [8, 4, 15], [10, 12], [20, 25, 18, 16], [19, 14, 13], [22, 23], [21, 26, 27], [24, 28, 29]]
5: [[2, 9], [17, 1], [6, 5], [7, 3, 11], [4, 12, 8, 13], [10, 20], [25, 18, 16, 19, 14], [22, 23], [15, 21, 26], [27, 24, 28], [29]]
6: [[2, 9], [17, 1], [6, 5], [7], [3, 11, 4], [15, 20, 25, 18, 8, 10, 12], [16, 19, 13, 22], [23], [21, 26, 27, 14], [29, 24, 28]]
7: [[2, 9], [17, 1], [6, 5], [7, 3, 11], [4, 8], [15, 12], [10, 20, 25], [18, 16], [19, 14, 13], [23, 22, 21], [26, 27], [28, 24, 29]]
8: [[2, 9], [17, 1], [6, 5, 7], [3, 11], [4, 8], [14, 10, 12], [20, 25], [18, 16], [19], [13, 15], [23, 22], [21, 26, 27, 29, 24, 28]]
9: [[2, 9, 17], [1, 6], [5, 7], [3, 11], [12, 4], [8, 10, 13, 20], [24, 18, 29], [19, 14], [15, 22], [21, 26, 27], [16, 28, 23, 25]]
10: [[2, 9], [17, 1], [6, 5], [7, 3, 11], [12, 4, 8], [10, 15], [20, 25], [18, 16, 19, 14, 13, 23, 22, 21, 27, 26, 28, 29, 24]]
11: [[2, 9], [17, 1], [6, 5], [7], [3, 11, 4], [15, 20, 25, 18], [8, 10, 12], [16, 19, 13, 22], [23], [21, 26, 27, 14], [29, 24, 28]]
12: [[2, 9], [17, 1], [6, 5, 7], [3, 11], [4, 8], [14], [10, 12], [20, 25], [18, 29, 19], [13, 15], [23, 22], [16, 27, 21], [24, 26, 28]]
13: [[2, 9], [17, 1], [6, 5], [7, 3, 11], [8, 4, 15], [10, 12, 20], [25, 18, 22], [13, 14, 16], [19, 21, 23], [26, 27], [28, 24, 29]]
14: [[2, 9], [17, 1], [6, 5], [7], [3, 11], [12, 4, 13], [10, 14, 20], [25, 18, 21], [19, 15, 23], [8, 16, 22], [26, 27], [28, 24, 29]]
15: [[2, 9], [17, 1], [6, 5, 7], [3, 11], [12, 4], [15, 10], [14, 20, 25], [18, 22, 19], [13, 8], [21, 16, 23], [26, 27, 29], [24, 28]]
16: [[2, 9, 17, 1], [6, 5], [7, 3, 11, 8], [4, 14, 10, 12, 20, 25, 18, 16], [19, 13, 15, 23, 21, 22, 26, 27, 29, 24, 28]]
17: [[2, 9], [17, 1], [6, 5], [7, 3, 11], [8, 4], [12, 10, 13], [20, 25, 18], [14, 19, 15], [22, 16, 21], [23, 26, 27], [29, 24, 28]]
18: [[2, 9], [17, 1], [6, 5], [7, 3, 11], [4, 8, 10, 13, 12, 20, 25, 18], [16, 19, 14, 21, 23, 15, 22, 26, 27, 24, 28, 29]]
19: [[2, 9], [17, 1], [6, 5], [7, 3, 11], [4, 8, 10, 13, 12, 20, 25, 18], [16, 19, 14, 21, 23, 15, 22, 26, 27, 24, 28, 29]]
20: [[2, 9], [17, 1], [6, 5], [7, 3, 11], [12, 4, 13], [10, 8, 20], [25, 18, 14], [19, 22, 15], [16, 21, 23], [26, 27], [24, 28, 29]]
