0: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
1: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
2: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
3: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
4: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
5: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
6: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
7: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
8: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
9: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
10: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
11: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
12: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
13: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
14: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
15: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
16: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
17: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
18: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
19: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
20: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
21: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
22: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
23: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
24: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
25: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
26: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
27: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
28: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
29: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
30: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
31: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
32: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
33: [[11, 15, 21, 30, 5, 19], [18, 7, 3, 1, 9, 2], [6, 36, 13, 8, 14, 10], [4, 12, 20, 16, 17, 22], [24, 25, 27, 26, 29, 28], [31, 23, 33, 32, 34, 35, 37]]
