0: [[7, 11], [3, 6], [1, 2], [5, 4], [14, 10], [12, 13], [9, 8, 15, 20, 17, 19], [16, 18, 22], [21, 23, 24]]
1: [[7, 11], [3, 6], [1, 2], [5, 4], [14, 10], [12, 13], [9, 8, 15, 20, 17, 19, 16], [18, 22], [21, 23, 24]]
2: [[7, 11], [3, 6], [1, 2], [5, 4], [14, 10], [12, 13], [9, 8, 15, 20, 17, 19, 16], [18, 22], [21, 23, 24]]
3: [[7, 11], [3, 6], [1, 2], [5, 4], [14, 10], [12, 13], [9, 8, 15], [20, 17, 19, 16, 18], [22, 21, 23, 24]]
4: [[1, 2], [5, 4, 6], [14, 10, 7, 11], [12, 13], [9, 8], [15, 20], [17, 19], [16, 18, 22, 3], [21, 23, 24]]
5: [[7, 11], [3, 6], [1, 2], [5, 4], [14, 10], [12, 13, 9], [8, 15, 20], [17, 19, 16], [18, 22], [21, 23, 24]]
6: [[1, 2], [5, 4, 6], [14, 10, 7, 11], [12, 13], [9, 8, 15], [20, 17], [19, 16, 3], [18, 22], [21, 23, 24]]
7: [[1, 2], [5, 4, 6], [14, 10, 7, 11], [12, 13], [9, 8], [15, 20], [17, 19], [16, 18, 3], [22, 21, 23, 24]]
8: [[1, 2], [5, 4, 6], [14, 10, 7, 11], [12, 13], [9, 8], [15, 20], [17, 19], [16, 18, 3], [22, 21, 23, 24]]
9: [[1, 2], [5, 4, 6], [14, 10, 7, 11], [12, 13], [9, 8], [15, 20], [17, 19], [16, 18, 3], [22, 21, 23, 24]]
10: [[1, 2], [5, 4, 6], [14, 10, 7, 11], [12, 13], [9, 8], [15, 20], [17, 19], [16, 18, 3], [22, 21, 23, 24]]
11: [[1, 2], [5, 4, 6], [14, 10, 7, 11], [12, 13], [9, 8], [15, 20], [17, 19], [16, 18, 3], [22, 21, 23, 24]]
12: [[1, 2], [5, 4, 6], [14, 10, 7, 11], [12, 13], [9, 8], [15, 20, 17], [19, 16, 3], [18, 22], [21, 23, 24]]
13: [[7, 11], [3, 6], [1, 2], [5, 4], [14, 10], [12, 13], [9, 8], [15, 20], [17, 19, 16, 18], [22, 21, 23, 24]]
14: [[7, 11], [3, 6], [1, 2], [5, 4], [14, 10], [12, 13], [9, 8, 15, 20], [17, 19], [16, 18, 22, 21], [23, 24]]
15: [[1, 2], [5, 4, 6], [14, 10, 7, 11], [12, 13], [9, 8], [15, 20, 17, 19], [16, 18, 3], [22, 21], [23, 24]]
16: [[1, 2], [5, 4], [14, 10, 12, 7, 11], [13, 9, 6], [8, 15], [20, 17], [19, 16, 18, 3], [22, 21], [23, 24]]
17: [[1, 2], [5, 4, 14, 6], [10, 12, 7, 11], [13, 9], [8, 15, 20], [17, 19], [16, 18, 3], [22, 21], [23, 24]]
18: [[1, 2], [5, 4, 6], [14, 10, 7, 11], [12, 13], [9, 8], [15, 20], [17, 19], [16, 18, 3], [22, 21], [23, 24]]
19: [[1, 2], [5, 4, 6], [14, 10, 7, 11], [12, 13], [9, 8], [15, 20], [17, 19], [16, 18, 3], [22, 21], [23, 24]]
20: [[1, 2], [5, 4, 6], [14, 10, 7, 11], [12, 13], [9, 8], [15, 20], [17, 19], [16, 18, 3], [22, 21], [23, 24]]
21: [[1, 2], [5, 4, 6], [14, 10, 7, 11], [12, 13], [9, 8], [15, 20], [17, 19], [16, 18, 3], [22, 21], [23, 24]]
22: [[1, 2], [5, 4, 6], [14, 10, 7, 11], [12, 13], [9, 8], [15, 20], [17, 19], [16, 18, 3], [22, 21], [23, 24]]
23: [[1, 2], [5, 4, 6], [14, 10, 7, 11], [12, 13], [9, 8], [15, 20], [17, 19], [16, 18, 3], [22, 21], [23, 24]]
24: [[1, 2], [5, 4, 6], [14, 10, 7, 11], [12, 13], [9, 8], [15, 20], [17, 19], [16, 18, 3], [22, 21], [23, 24]]
25: [[1, 2], [5, 4, 6], [14, 10, 7, 11], [12, 13], [9, 8], [15, 20], [17, 19], [16, 18, 3], [22, 21], [23, 24]]
26: [[1, 2], [5, 4, 6], [14, 10, 7, 11], [12, 13], [9, 8], [15, 20], [17, 19], [16, 18, 3], [22, 21], [23, 24]]
27: [[1], [2, 5], [4, 14], [10, 12, 7, 11], [13, 9, 6], [8, 15], [20, 17], [19, 16, 3], [18, 22], [21, 23, 24]]
28: [[1], [2, 5], [4, 14], [10, 12, 7, 11], [13, 9, 6], [8, 15], [20, 17], [19, 16, 3], [18, 22], [21, 23, 24]]
29: [[7, 11], [3, 6], [1, 2], [5, 4], [14, 10], [12, 13], [9, 8], [15, 20], [17, 19, 16, 18], [22, 21], [23, 24]]
30: [[7, 11], [3, 6], [1, 2], [5, 4], [14, 10], [12, 13, 9, 8, 15, 20, 17], [19, 16], [18, 22, 21], [23, 24]]
31: [[6, 3], [1, 2], [5, 4], [14, 10, 7, 11], [12, 13, 9], [8, 15], [20, 17], [19, 16, 18], [22, 21], [23, 24]]
32: [[1, 2, 6], [5, 4], [14, 10, 7, 11], [12, 13], [9, 8], [15, 20], [17, 19], [16, 18, 3], [22, 21], [23, 24]]
33: [[7, 11], [3, 6], [1, 2], [5, 4], [14, 10], [12, 13], [9, 8, 15], [20, 17], [19, 16], [18, 22, 21, 23, 24]]
34: [[7, 11], [3, 6], [1, 2], [5, 4], [14, 10], [12, 13], [9, 8, 15], [20, 17, 19], [16, 18, 22, 21, 23, 24]]
35: [[7, 11], [3, 6], [1, 2], [5, 4], [14, 10], [12, 13], [9, 8, 15, 20, 17], [19, 16, 18, 22, 21, 23, 24]]
36: [[7, 11], [3, 6], [1, 2], [5, 4], [14, 10], [12, 13], [9, 8, 15, 20, 17, 19, 16, 18, 22, 21, 23, 24]]
37: [[7, 11], [3, 6], [1, 2], [5, 4], [14, 10], [12, 13], [9, 8, 15, 20, 17, 19, 16, 18, 22, 21, 23, 24]]
38: [[7, 11], [3, 6], [1, 2], [5, 4], [14, 10], [12, 13, 9, 8], [15, 20, 17, 19, 16, 18, 22, 21, 23, 24]]
39: [[7, 11], [3, 6], [1, 2], [5, 4], [14, 10], [12, 13, 9], [8, 15, 20, 17, 19, 16, 18, 22, 21, 23, 24]]
40: [[7, 11], [3, 6], [1, 2], [5, 4, 14, 10], [12, 13, 9, 8, 15, 20, 17, 19, 16, 18, 22, 21, 23, 24]]
41: [[7, 11], [3, 6], [1, 2], [5, 4, 14, 10], [12, 13, 9, 8, 15, 20, 17, 19, 16, 18, 22, 21, 23, 24]]
42: [[7, 11], [3, 6], [1, 2], [5, 4], [14, 10, 12, 13, 9], [8, 15, 20, 17, 19, 16, 18, 22, 21, 23, 24]]
43: [[7, 11], [3, 6, 1, 2, 5, 4], [14, 10], [12, 13, 9, 8], [15, 20, 17, 19, 16, 18, 22, 21, 23, 24]]
44: [[7, 11], [3, 6], [1, 2, 5, 4], [14, 10, 12, 13, 9], [8, 15], [20, 17, 19, 16, 18, 22, 21, 23, 24]]
45: [[7, 11], [3, 6], [1, 2], [5, 4, 14], [10, 12, 13], [9, 8, 15, 20, 17, 19, 16, 18, 22, 21, 23, 24]]
46: [[7, 11], [6, 3], [1, 2], [5, 4], [14, 10, 12, 13, 9, 8, 15, 20, 17, 19, 16, 18, 22, 21, 23, 24]]
47: [[7, 11], [3, 6], [1, 2, 5, 4], [14, 10, 12, 13, 9, 8, 15, 20, 17, 19, 16, 18, 22, 21, 23, 24]]
48: [[7, 11], [3, 6], [1, 2, 5, 4], [14, 10, 12, 13, 9, 8, 15, 20, 17, 19, 16, 18, 22, 21, 23, 24]]
49: [[7, 11], [3, 6], [1, 2, 5, 4, 14, 10, 12, 13, 9, 8, 15, 20, 17, 19, 16, 18, 22, 21, 23, 24]]
