0: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
1: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
2: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
3: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
4: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
5: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
6: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
7: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
8: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
9: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
10: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
11: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
12: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
13: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
14: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
