0: [[9, 1, 10, 3, 4, 18, 34, 12], [22, 20, 23, 33, 37, 7, 35, 2], [24, 8, 11, 36, 5, 6, 13], [26, 21, 15, 19, 28, 25, 14], [32, 16, 17, 29, 27, 31, 30]]
1: [[9, 1, 10, 3, 4, 18, 34, 12], [22, 20, 23, 33, 37, 7, 35, 2], [24, 8, 11, 36, 5, 6, 13], [26, 21, 15, 19, 28, 25, 14], [32, 16, 17, 29, 27, 31, 30]]
2: [[9, 1, 10, 3, 4, 18, 34, 12], [22, 20, 23, 33, 37, 7, 35, 2], [24, 8, 11, 36, 5, 6, 13], [26, 21, 15, 19, 28, 25, 14], [32, 16, 17, 29, 27, 31, 30]]
3: [[9, 1, 10, 3, 4, 18, 34, 12], [22, 20, 23, 33, 37, 7, 35, 2], [24, 8, 11, 36, 5, 6, 13], [26, 21, 15, 19, 28, 25, 14], [32, 16, 17, 29, 27, 31, 30]]
4: [[9, 1, 10, 3, 4, 18, 34, 12], [22, 20, 23, 33, 37, 7, 35, 2], [24, 8, 11, 36, 5, 6, 13], [26, 21, 15, 19, 28, 25, 14], [32, 16, 17, 29, 27, 31, 30]]
5: [[9, 1, 10, 3, 4, 18, 34, 12], [22, 20, 23, 33, 37, 7, 35, 2], [24, 8, 11, 36, 5, 6, 13], [26, 21, 15, 19, 28, 25, 14], [32, 16, 17, 29, 27, 31, 30]]
6: [[9, 1, 10, 3, 4, 18, 34, 12], [22, 20, 23, 33, 37, 7, 35, 2], [24, 8, 11, 36, 5, 6, 13], [26, 21, 15, 19, 28, 25, 14], [32, 16, 17, 29, 27, 31, 30]]
7: [[9, 1, 10, 3, 4, 18, 34, 12], [22, 20, 23, 33, 37, 7, 35, 2], [24, 8, 11, 36, 5, 6, 13], [26, 21, 15, 19, 28, 25, 14], [32, 16, 17, 29, 27, 31, 30]]
8: [[9, 1, 10, 3, 4, 18, 34, 12], [22, 20, 23, 33, 37, 7, 35, 2], [24, 8, 11, 36, 5, 6, 13], [26, 21, 15, 19, 28, 25, 14], [32, 16, 17, 29, 27, 31, 30]]
9: [[9, 1, 10, 3, 4, 18, 34, 12], [22, 20, 23, 33, 37, 7, 35, 2], [24, 8, 11, 36, 5, 6, 13], [26, 21, 15, 19, 28, 25, 14], [32, 16, 17, 29, 27, 31, 30]]
10: [[9, 1, 10, 3, 4, 18, 34, 12], [22, 20, 23, 33, 37, 7, 35, 2], [24, 8, 11, 36, 5, 6, 13], [26, 21, 15, 19, 28, 25, 14], [32, 16, 17, 29, 27, 31, 30]]
11: [[9, 1, 10, 3, 4, 18, 34, 12], [22, 20, 23, 33, 37, 7, 35, 2], [24, 8, 11, 36, 5, 6, 13], [26, 21, 15, 19, 28, 25, 14], [32, 16, 17, 29, 27, 31, 30]]
12: [[9, 1, 10, 3, 4, 18, 34, 12], [22, 20, 23, 33, 37, 7, 35, 2], [24, 8, 11, 36, 5, 6, 13], [26, 21, 15, 19, 28, 25, 14], [32, 16, 17, 29, 27, 31, 30]]
13: [[9, 1, 10, 3, 4, 18, 34, 12], [22, 20, 23, 33, 37, 7, 35, 2], [24, 8, 11, 36, 5, 6, 13], [26, 21, 15, 19, 28, 25, 14], [32, 16, 17, 29, 27, 31, 30]]
14: [[9, 1, 10, 3, 4, 18, 34, 12], [22, 20, 23, 33, 37, 7, 35, 2], [24, 8, 11, 36, 5, 6, 13], [26, 21, 15, 19, 28, 25, 14], [32, 16, 17, 29, 27, 31, 30]]
15: [[9, 1, 10, 3, 4, 18, 34, 12], [22, 20, 23, 33, 37, 7, 35, 2], [24, 8, 11, 36, 5, 6, 13], [26, 21, 15, 19, 28, 25, 14], [32, 16, 17, 29, 27, 31, 30]]
16: [[9, 1, 10, 3, 4, 18, 34, 12], [22, 20, 23, 33, 37, 7, 35, 2], [24, 8, 11, 36, 5, 6, 13], [26, 21, 15, 19, 28, 25, 14], [32, 16, 17, 29, 27, 31, 30]]
