0: [[1, 5, 3], [12, 13, 7, 2], [9, 8, 11, 6], [10, 4]]
1: [[1, 5, 3], [12, 13, 7, 2], [9, 8, 11, 6], [10, 4]]
2: [[1, 5, 3], [12, 13, 7, 2], [9, 8, 11, 6], [10, 4]]
3: [[1, 5, 3], [12, 13, 7, 2], [9, 8, 11, 6], [10, 4]]
4: [[1, 5, 3], [12, 13, 7, 2], [9, 8, 11, 6], [10, 4]]
5: [[1, 5, 3], [12, 13, 7, 2], [9, 8, 11, 6], [10, 4]]
6: [[1, 5, 3], [12, 13, 7, 2], [9, 8, 11, 6], [10, 4]]
7: [[1, 5, 3], [12, 13, 7, 2], [9, 8, 11, 6], [10, 4]]
8: [[1, 5, 3], [12, 13, 7, 2], [9, 8, 11, 6], [10, 4]]
9: [[1, 5, 3], [12, 13, 7, 2], [9, 8, 11, 6], [10, 4]]
10: [[1, 5, 3], [12, 13, 7, 2], [9, 8, 11, 6], [10, 4]]
11: [[1, 5, 3], [12, 13, 7, 2], [9, 8, 11, 6], [10, 4]]
12: [[1, 5, 3, 12], [13, 7, 2], [9, 8, 11, 6], [10, 4]]
13: [[1, 5, 3, 12], [13, 7, 2], [9, 8, 11, 6], [10, 4]]
14: [[1, 5, 3, 12], [13, 7, 2], [9, 8, 11, 6], [10, 4]]
15: [[1, 5, 3, 12], [13, 7, 2], [9, 8, 11, 6], [10, 4]]
16: [[1, 5, 3, 12], [13, 7, 2], [9, 8, 11, 6], [10, 4]]
17: [[1, 5, 3, 12], [13, 7, 2], [9, 8, 11, 6], [10, 4]]
18: [[1, 5, 3, 12], [13, 7, 2], [9, 8, 11, 6], [10, 4]]
19: [[1, 5, 3, 12], [13, 7, 2], [9, 8, 11, 6], [10, 4]]
20: [[1, 5, 3, 12], [13, 7, 2], [9, 8, 11, 6], [10, 4]]
21: [[1, 5, 3, 12], [13, 7, 2], [9, 8, 11, 6], [10, 4]]
22: [[1, 5, 3, 12], [13, 7, 2], [9, 8, 11, 6], [10, 4]]
23: [[1, 5, 3, 12], [13, 7, 2], [9, 8, 11, 6], [10, 4]]
24: [[1, 5, 3, 12], [13, 7, 2], [9, 8, 11, 6], [10, 4]]
25: [[1, 5, 3, 12], [13, 7, 9, 2], [8, 11, 6], [10, 4]]
26: [[1, 5, 3, 12], [13, 7, 9, 2], [8, 11, 6], [10, 4]]
27: [[1, 5, 3, 12], [13, 7, 9, 2], [8, 11, 6], [10, 4]]
