0: [[38, 5, 7], [4, 3], [24, 1, 2, 12, 22], [9, 6], [41, 15, 14], [25, 18, 13, 23], [19, 17, 21], [26, 16, 11, 30], [20, 29, 27], [28, 31, 63], [36, 33, 37, 34], [44, 32, 39, 8], [35], [40, 42], [47, 46, 45], [50, 54, 53, 51, 52], [58, 49], [57, 56, 55], [61, 48, 59], [60, 62, 65, 43], [64, 66, 70], [67, 71], [72, 68], [77, 75, 69, 10], [73, 74, 78], [76, 81, 80], [82, 79, 83], [86, 84, 85, 87, 88]]
1: [[38, 5, 7], [4, 3], [24, 1, 2, 12, 22], [9, 6], [41, 15, 14], [25, 18, 13, 23], [19, 17, 21], [26, 16, 11, 30], [20, 29, 27], [28, 31, 63], [36, 33, 37, 34], [44, 32, 39, 8], [35], [40, 42], [47, 46, 45], [50, 54, 53, 51, 52], [58, 49], [57, 56, 55], [61, 48, 59], [60, 62, 65, 43], [64, 66, 70], [67, 71], [72, 68], [77, 75, 69, 10], [73, 74, 78], [76, 81, 80], [82, 79, 83], [86, 84, 85, 87, 88]]
2: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [6, 9, 8, 11, 10, 15, 14, 18], [23, 13, 29, 16, 48], [17, 21, 19, 20, 25, 26, 27, 30, 58, 62, 37, 35, 34, 41, 44, 28, 46, 60, 31, 33, 32, 39, 42, 36, 50, 61, 53, 51, 43, 47, 40, 52, 45, 49, 54], [59, 56, 55, 57, 63, 66, 68, 64, 67, 69, 65, 70, 78, 71, 79, 72, 76, 75, 74, 73, 77, 85, 80, 82, 83, 86, 81, 84, 87, 88]]
3: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [10, 9, 6, 8, 14, 28, 11, 29, 13, 15, 30, 17], [16, 23, 18, 19, 54, 25, 31, 26, 21, 27, 20, 47, 33, 51, 50, 46], [35, 32, 37, 34, 39, 40, 45, 42, 36, 41, 52, 43, 63, 44, 53, 49, 55, 48, 57, 58, 56, 62, 60, 61, 59, 66, 72, 69, 67, 65, 64, 70, 77, 71, 68, 79, 73, 74, 75, 76, 78, 84, 80, 83, 82, 81, 86, 85, 87, 88]]
4: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [10, 9, 6, 8, 14, 28, 11, 29, 13, 15, 30, 17], [16, 23, 18, 19, 54, 25, 31, 26, 21, 27, 20, 47, 33, 51, 50, 46], [35, 32, 37, 34, 39, 40, 45, 42, 36, 41, 52, 43, 63, 44, 53, 49, 55, 48, 57, 58, 56, 62, 60, 61, 59, 66, 72, 69, 67, 65, 64, 70, 77, 71, 68, 79, 73, 74, 75, 76, 78, 84, 80, 83, 82, 81, 86, 85, 87, 88]]
5: [[38, 5, 7], [4, 3], [24, 1, 2], [12, 22], [10, 9, 8], [11, 14], [6, 15, 13, 21, 53, 16, 19, 18, 28, 17, 23, 48, 29, 25], [20, 26, 35, 27, 52, 56, 30, 51, 34, 33], [44, 57, 31, 37, 41, 46, 36, 61, 39, 62, 32, 40, 58, 59, 42, 43, 45, 49, 54, 47, 55, 50, 60, 63, 74, 64, 65, 67, 66, 69, 72, 71, 75, 79, 70, 68, 73, 78], [76, 77, 80, 81, 82, 84, 83, 86, 85], [87, 88]]
6: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [6, 40, 9, 15, 30, 8], [28, 11], [14, 13, 23], [29, 16, 17], [19, 20, 26, 18, 21, 25, 27, 33, 59, 52, 31], [35, 42, 32, 34, 53, 39, 37, 44, 41, 36, 46, 47, 49, 51, 43, 45, 10], [54, 55, 61, 48, 50, 60, 57, 63, 58, 56, 62, 66, 72, 69, 67, 64, 65, 71, 78, 68, 76, 70, 77, 73, 75, 74, 79, 84, 80, 82, 85, 83, 86, 81, 87, 88]]
7: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [6, 10, 9, 8, 11, 29, 27], [14, 15, 17, 13, 19, 31, 16, 18, 50, 23, 20, 21, 25, 28, 26, 30, 33, 37, 35, 32, 42, 39, 36, 45, 57, 41, 34, 44, 40, 46, 47, 49, 43, 61, 53, 48, 60, 52, 55, 51, 54], [56, 58, 62, 59, 63, 66, 64, 68, 70, 65], [69, 67, 71, 75, 74, 73, 72, 78, 76, 77, 79, 84, 80], [83, 81, 82, 85, 86, 87, 88]]
8: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22, 6], [11, 9, 8], [10, 31, 13, 14], [16, 17, 21], [15, 19, 18], [26, 58], [28, 20, 60, 57], [23, 25, 29, 37, 32, 30, 36, 44, 34, 33, 46, 43, 45, 27, 35, 62, 47, 41, 48, 39, 40], [53, 54, 42], [49, 50, 51, 52, 59], [63, 55, 56], [61, 68], [66, 64], [65, 67, 69, 70], [78, 79, 73], [71, 72], [75, 77, 76], [83, 80, 86, 84, 82, 87, 88], [85, 81, 74]]
9: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [9, 6, 8, 11, 15], [14, 28, 29, 16, 13, 23], [20, 18], [21, 19], [17, 30], [25, 50], [26, 27, 31, 40, 57, 48, 32], [35, 39, 60, 53, 37, 33, 34], [43, 47, 36, 44], [42, 54, 41, 45, 56, 46, 49, 52, 51, 55, 61, 59, 62], [58, 63, 66, 72, 68, 65, 70, 69, 74, 77, 67, 75, 64, 76, 73, 79, 71, 83, 85, 84, 80, 81, 78, 86, 82, 87, 88, 10]]
10: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [20, 14], [41, 6], [15, 8], [25, 13, 23], [16, 18, 26], [29, 9, 10], [11, 28, 19, 17, 27, 21, 59, 36, 37, 34, 32, 42, 54, 46, 30, 33, 35, 45, 31, 39, 48, 50, 43, 40, 47, 52, 44, 63, 53, 51, 55, 49, 57, 60, 61, 58, 56, 62, 64, 69, 72, 67, 66, 65, 74, 68, 70, 73, 76], [75, 78, 79, 77, 86, 82, 80, 83, 71, 81, 84, 85, 87, 88]]
