It No., Best MQ, No clusters, max clus, min clus
1,1.8095785440613026,3,7,6
2,2.11231884057971,5,4,4
3,2.1622478398794187,7,4,2
4,2.002164502164502,5,4,4
5,2.314461753080679,5,5,3
6,1.8498007368975111,4,5,5
7,1.7548282470883088,3,7,6
8,1.998755672668716,5,4,4
9,1.9946778711484594,5,6,3
10,1.8608524303021456,4,7,3
11,1.8204545454545453,4,5,5
12,1.7548282470883088,3,7,6
13,1.942697653223969,5,4,4
14,1.9696394686907022,4,6,4
15,1.7014678291579295,3,7,6
16,2.055527805527806,5,4,4
17,2.18261810653115,5,4,4
18,1.8498007368975111,4,5,5
19,1.9263241106719369,5,4,4
20,1.8669523181718304,4,6,3
21,2.184090909090909,5,5,3
22,2.18261810653115,5,4,4
23,2.008729399255715,5,5,3
24,1.7548282470883088,3,7,6
25,1.9871968322059064,4,6,4
26,1.7740872210953347,4,5,5
27,1.6850858956122114,3,7,6
28,1.9168350168350168,4,5,5
29,1.978448275862069,4,6,4
30,1.8095785440613026,3,7,6
31,2.1091260430390864,6,4,2
