0: [[4, 3], [19, 1, 2], [6, 5], [11, 15, 7, 9, 13, 8, 17], [16, 22, 18, 10, 12, 23, 14], [20, 25], [21, 27, 26], [29, 28, 24]]
1: [[4, 3], [19, 1, 2], [6, 5], [11, 15, 7, 9, 13, 8, 17], [16, 22, 18, 10, 12, 23, 14], [20, 25], [21, 27, 26], [29, 28, 24]]
2: [[4, 3], [19, 1, 2], [6, 5], [11, 15], [7, 9, 13], [8, 17, 16], [22, 18, 10], [12, 23], [14, 20, 25], [21, 27, 26], [29, 28, 24]]
3: [[4, 3], [19, 1, 2], [6, 5], [11, 15, 7, 9], [13, 8], [17, 18, 22, 14], [10, 12, 16], [23, 20, 25], [21, 27, 26], [29, 28, 24]]
4: [[4, 3], [19, 1, 2], [6, 5], [11, 15], [7, 9, 13], [8, 17], [18, 22, 14, 10, 12, 16, 28], [20, 25], [21, 27, 26], [29, 23, 24]]
5: [[4, 3], [19, 1, 2], [6, 5], [11, 15, 7], [9, 14, 8, 17], [16, 23], [18, 10], [12, 22], [13, 20, 25], [21, 27, 26], [29, 28, 24]]
6: [[4, 3], [19, 1, 2], [6, 5], [11, 15], [7, 9, 13], [8, 17, 16], [23, 18, 10], [12, 20, 14], [22, 25], [21, 27, 26], [29, 24, 28]]
7: [[4, 3], [19, 1, 2], [6, 5], [11, 15], [7, 9, 14], [8, 17, 16], [23, 10, 20], [12, 22], [13, 18, 25], [21, 27, 26], [29, 28, 24]]
8: [[4, 3], [19, 1, 2], [6, 5], [11, 15, 7], [9, 14], [8, 25], [18, 23], [20, 10], [12, 22], [13, 16, 17], [21, 27, 26], [29, 28, 24]]
9: [[4, 3], [19, 1], [2, 6, 5], [11, 15, 7], [9, 13], [8, 17], [16, 22, 18], [10, 12], [14, 23], [20, 25], [21, 27, 26], [29, 28, 24]]
10: [[4, 3], [19, 1, 2], [6, 5], [11, 15, 7], [9, 13], [8, 17], [16, 23, 18], [10, 12, 22], [14, 20, 25], [21, 27, 26], [29, 28, 24]]
