0: [[16, 3], [14, 1, 4, 2, 10], [7, 13, 6, 11], [9, 5, 8], [12, 15, 19, 17, 18], [20, 22], [23, 21, 24]]
1: [[16, 3], [14, 1, 4, 2, 10], [7, 13, 6, 11], [9, 5, 8], [12, 15, 19, 17, 18], [20, 22], [23, 21, 24]]
2: [[16, 3], [14, 1, 4, 2, 10], [7, 13, 6, 11], [9, 5, 8], [12, 15, 19, 17, 18], [20, 22], [23, 21, 24]]
3: [[16, 3], [14, 1, 4, 2, 10], [7, 13, 6, 11], [9, 5, 8], [12, 15, 19, 17, 18], [20, 22], [23, 21, 24]]
4: [[1, 4, 2, 16, 3], [10, 7, 14], [13, 6, 11, 9, 5, 8], [12, 15, 19, 17, 18], [20, 22], [23, 21, 24]]
5: [[16, 3, 14, 1, 4, 2, 10, 7, 13, 6, 11], [9, 5, 8, 12, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
6: [[16, 3, 14, 1, 4, 2, 10, 7, 13, 6, 11], [9, 5, 8, 12, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
7: [[16, 3, 14, 1, 4, 2, 10, 7, 13, 6, 11], [9, 5, 8, 12, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
8: [[16, 3, 14, 1, 4, 2, 10, 7, 13, 6, 11], [9, 5, 8, 12, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
9: [[16, 3, 14, 1, 4, 2, 10, 7, 13, 6, 11], [9, 5, 8, 12, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
10: [[16, 3, 14, 1, 4, 2, 10, 7, 13, 6, 11], [9, 5, 8, 12, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
11: [[16, 3, 14, 1, 4, 2, 10, 7, 13, 6, 11], [9, 5, 8, 12, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
12: [[16, 3, 14, 1, 4, 2, 10, 7, 13, 6, 11, 9], [5, 8, 12, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
13: [[16, 3, 14, 1, 4, 2, 10, 7, 13, 6, 11, 9], [5, 8, 12, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
14: [[1, 4, 16, 3], [2, 10, 14], [7, 13, 6, 11, 9], [5, 8], [12, 15, 19, 17], [18, 20, 22], [23, 21, 24]]
15: [[1, 4, 16, 3], [2, 10, 14], [7, 13, 6], [11, 9], [5, 8, 12, 15, 19, 17, 18], [20, 22], [23, 21, 24]]
16: [[16, 3], [14, 1, 4, 2, 10, 7], [13, 6, 11], [9, 5, 8], [12, 15, 19, 17, 18], [20, 22], [23, 21, 24]]
17: [[16, 3], [14, 1, 4, 2, 10], [7, 13, 6], [11, 9, 5, 8], [12, 15, 19, 17, 18], [20, 22], [23, 21, 24]]
18: [[16, 3], [14, 1, 4, 2, 10], [7, 13, 6], [11, 9, 5, 8], [12, 15, 19, 17, 18], [20, 22], [23, 21, 24]]
19: [[16, 3], [14, 1, 4, 2, 10], [7, 13, 6], [11, 9, 5, 8], [12, 15, 19, 17, 18], [20, 22], [23, 21, 24]]
20: [[16, 3, 14, 1, 4, 2, 10, 7, 13, 6], [11, 9, 5, 8, 12, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
21: [[16, 3, 14, 1, 4, 2, 10, 7, 13, 6], [11, 9, 5, 8, 12, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
22: [[16, 3, 14, 1, 4, 2, 10, 7, 13, 6], [11, 9, 5, 8, 12, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
23: [[16, 3, 14, 1, 4, 2, 10, 7, 13, 6], [11, 9, 5, 8, 12, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
24: [[16, 3, 14, 1, 4, 2, 10, 7, 13, 6], [11, 9, 5, 8, 12, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
25: [[16, 3, 14, 1, 4, 2, 10, 7, 13, 6], [11, 9, 5, 8, 12, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
26: [[16, 3, 14, 1, 4, 2, 10, 7, 13, 6, 11, 9, 5], [8, 12, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
27: [[16, 3, 14, 1, 4, 2, 10, 7, 13, 6, 11, 9, 5], [8, 12, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
28: [[16, 3, 14, 1, 4, 2, 10, 7, 13, 6, 11, 9], [5, 8, 12, 15, 19, 17, 18, 20], [22, 23, 21, 24]]
29: [[16, 3, 14, 1, 4, 2, 10, 7, 13, 6, 11, 9], [5, 8, 12, 15, 19, 17, 18, 20], [22, 23, 21, 24]]
30: [[16, 3, 14, 1, 4, 2, 10, 7, 13], [6, 11, 9, 5, 8, 12, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
31: [[16, 3, 14, 1, 4, 2, 10, 7, 13], [6, 11, 9, 5, 8, 12, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
32: [[16, 3, 14, 1, 4, 2, 10, 7, 13], [6, 11, 9, 5, 8, 12, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
33: [[16, 3, 14, 1, 4, 2, 10, 7, 13], [6, 11, 9, 5, 8, 12, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
34: [[16, 3, 14, 1, 4, 2, 10, 7, 13], [6, 11, 9, 5, 8, 12, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
35: [[1], [4, 2, 10, 7, 13, 14], [6, 11, 16, 3], [9, 5, 8], [12, 15, 19, 17, 18], [20, 22], [23, 21, 24]]
36: [[16, 3, 14, 1, 4, 2, 10, 7, 13, 6], [11, 9, 5, 8, 12, 15, 19, 17, 18, 20], [22, 23, 21, 24]]
37: [[16, 3, 14, 1, 4, 2, 10, 7, 13, 6], [11, 9, 5, 8, 12, 15, 19, 17, 18, 20], [22, 23, 21, 24]]
38: [[16, 3, 14, 1, 4, 2, 10, 7, 13, 6], [11, 9, 5, 8, 12, 15, 19, 17, 18, 20], [22, 23, 21, 24]]
39: [[16, 3, 14, 1, 4, 2, 10, 7, 13, 6], [11, 9, 5, 8, 12, 15, 19, 17, 18, 20], [22, 23, 21, 24]]
40: [[16, 3, 14, 1, 4, 2, 10, 7, 13, 6, 11, 9, 5], [8, 12, 15, 19, 17, 18, 20], [22, 23, 21, 24]]
41: [[1], [4, 2, 16, 3], [10, 7, 13, 6, 11, 14], [9, 5], [8, 12, 15, 19, 17, 18], [20, 22], [23, 21, 24]]
42: [[1, 4, 2, 16, 3], [10, 7, 14], [13, 6, 11, 9, 5], [8, 12, 15, 19, 17], [18, 20], [22, 23, 21, 24]]
43: [[16, 3, 14, 1, 4, 2, 10, 7], [13, 6, 11, 9, 5, 8, 12, 15, 19, 17, 18, 20], [22, 23, 21, 24]]
44: [[16, 3, 14, 1, 4, 2, 10, 7], [13, 6, 11, 9, 5, 8, 12, 15, 19, 17, 18, 20], [22, 23, 21, 24]]
45: [[1, 4, 2, 10, 14], [7, 13, 6], [11, 9, 5], [8, 12, 16, 3], [15, 19, 17, 18, 20, 22], [23, 21, 24]]
46: [[1, 4, 2, 16, 3], [10, 7, 13, 6, 11, 9, 14], [5, 8], [12, 15, 19, 17, 18, 20], [22, 23], [21, 24]]
47: [[16, 3], [14, 1, 4, 2, 10, 7], [13, 6, 11, 9], [5, 8], [12, 15, 19, 17, 18, 20], [22, 23], [21, 24]]
48: [[16, 3, 14, 1, 4, 2, 10, 7, 13, 6, 11, 9], [5, 8, 12, 15, 19, 17, 18, 20, 22, 23], [21, 24]]
49: [[16, 3, 14, 1, 4, 2, 10, 7, 13, 6, 11, 9], [5, 8, 12, 15, 19, 17, 18, 20, 22, 23], [21, 24]]
