0: [[14, 4], [3, 1, 8], [2, 7, 5, 10], [11, 12, 13, 9], [16, 6, 15], [18, 19, 20, 17]]
1: [[14, 4], [3, 1, 8], [2, 7, 5, 10], [11, 12, 13, 9], [16, 6, 15], [18, 19, 20, 17]]
2: [[14, 4], [3, 1, 8], [2, 7, 5, 10], [11, 12, 13], [16, 9, 6], [18, 19, 20, 17, 15]]
3: [[14, 4], [3, 1], [8, 2], [7, 5, 10], [11, 12, 13], [16, 9, 6, 15], [18, 19, 20, 17]]
4: [[14, 3, 4, 6], [1, 8, 2], [7, 5, 10], [11, 12, 13, 9], [16, 18, 15], [19, 20, 17]]
5: [[14, 4], [3, 1, 8, 2], [7, 5, 10], [11, 12, 13, 9], [16, 18, 6, 15], [19, 20, 17]]
6: [[14, 4], [3, 1, 8, 2], [7, 5, 10], [11, 12, 13, 9], [16, 15, 18, 19, 20, 17, 6]]
7: [[14, 4], [3, 1, 8], [2, 7, 5], [10, 11], [12, 13, 9], [16, 6, 15], [18, 19, 20, 17]]
8: [[14, 4], [3, 1, 8], [2, 7, 5], [10, 11, 12], [13, 9], [16, 6, 15], [18, 19, 17, 20]]
9: [[14, 4], [3, 1, 8], [2, 7], [5, 10, 11], [12, 13, 9], [16, 6, 15], [18, 19, 17, 20]]
10: [[14, 4], [3, 1, 8], [2, 7], [5, 10, 11], [12, 13, 9], [16, 6, 15], [18, 19, 17, 20]]
11: [[14, 4], [3, 1], [8, 2, 7], [5, 10, 11], [12, 13, 9], [16, 6, 15], [18, 19, 20, 17]]
12: [[14, 3, 4, 6], [1, 8, 2], [7, 5, 10], [11, 12], [13, 16, 9], [18, 15], [19, 20, 17]]
13: [[14, 4], [3, 1], [8, 2], [7, 5], [10, 11], [12, 13], [16, 9, 6, 15], [18, 19, 17, 20]]
14: [[14, 4], [3, 1], [8, 2, 7], [5, 10], [11, 12, 13], [16, 9, 6], [18, 15], [19, 17, 20]]
15: [[14, 2, 4], [1, 8, 3], [7, 5, 10, 11], [12, 13, 9], [16, 6], [18, 15], [19, 20, 17]]
16: [[14, 4], [3, 1], [8, 2], [7, 5, 10], [11, 12], [13, 16, 9], [18, 6, 15], [19, 20, 17]]
17: [[14, 4], [3, 1], [8, 2], [7, 5, 10], [11, 12], [13, 16, 9], [18, 6, 15], [19, 20, 17]]
18: [[14, 4], [3, 1, 8], [2, 7, 5], [10, 11], [12, 13, 9], [16, 6], [18, 15], [19, 17, 20]]
19: [[14, 3, 4], [1, 8, 2], [7, 5], [10, 11], [12, 13], [16, 9, 6, 15], [18, 19, 20, 17]]
20: [[14, 4], [3, 1], [8, 2], [7, 5, 10], [11, 12], [13, 16, 15, 18, 19, 20, 17, 9, 6]]
21: [[14, 5, 4], [1, 8, 2], [7, 3, 10, 11, 6], [12, 13, 16, 9], [15, 18, 19, 20, 17]]
22: [[14, 4], [3, 1, 8], [2, 7, 5], [10, 11, 12, 13], [16, 9, 6], [18, 15], [19, 20, 17]]
23: [[14, 4], [3, 1], [8, 2], [7, 5, 10], [11, 12], [13, 16, 9], [18, 19, 6, 15], [20, 17]]
24: [[14, 4], [3, 1], [8, 2], [7, 5, 10], [11, 12], [13, 16, 9], [18, 19, 6, 15], [20, 17]]
25: [[14, 4], [3, 1], [8, 2, 7], [5, 10, 11], [12, 13, 9], [16, 6], [18, 19, 15], [17, 20]]
26: [[14, 4], [3, 1], [8, 2, 7, 5], [10, 11, 12], [13, 9], [16, 6, 15], [18, 19], [20, 17]]
27: [[14, 4], [3, 1], [8, 2, 7], [5, 10, 11], [12, 13], [16, 9, 6], [18, 15], [19, 17, 20]]
28: [[14, 4], [3, 1], [8, 2], [7, 5, 10], [11, 12, 13, 16, 15, 18, 19, 20, 17, 9, 6]]
29: [[14, 4], [3, 1, 8], [2, 7, 5], [10, 11], [12, 13, 16, 9], [18, 6, 15], [19, 20, 17]]
30: [[14, 2, 4], [3, 1, 8], [7, 5], [10, 11, 12, 9], [13, 15], [16, 6], [18, 19, 20], [17]]
31: [[14, 4], [3, 1, 8], [2, 7], [5, 10, 11], [12, 13, 16, 9], [18, 6, 15], [19, 20, 17]]
32: [[14, 3, 4], [1, 8, 2], [7, 5, 10], [11, 12, 13, 16, 15, 18, 19, 9, 6], [20, 17]]
33: [[14, 4], [3, 1], [8, 2, 7], [5, 10, 11], [12, 13, 16, 9], [18, 6, 15], [19, 20, 17]]
34: [[14, 3, 4, 6], [1, 8, 2], [7, 5, 10, 11, 12, 13], [16, 15, 18, 19, 20, 17, 9]]
35: [[14, 4], [3, 1, 8], [7, 5, 2], [10, 11, 12, 13, 9, 16, 15, 18, 19, 20, 17, 6]]
36: [[14, 4, 3, 1], [8, 7, 5, 2], [10, 11, 12, 9], [13, 16, 15, 18, 19, 20, 17, 6]]
37: [[14, 4, 3], [1, 8, 2, 7], [5, 10, 11, 12, 13, 9, 16, 6, 15, 18, 19, 20, 17]]
38: [[14, 4, 3, 1], [8, 2, 7], [5, 10, 11, 12, 13, 9, 16, 6, 15, 18, 19, 17, 20]]
39: [[14, 4], [3, 1], [8, 2, 7, 5, 10, 11, 12, 13, 9, 16, 6, 15, 18, 19, 20, 17]]
40: [[14, 4], [3, 1, 8, 2, 7, 5, 10, 11, 12, 13, 9, 16, 6, 15, 18, 19], [20, 17]]
41: [[14, 4], [3, 1, 8, 2, 7, 5, 10, 11, 12, 13, 9, 16, 6, 15, 18, 19, 20], [17]]
