0: [[5, 1, 3], [13, 12, 7], [11, 6], [9, 8, 4, 10, 2]]
1: [[5, 1, 3], [13, 12, 7], [11, 6], [9, 8, 4, 10, 2]]
2: [[5, 1, 3], [13, 12, 7], [11, 6], [9, 8, 4, 10, 2]]
3: [[5, 1, 3], [13, 12, 7], [11, 6], [9, 8, 4, 10, 2]]
4: [[5, 1, 3], [13, 12, 7], [11, 6], [9, 8, 4, 10, 2]]
5: [[5, 1, 3], [13, 12, 7], [11, 6], [9, 8, 4, 10, 2]]
6: [[5, 1, 3], [13, 12, 7], [11, 6], [9, 8, 4, 10, 2]]
7: [[5, 1, 3], [13, 12, 7], [11, 6], [9, 8, 4, 10, 2]]
8: [[5, 1, 3], [13, 12, 7], [11, 6], [9, 8, 4, 10, 2]]
9: [[5, 1, 3], [13, 12, 11, 7], [6, 9], [8, 4, 10, 2]]
10: [[5, 1, 3], [13, 12, 11, 7], [6, 9], [8, 4, 10, 2]]
11: [[5, 1, 3], [13, 12, 11, 7], [6, 9], [8, 4, 10, 2]]
12: [[5, 1, 3], [13, 12, 11, 7], [6, 9], [8, 4, 10, 2]]
13: [[5, 1, 3], [13, 12, 11, 7], [6, 9], [8, 4, 10, 2]]
14: [[5, 1, 3], [13, 12, 11, 7], [6, 9], [8, 4, 10, 2]]
15: [[5, 1, 3], [13, 12, 11, 7], [6, 9], [8, 4, 10, 2]]
16: [[5, 3, 1], [13, 12, 11, 7], [9, 8, 6], [4, 10, 2]]
17: [[5, 3, 1], [13, 12, 11, 7], [9, 8, 6], [4, 10, 2]]
18: [[5, 3, 1], [13], [12, 11, 7], [6, 9, 8, 4, 10, 2]]
19: [[5, 3], [1, 13, 7, 12], [11, 6], [9, 8, 4, 10, 2]]
20: [[5, 3], [1, 13, 7, 12], [11, 6], [9, 8, 4, 10, 2]]
21: [[5, 3], [1, 13, 7, 12], [11, 6], [9, 8, 4, 10, 2]]
22: [[5, 1, 13, 3], [12, 7], [11, 6], [9, 8, 4, 10, 2]]
23: [[5, 1, 13, 3], [12, 7], [11, 6], [9, 8, 4, 10, 2]]
24: [[5, 1, 13, 3], [12, 7], [11, 6], [9, 8, 4, 10, 2]]
25: [[5, 1, 13, 3], [12, 11, 7], [6, 9], [8, 4, 10, 2]]
26: [[5, 3], [1, 13, 7, 12, 11], [6, 9], [8, 4, 10, 2]]
27: [[5, 3], [1, 13], [12, 11, 7], [6, 9, 8, 4, 10, 2]]
