0: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 28, 22, 20, 23, 25]]
1: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [22, 14, 28, 20, 23, 25]]
2: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 20, 23, 22, 25, 28]]
3: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 22, 20, 23, 25, 28]]
4: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 22, 20, 23, 25, 28]]
5: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 22, 23, 20, 25, 28]]
6: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 20, 23, 22, 25, 28]]
7: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 20, 22, 23, 25, 28]]
8: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [20, 23, 25, 28, 22, 14]]
9: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [20, 14, 22, 23, 25, 28]]
10: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 22, 20, 23, 25, 28]]
11: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 22, 20, 23, 25, 28]]
12: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 22, 20, 23, 25, 28]]
