0: [[22, 4], [1, 19, 2, 10], [14, 6, 7, 11, 9], [8, 15], [13, 12, 5], [17, 16, 18, 20, 3], [23, 21, 24]]
1: [[22, 4], [1, 19, 2, 10], [14, 6, 7, 11, 9], [8, 15], [13, 12, 5], [17, 16, 18, 20, 3], [23, 21, 24]]
2: [[22, 4], [1, 19, 2, 10], [14, 6, 7, 11, 9], [8, 15], [13, 12, 5], [17, 16, 18, 20, 3], [23, 21, 24]]
3: [[22], [19, 2, 10, 1], [14, 6, 5, 13, 4], [7, 11], [9, 8, 15], [12, 17, 16, 18, 20, 3], [23, 21, 24]]
4: [[22], [1, 19, 4], [2, 10, 14, 6, 3], [7, 11], [9, 8, 15, 13], [12, 17, 16, 18, 20, 5], [23, 21, 24]]
5: [[22], [1, 19, 4], [2, 10, 14, 6, 3], [7, 11], [9, 8, 15, 13], [12, 17, 16, 18, 20, 5], [23, 21, 24]]
6: [[22, 4], [1, 19], [2, 10], [14, 6, 7, 11, 9], [8, 15, 13, 12, 5], [17, 16, 18, 20, 3], [23, 21, 24]]
7: [[22, 4], [1, 19], [2, 10, 3], [14, 6, 7, 11], [9, 8, 15], [13, 12, 17, 16, 18, 20, 5], [23, 21, 24]]
8: [[22, 4], [1, 19], [2, 10, 3], [14, 6, 7, 11], [9, 8, 15], [13, 12, 17, 16, 18, 20, 5], [23, 21, 24]]
9: [[22, 1, 19, 4], [2, 10, 14, 6], [7, 11, 9], [8, 15], [13, 12, 5], [17, 16, 18, 20, 3], [23, 21, 24]]
10: [[22], [1, 19, 2, 10, 14, 4], [6, 7, 11, 9], [8, 15], [13, 12, 5], [17, 16, 18, 20, 3], [23, 21, 24]]
11: [[22], [1, 19, 2, 10, 14, 4], [6, 7, 11, 9], [8, 15], [13, 12, 5], [17, 16, 18, 20, 3], [23, 21, 24]]
12: [[22], [1, 19, 2, 10, 14, 4], [6, 7, 11, 9], [8, 15], [13, 12, 5], [17, 16, 18, 20, 3], [23, 21, 24]]
13: [[22], [1, 19, 2, 10, 14, 4], [6, 7, 11, 9], [8, 15], [13, 12, 5], [17, 16, 18, 20, 3], [23, 21, 24]]
14: [[22], [1, 19, 2, 10, 14, 4], [6, 7, 11, 9], [8, 15], [13, 12, 5], [17, 16, 18, 20, 3], [23, 21, 24]]
15: [[22], [1, 19, 2, 10, 14, 4], [6, 7, 11, 9], [8, 15, 13, 12, 5], [17, 16, 18, 20, 3], [23, 21, 24]]
16: [[22, 1], [19, 2, 10], [14, 6, 5, 4], [7, 11], [9, 8, 15, 13], [12, 17, 16, 18, 20, 3], [23, 21, 24]]
17: [[22], [1, 19, 2, 10, 4], [14, 6, 7, 11], [9, 8, 15, 13], [12, 17, 16, 18, 20, 3, 5], [23, 21, 24]]
18: [[22], [1, 19, 2, 10, 4], [14, 6, 7, 11], [9, 8, 15, 13], [12, 17, 16, 18, 20, 3, 5], [23, 21, 24]]
19: [[22], [1, 19, 2, 10, 4], [14, 6, 7, 11, 9], [8, 15, 13, 12, 5], [17, 16, 18, 20, 3], [23, 21, 24]]
20: [[22], [1, 19, 2, 10, 4], [14, 6, 7, 11, 9], [8, 15, 13, 12, 5], [17, 16, 18, 20, 3], [23, 21, 24]]
21: [[22], [1, 19, 2, 10, 4], [14, 6, 7, 11], [9, 8, 15, 13, 12, 5], [17, 16, 18, 20, 3], [23, 21, 24]]
22: [[22], [1, 19, 4], [2, 10], [14, 6, 7, 11], [9, 8, 15, 13], [12, 17, 16, 18, 20, 3, 5], [23, 21, 24]]
23: [[22], [1, 19, 4], [2, 10], [14, 6, 7, 11], [9, 8, 15, 13], [12, 17, 16, 18, 20, 3, 5], [23, 21, 24]]
24: [[22], [1, 19, 4], [2, 10], [14, 6, 7, 11], [9, 8, 15, 13], [12, 17, 16, 18, 20, 3, 5], [23, 21, 24]]
25: [[22], [1, 19, 4], [2, 10, 14, 6, 7, 11], [9, 8, 15, 13, 12, 5], [17, 16, 18, 20, 3], [23, 21, 24]]
26: [[22], [1, 19, 4], [2, 10, 14, 6, 7, 11], [9, 8, 15, 13, 12, 5], [17, 16, 18, 20, 3], [23, 21, 24]]
27: [[22, 1], [19, 2, 10, 14, 4], [6, 7, 11, 9], [8, 15], [13, 12, 5], [17, 16, 18, 20, 3], [23, 21, 24]]
28: [[22, 1], [19, 2, 10, 14, 4], [6, 7, 11, 9], [8, 15], [13, 12, 5], [17, 16, 18, 20, 3], [23, 21, 24]]
29: [[22], [1], [19, 2, 10, 14, 6, 4], [7, 11], [9, 8, 15, 13], [12, 17, 16, 18, 20, 3, 5], [23, 21, 24]]
30: [[22], [1, 19, 4], [2, 10, 14, 6, 3], [7, 11, 9, 8, 15, 13], [12, 17, 16, 18, 20, 5], [23, 21, 24]]
31: [[22, 1], [19, 2, 10, 14, 6, 4], [7, 11], [9, 8, 5], [15, 13, 12], [17, 16, 18, 20, 3], [23, 21, 24]]
32: [[22], [1, 19], [2, 10, 14, 6, 7], [11, 9, 8, 15], [13, 12, 5, 4], [17, 16, 18, 20, 3], [23, 21, 24]]
33: [[22], [1, 19, 2, 10, 4], [14, 6, 7, 11], [9, 8, 5], [15, 13], [12, 17, 16, 18, 20, 3], [23, 21, 24]]
34: [[22, 1, 4], [19, 2, 10], [14, 6, 7, 11, 9], [8, 15, 13, 12, 5], [17, 16, 3], [18, 20], [23, 21, 24]]
35: [[22], [1, 19, 4], [2, 10], [14, 6, 7, 5], [11, 9, 8, 15, 13], [12, 17, 16, 18, 20, 3], [23, 21, 24]]
36: [[22], [1, 19, 4], [2, 10], [14, 6, 7, 5], [11, 9, 8, 15, 13], [12, 17, 16, 18, 20, 3], [23, 21, 24]]
37: [[22, 3, 5, 4, 1], [19, 2], [10, 14], [6, 7, 11, 9], [8, 15, 13, 12], [17, 16, 18, 20], [23, 21, 24]]
38: [[22], [1, 19, 4], [2, 10, 14, 6, 7], [11, 9, 8, 15], [13, 12, 17, 16, 18, 20, 3, 5], [23, 21, 24]]
39: [[22, 1], [19, 2, 10, 14, 6, 4], [7, 11], [9, 8], [15, 13, 12, 17, 5], [16, 18, 20, 3], [23, 21, 24]]
40: [[22], [1, 19, 4], [2, 10, 3], [14, 6, 7], [11, 9, 8, 15], [13, 12, 17, 16, 18, 20, 5], [23, 21, 24]]
41: [[22], [1, 19, 4], [2, 10, 3], [14, 6, 7], [11, 9, 8, 15], [13, 12, 17, 16, 18, 20, 5], [23, 21, 24]]
