0: [[22, 2, 4, 14, 9], [24, 23, 21], [7, 11], [5, 16, 6], [18, 15, 8], [20, 12, 13, 17, 1, 3, 10, 19]]
1: [[22, 2, 4, 14, 9], [24, 23, 21], [7, 11], [5, 16, 6], [18, 15, 8], [20, 12, 13, 17, 1, 3, 10, 19]]
2: [[22, 2, 4, 14, 9], [24, 23, 21], [7, 11], [5, 16, 6], [18, 15, 8], [20, 12, 13, 17, 1, 3, 10, 19]]
3: [[22, 2, 9], [24, 23, 21], [11, 7], [5, 16, 6, 4], [18, 15], [8, 20, 12, 13, 17, 1, 3, 10, 19, 14]]
4: [[22, 2, 4], [14, 9], [24, 23, 21], [7, 11, 5, 16, 6], [18, 15, 8], [20, 12, 13, 17, 1, 3, 10, 19]]
5: [[22, 2], [24, 23, 21], [7, 11, 5], [16, 6, 4, 14], [18, 15, 8, 9], [20, 12, 13, 17, 1, 3, 10, 19]]
6: [[22, 2], [24, 23, 21], [7, 11, 5], [16, 6, 4, 14], [18, 15, 8, 9], [20, 12, 13, 17, 1, 3, 10, 19]]
7: [[22, 2], [24, 23, 21], [7, 11, 5], [16, 6, 4, 14], [18, 15, 8, 9], [20, 12, 13, 17, 1, 3, 10, 19]]
8: [[22, 2], [24, 23, 21], [7, 11, 5], [16, 6, 4, 14], [18, 15, 8, 9], [20, 12, 13, 17, 1, 3, 10, 19]]
9: [[22, 2, 4], [14, 9], [24, 23, 21], [7, 11, 5, 16, 6], [18, 15, 8, 20], [12, 13, 17, 1, 3, 10, 19]]
10: [[22, 2, 4], [14, 9], [24, 23, 21], [7, 11, 5, 16, 6], [18, 15, 8, 20], [12, 13, 17, 1, 3, 10, 19]]
11: [[22, 2, 4], [14, 9], [24, 23, 21], [7, 11, 5, 16, 6], [18, 15, 8, 20], [12, 13, 17, 1, 3, 10, 19]]
12: [[22, 2], [4, 14, 9], [24, 23, 21], [7, 11, 5, 16, 6], [18, 15, 8], [20, 12, 13, 17, 1, 3, 10, 19]]
13: [[22, 2], [4, 14, 9], [24, 23, 21], [7, 11, 5, 16, 6], [18, 15, 8], [20, 12, 13, 17, 1, 3, 10, 19]]
14: [[22, 2], [14, 9, 4, 6], [24, 23, 21], [7, 11, 5, 16], [18, 15], [8, 20, 12, 13, 17, 1, 3, 10, 19]]
15: [[22, 2, 9], [24, 23, 21], [11, 7], [5, 16, 4], [6, 18, 15], [8, 20, 12, 13, 17, 1, 3, 10, 19, 14]]
16: [[22, 2], [24, 23, 21], [7, 11, 5, 16, 6, 18], [15, 8, 20, 9], [12, 13, 17, 1, 3, 10, 19, 4, 14]]
17: [[22, 2], [24, 23, 21], [7, 11, 5, 16, 6, 18], [15, 8, 20, 9], [12, 13, 17, 1, 3, 10, 19, 4, 14]]
18: [[22, 2], [4, 14, 9], [24, 23, 21], [7, 11, 5, 16, 6, 18], [15, 8], [20, 12, 13, 17, 1, 3, 10, 19]]
19: [[22, 2, 4], [14, 9], [24, 23], [21, 7, 11, 5, 16, 6], [18, 15, 8], [20, 12, 13, 17, 1, 3, 10, 19]]
