0: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
1: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
2: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
3: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
4: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
5: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
6: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
7: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
8: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
9: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
10: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
11: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
12: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
13: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
14: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
15: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
16: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
17: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
18: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
19: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
20: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
21: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
22: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
23: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
24: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
25: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
26: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
27: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
28: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
29: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
30: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
31: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
32: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
33: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
34: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
35: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
36: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
37: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
38: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
39: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
40: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
41: [[2, 8], [3, 19, 1], [14, 5, 4], [16, 6, 15], [11, 7, 10, 9], [17, 20, 18], [13, 12]]
