0: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
1: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
2: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
3: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
4: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
5: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
6: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
7: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
8: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
9: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
10: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
11: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
12: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
13: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
14: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
15: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
16: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
17: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
18: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
19: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
20: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
21: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
22: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
23: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
24: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
25: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
26: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
27: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
28: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
29: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
30: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
31: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
32: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
33: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
34: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
35: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
36: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
37: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
38: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
39: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
40: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
41: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
42: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
43: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
44: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
45: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
46: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
47: [[20, 12, 19], [2, 10, 14], [4, 1, 3, 6], [7, 5, 11], [8, 13, 15, 9], [17, 16, 18], [21, 22, 23, 24]]
