0: [[6, 9], [4, 10], [1, 3, 13, 2, 5], [7, 8, 11, 12]]
1: [[6, 9], [4, 10], [1, 3, 13, 2, 5], [7, 8, 11, 12]]
2: [[6, 9], [4, 10], [1, 3, 13, 2, 5], [7, 8, 11, 12]]
3: [[6, 9], [4, 10], [1, 3], [13, 2, 5], [7, 8, 11, 12]]
4: [[6, 9], [4, 10], [1, 3], [13, 2, 5, 7, 8, 11, 12]]
5: [[6, 9], [4, 10, 1, 3, 13, 2, 5], [7, 8, 11, 12]]
6: [[4, 10], [1, 3], [13, 2, 5, 7, 8], [11, 12, 6, 9]]
7: [[4, 10], [1, 3, 13, 2, 5], [7, 8], [11, 12, 6, 9]]
8: [[4, 10, 9], [1, 3, 13, 2, 5, 7], [8, 11, 12, 6]]
9: [[6, 9], [4, 10], [1, 3], [13, 2], [5, 7, 8, 11, 12]]
10: [[6, 9], [4, 10], [1, 3], [13, 2], [5, 7, 8, 11, 12]]
11: [[6, 9], [4, 10], [1, 3], [13, 2], [5, 7, 8, 11, 12]]
12: [[6, 9], [4, 10], [1, 3], [13, 2], [5, 7, 8, 11, 12]]
13: [[6, 9], [4, 10], [1, 3, 13, 2], [5, 7, 8, 11, 12]]
14: [[6, 9], [4, 10], [1, 3, 13, 2, 5, 7, 8, 11, 12]]
15: [[6, 9], [4, 10, 1, 3, 13], [2, 5, 7, 8, 11, 12]]
16: [[6, 9], [4, 10, 1, 3, 13], [2, 5, 7, 8, 11, 12]]
17: [[10], [1, 3, 4], [13, 2, 5], [7, 8], [11, 12, 6, 9]]
18: [[10], [1, 3, 4], [13, 2, 5], [7, 8], [11, 12, 6, 9]]
19: [[10], [1, 3, 4], [13, 2, 5], [7, 8], [11, 12, 6, 9]]
20: [[6, 9], [4, 10, 1, 3, 13, 2], [5, 7, 8, 11, 12]]
21: [[6, 9], [4, 10, 1, 3, 13, 2], [5, 7, 8, 11, 12]]
22: [[10], [1, 4], [3, 13, 2, 5], [7, 8], [11, 12, 6, 9]]
23: [[10], [1, 3, 4], [13, 2], [5, 7, 9], [8, 11, 12, 6]]
24: [[10], [1, 3, 4], [13, 2], [5, 7, 8], [11, 12, 6, 9]]
25: [[10, 1, 4], [3, 13], [2, 5], [7, 8], [11, 12, 6, 9]]
26: [[6, 9], [4, 10, 1, 3, 13, 2, 5, 7, 8, 11], [12]]
27: [[4, 10, 1, 3, 13], [2, 5, 7, 8, 6], [11, 12, 9]]
