0: [[1, 6, 3, 5, 4], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
1: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
2: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
3: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
4: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
5: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
6: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
7: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
8: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
9: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
10: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
11: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
12: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
13: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
14: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
15: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
16: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
17: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
18: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
19: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19, 18], [17, 16, 22, 20], [23, 21, 24]]
20: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19, 18], [17, 16, 22, 20], [23, 21, 24]]
21: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19, 18], [17, 16, 22, 20], [23, 21, 24]]
22: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19, 18], [17, 16, 22, 20], [23, 21, 24]]
23: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19, 18], [17, 16, 22, 20], [23, 21, 24]]
24: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19, 18], [17, 16, 22, 20], [23, 21, 24]]
25: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15], [19, 18, 17, 16, 22, 20], [23, 21, 24]]
26: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15], [19, 18, 17, 16, 22, 20], [23, 21, 24]]
27: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10, 12], [9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
28: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10, 12], [9, 8, 13, 15, 19, 18], [17, 16, 22, 20], [23, 21, 24]]
29: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10, 12], [9, 8, 13, 15, 19, 18], [17, 16, 22, 20], [23, 21, 24]]
30: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10, 12], [9, 8, 13, 15, 19, 18], [17, 16, 22, 20], [23, 21, 24]]
31: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10, 12, 9], [8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
32: [[3, 5, 1, 6], [4, 7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
33: [[1, 6, 3, 5], [4, 7, 14, 2, 11, 10], [12, 9, 8, 13, 15], [19, 18, 17, 16, 22, 20], [23, 21, 24]]
34: [[3, 5, 4, 7, 1, 6], [14, 2, 11, 10], [12, 9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
35: [[3, 5, 4, 7, 1, 6], [14, 2, 11, 10, 12], [9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
36: [[3, 5, 4, 7, 1, 6], [14, 2, 11, 10, 12], [9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
37: [[3, 5, 4, 7, 1, 6], [14, 2, 11, 10, 12], [9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
38: [[3, 5, 4, 7, 1, 6], [14, 2, 11, 10, 12], [9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
39: [[3, 5, 4, 7, 1, 6], [14, 2, 11, 10, 12], [9, 8, 13, 15, 19, 18], [17, 16, 22, 20], [23, 21, 24]]
40: [[1, 6, 3, 5], [4, 7, 14, 2, 11], [10, 12, 9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
41: [[1, 6, 3, 5], [4, 7, 14, 2, 11], [10, 12, 9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
42: [[1, 6, 3, 5], [4, 7, 14, 2, 11], [10, 12, 9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
43: [[1, 6, 3, 5], [4, 7, 14, 2, 11], [10, 12, 9, 8, 13, 15, 19], [18, 17, 16, 22, 20], [23, 21, 24]]
44: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19], [18, 17, 16, 22], [20, 23, 21, 24]]
45: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15, 19], [18, 17, 16, 22], [20, 23, 21, 24]]
46: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15], [19, 18, 17, 16, 22], [20, 23, 21, 24]]
47: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15], [19, 18, 17, 16, 22], [20, 23, 21, 24]]
48: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13, 15], [19, 18, 17, 16, 22], [20, 23, 21, 24]]
49: [[3, 5, 4, 1, 6], [7, 14, 2, 11, 10], [12, 9, 8, 13], [15, 19, 18, 17, 16, 22], [20, 23, 21, 24]]
