0: [[15, 1], [24, 27], [6, 5, 25], [19, 2, 16], [21, 10, 14], [4, 8], [17, 13], [9, 28, 18], [23, 29, 7, 22], [3, 26, 11, 20, 12]]
1: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
2: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [3, 4, 12, 9, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
3: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
4: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
5: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
6: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
7: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
8: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
9: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
10: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
11: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
12: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
13: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
14: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
15: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
16: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
17: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
18: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
19: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
20: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
21: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
22: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
23: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
24: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
25: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
26: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
27: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
