0: [[1, 4, 5, 3], [13, 10, 2], [6, 9, 7, 11, 12, 8]]
1: [[1, 4, 5, 3], [13, 2, 10], [6, 9, 7, 11, 12, 8]]
2: [[1, 4, 5, 3], [13, 2, 10], [6, 9, 7, 11, 12, 8]]
3: [[1, 4, 5, 3], [13, 2, 10], [6, 9, 7, 11, 12, 8]]
4: [[1, 4, 5, 3], [13, 2, 10], [6, 9, 7, 11, 12, 8]]
5: [[1, 4], [5, 3], [13, 2, 10, 6, 9, 7, 11, 12, 8]]
6: [[1, 4, 5, 3], [13, 2, 10, 6], [9, 7, 11, 12, 8]]
7: [[1, 4, 5, 3], [13, 2, 10, 6], [9, 7, 11, 12, 8]]
8: [[1, 4, 5, 3], [13, 2, 10, 6], [9, 7, 11, 12, 8]]
9: [[1, 4, 5, 3], [13, 2, 10, 6], [9, 7, 11, 12, 8]]
10: [[1, 4], [5, 3], [13, 2, 10, 6, 9, 7, 11, 12, 8]]
11: [[1, 4], [5, 3], [13, 2, 10, 6, 9, 7, 11, 12, 8]]
12: [[1, 4], [5, 3], [13, 2, 10, 6, 9, 7, 11, 12, 8]]
13: [[1, 4], [5, 3], [13, 2, 10, 6, 9, 7, 11, 12, 8]]
14: [[1, 4], [5, 3], [13, 2, 10, 6, 9, 7, 11, 12, 8]]
15: [[1, 4], [5, 3], [13, 2, 10, 6, 9, 7, 11, 12, 8]]
16: [[1, 4], [5, 3], [13, 2, 10, 6, 9, 7, 11, 12, 8]]
17: [[1, 4], [5, 3, 13, 2, 10], [6, 9, 7, 11, 12, 8]]
18: [[1, 4, 5, 3, 13], [2, 10], [6, 9, 7, 11, 12, 8]]
19: [[1, 4, 5, 3, 13, 2], [10, 6, 9], [7, 11, 12, 8]]
20: [[1, 4, 5, 3, 13, 2], [10, 6, 9], [7, 11, 12, 8]]
21: [[1, 4, 5, 3, 13, 2], [10, 6, 9], [7, 11, 12, 8]]
22: [[1, 4, 5, 3, 13], [2, 10, 6], [9, 7, 11, 12, 8]]
23: [[1, 4, 5], [3, 13, 2, 10], [6, 9, 7, 11, 12, 8]]
24: [[1, 4, 5], [3, 13, 2, 10], [6, 9, 7, 11, 12, 8]]
25: [[1, 4, 5], [3, 13, 2, 10], [6, 9, 7, 11, 12, 8]]
26: [[1, 4, 5], [3, 13, 2, 10], [6, 9, 7, 11, 12, 8]]
27: [[1, 4, 5], [3, 13, 2, 10, 6], [9, 7, 11, 12, 8]]
