0: [[50, 7, 5, 2, 22, 1, 37, 19], [3, 4], [8, 14, 6, 11, 43, 9, 10, 15], [28, 12, 13, 25], [20, 16], [17, 18, 21], [23, 24, 26], [27, 59, 29], [31, 30, 33], [53, 34, 44, 39], [32, 35, 36], [46, 38, 42], [57, 40, 45], [41, 60], [47, 48, 49, 55, 51, 54, 52, 56], [58, 62], [61, 63, 64, 69], [67, 65, 70, 66], [71, 68, 73, 76, 74, 72, 75, 77], [79, 78, 82], [81, 83, 80], [87, 84, 85, 86, 88]]
1: [[50, 7, 5, 2, 22, 1, 37, 19], [3, 4], [8, 14, 6, 11, 43, 9, 10, 15], [28, 12, 13], [25, 20, 16, 17], [18, 21, 23], [24, 26], [27, 59, 29], [31, 30, 33], [53, 34, 44, 39], [32, 35, 36, 46], [38, 42, 57], [40, 45, 41, 60], [47, 48, 49, 55, 51, 54, 52, 56, 58, 62, 61, 63], [64, 69, 67, 65], [70, 66, 71, 68, 73, 76, 74, 72, 75, 77], [79, 78, 82], [81, 83, 80, 87, 84, 85, 86, 88]]
2: [[50, 7, 5, 2, 22, 1, 37, 19], [3, 4], [8, 14, 6, 11, 43, 9, 10, 15], [28, 12], [13, 25, 20, 16], [17, 18], [21, 23, 24, 26, 27, 59, 29, 31], [30, 33], [53, 34, 44, 39], [32, 35, 36, 46], [38, 42, 57], [40, 45, 41, 60], [47, 48], [49, 55, 51], [54, 52, 56], [58, 62], [61, 63, 64, 69], [67, 65, 70, 66, 71], [68, 73, 76, 74], [72, 75, 77], [79, 78, 82, 81], [83, 80, 87, 84, 85, 86, 88]]
3: [[50, 7, 5, 2, 22, 1, 37, 19], [3, 4], [8, 14, 6, 11, 43, 9, 10, 15], [28, 12, 13, 25], [20, 16], [17, 18, 21], [23, 24, 26], [27, 59, 29], [31, 30, 33], [53, 34, 44, 39, 32, 35, 36], [46, 38], [42, 57, 40, 45, 41, 60, 47, 48], [49, 55, 51, 54], [52, 56, 58, 62, 61, 63, 64, 69], [67, 65], [70, 66], [71, 68, 73], [76, 74, 72, 75, 77], [79, 78, 82], [81, 83, 80, 87, 84, 85, 86, 88]]
4: [[50, 7, 5, 2, 22, 1, 37, 19], [3, 4], [8, 14, 6, 11, 43, 9, 10, 15], [28, 12, 13, 25], [20, 16], [17, 18, 21], [23, 24, 26], [27, 59, 29], [31, 30, 33, 53], [34, 44, 39, 32], [35, 36, 46], [38, 42, 57, 40], [45, 41, 60], [47, 48, 49], [55, 51, 54, 52], [56, 58, 62, 61], [63, 64, 69, 67, 65, 70], [66, 71, 68, 73], [76, 74, 72], [75, 77, 79, 78, 82, 81], [83, 80, 87, 84, 85, 86, 88]]
5: [[50, 7, 5, 2, 22, 1, 37, 19], [3, 4], [8, 14, 6, 11, 43, 9, 10, 15], [28, 12, 13], [25, 20, 16], [17, 18, 21], [23, 24], [26, 27], [59, 29, 31], [30, 33], [53, 34, 44, 39], [32, 35], [36, 46, 38, 42], [57, 40], [45, 41, 60, 47, 48, 49, 55, 51, 54, 52, 56, 58, 62, 61, 63], [64, 69, 67, 65, 70, 66, 71, 68, 73, 76, 74, 72, 75, 77, 79, 78, 82, 81, 83, 80, 87, 84, 85], [86, 88]]
6: [[50, 7, 5, 2, 22, 1, 37, 19], [3, 4], [8, 14, 6, 11, 43, 9, 10, 15], [28, 12, 13], [25, 20, 16], [17, 18, 21], [23, 24, 26, 27], [59, 29], [31, 30, 33, 53], [34, 44, 39], [32, 35, 36], [46, 38, 42, 57, 40], [45, 41, 60, 47, 48, 49, 55, 51, 54, 52, 56, 58, 62, 61, 63, 64, 69, 67], [65, 70, 66, 71, 68, 73, 76, 74, 72, 75, 77, 79, 78, 82, 81, 83, 80, 87, 84, 85, 86, 88]]
7: [[50, 7, 5, 2, 22, 1, 37, 19], [3, 4], [8, 14, 6, 11, 43, 9, 10, 15], [28, 12, 13], [25, 20, 16], [17, 18, 21], [23, 24], [26, 27], [59, 29], [31, 30, 33, 53, 34, 44, 39, 32], [35, 36], [46, 38, 42], [57, 40, 45, 41, 60, 47, 48, 49, 55], [51, 54, 52, 56], [58, 62, 61], [63, 64], [69, 67, 65], [70, 66, 71, 68, 73, 76, 74, 72, 75, 77, 79, 78, 82, 81, 83, 80, 87, 84, 85, 86, 88]]
8: [[50, 7, 5, 2, 22, 1, 37, 19], [3, 4], [8, 14, 6, 11, 43, 9, 10, 15], [28, 12, 13, 25], [20, 16, 17, 18, 21, 23, 24, 26], [27, 59], [29, 31, 30, 33, 53, 34, 44, 39], [32, 35, 36], [46, 38, 42], [57, 40, 45], [41, 60], [47, 48, 49, 55, 51, 54, 52], [56, 58, 62, 61, 63, 64, 69, 67, 65, 70, 66, 71, 68, 73, 76, 74, 72, 75, 77], [79, 78, 82, 81, 83, 80, 87, 84, 85, 86, 88]]
9: [[50, 7, 5, 2, 22, 1, 37, 19], [3, 4], [8, 14, 6, 11, 43, 9, 10, 15], [28, 12, 13, 25], [20, 16], [17, 18, 21], [23, 24], [26, 27, 59, 29], [31, 30, 33], [53, 34, 44], [39, 32, 35, 36], [46, 38, 42, 57], [40, 45], [41, 60, 47, 48, 49], [55, 51, 54, 52, 56, 58, 62, 61, 63, 64, 69, 67, 65, 70, 66, 71, 68, 73, 76, 74, 72, 75, 77, 79, 78, 82, 81, 83, 80, 87, 84, 85, 86, 88]]
10: [[50, 7, 5, 2, 22, 1, 37, 19], [3, 4], [8, 14, 6, 11, 43, 9, 10, 15], [28, 12], [13, 25, 20, 16, 17, 18, 21, 23], [24, 26, 27, 59], [29, 31], [30, 33, 53], [34, 44, 39], [32, 35, 36], [46, 38, 42, 57], [40, 45, 41, 60], [47, 48, 49, 55], [51, 54, 52, 56], [58, 62, 61], [63, 64, 69, 67], [65, 70, 66, 71], [68, 73, 76, 74, 72, 75], [77, 79, 78, 82, 81], [83, 80, 87], [84, 85, 86, 88]]
11: [[50, 7, 5, 2, 22, 1, 37, 19], [3, 4, 8], [14, 6, 11, 43, 9, 10, 15, 28], [12, 13, 25, 20], [16, 17, 18, 21, 23, 24, 26, 27], [59, 29, 31], [30, 33, 53], [34, 44, 39], [32, 35, 36, 46], [38, 42], [57, 40, 45, 41, 60, 47], [48, 49, 55, 51, 54, 52, 56, 58, 62, 61, 63, 64, 69, 67, 65, 70, 66, 71, 68, 73, 76, 74, 72, 75, 77, 79, 78, 82, 81, 83, 80, 87, 84, 85, 86, 88]]
12: [[50, 7], [5, 2, 22, 1, 37, 19], [3, 4], [8, 14, 6, 11, 43, 9, 10, 15], [28, 12, 13], [25, 20], [16, 17, 18, 21], [23, 24, 26], [27, 59, 29, 31], [30, 33, 53], [34, 44, 39], [32, 35, 36], [46, 38], [42, 57, 40, 45], [41, 60, 47, 48, 49], [55, 51, 54, 52], [56, 58, 62, 61], [63, 64, 69, 67], [65, 70, 66, 71, 68, 73], [76, 74, 72, 75, 77], [79, 78, 82], [81, 83, 80, 87], [84, 85, 86, 88]]
13: [[50, 7, 5, 2, 22, 1, 37, 19], [3, 4], [8, 14, 6, 11, 43, 9, 10, 15], [28, 12], [13, 25, 20, 16, 17, 18, 21, 23], [24, 26, 27, 59], [29, 31], [30, 33, 53], [34, 44, 39], [32, 35, 36], [46, 38, 42, 57], [40, 45, 41, 60], [47, 48, 49, 55], [51, 54, 52], [56, 58, 62], [61, 63, 64, 69, 67], [65, 70, 66], [71, 68, 73, 76, 74, 72, 75, 77, 79, 78], [82, 81, 83, 80, 87], [84, 85, 86, 88]]
14: [[50, 7, 5, 2, 22, 1, 37, 19], [3, 4], [8, 14, 6, 11, 43, 9, 10, 15], [28, 12], [13, 25, 20, 16, 17, 18], [21, 23, 24, 26], [27, 59, 29], [31, 30, 33, 53], [34, 44, 39, 32], [35, 36, 46], [38, 42, 57, 40], [45, 41, 60], [47, 48, 49, 55], [51, 54], [52, 56], [58, 62, 61, 63], [64, 69, 67, 65], [70, 66], [71, 68, 73, 76, 74, 72], [75, 77], [79, 78, 82, 81, 83, 80, 87, 84, 85, 86, 88]]
