0: [[5, 4], [16, 3], [2, 1], [7, 11], [12, 6, 13], [10, 14], [9, 8, 15, 19, 20, 17, 18, 22], [21, 23, 24]]
1: [[2, 1], [7, 11, 12], [6, 13, 5], [10, 14], [9, 8], [15, 19, 4], [20, 17], [18, 22, 16, 3], [21, 23, 24]]
2: [[2, 1], [7, 11], [12, 6, 5], [13, 10, 14], [9, 8], [15, 19, 4], [20, 17], [18, 22, 16, 3], [21, 23, 24]]
3: [[2, 1], [7, 11], [12, 6, 5], [13, 10], [14, 9], [8, 15], [19, 20, 17], [18, 22, 4, 16, 3], [21, 23, 24]]
4: [[2, 1], [7, 11], [12, 6, 13, 5], [10, 14], [9, 8, 15], [19, 20], [17, 18, 16, 3], [22, 21, 4], [23, 24]]
5: [[2, 1], [7, 11], [12, 6, 5], [13, 10], [14, 9], [8, 15, 19], [20, 17], [18, 22, 4, 16, 3], [21, 23, 24]]
6: [[5, 4], [16, 3], [2, 1], [7, 11, 12], [6, 13], [10, 14, 9, 8, 15, 19], [20, 17, 18], [22, 21, 23, 24]]
7: [[5, 4], [16, 3], [2, 1], [7, 11, 12], [6, 13], [10, 14, 9], [8, 15], [19, 20], [17, 18], [22, 21, 23, 24]]
8: [[5, 4], [16, 3], [2, 1], [7, 11, 12], [6, 13], [10, 14, 9], [8, 15], [19, 20], [17, 18], [22, 21, 23, 24]]
9: [[5, 4], [16, 3], [2, 1], [7, 11, 12], [6, 13], [10, 14, 9], [8, 15], [19, 20], [17, 18], [22, 21, 23, 24]]
10: [[2, 1], [7, 11], [12, 6, 5, 4], [13, 10, 3], [14, 9], [8, 15], [19, 20], [17, 18, 22, 16], [21, 23, 24]]
11: [[2, 1], [7, 11], [12, 6, 5, 4], [13, 10, 3], [14, 9], [8, 15], [19, 20], [17, 18, 22, 16], [21, 23, 24]]
12: [[2, 1], [7, 11], [12, 6, 5, 4], [13, 10, 3], [14, 9], [8, 15], [19, 20], [17, 18, 22, 16], [21, 23, 24]]
13: [[3, 4, 16], [2, 1], [7, 11], [12, 6, 5], [13, 10], [14, 9], [8, 15, 19], [20, 17, 18], [22, 21, 23, 24]]
14: [[5, 4], [16, 3], [2, 1], [7, 11], [12, 6], [13, 10, 14, 9], [8, 15], [19, 20, 17, 18, 22, 21], [23, 24]]
15: [[2, 1], [7, 11, 12, 16, 3], [6, 13, 5], [10, 14], [9, 8], [15, 19, 4], [20, 17, 18], [22, 21], [23, 24]]
16: [[2, 1], [7, 11], [12, 6, 5], [13, 10, 14], [9, 8], [15, 19, 20, 4], [17, 18, 16, 3], [22, 21], [23, 24]]
17: [[2, 1, 4], [7, 11], [12, 6, 5], [13, 10, 3], [14, 9], [8, 15], [19, 20], [17, 18, 16], [22, 21, 23, 24]]
18: [[2, 1, 4], [7, 11], [12, 6, 5], [13, 10, 3], [14, 9], [8, 15], [19, 20], [17, 18, 16], [22, 21, 23, 24]]
19: [[2, 1, 4], [7, 11], [12, 6, 5], [13, 10, 3], [14, 9], [8, 15], [19, 20], [17, 18, 16], [22, 21, 23, 24]]
20: [[2, 1, 4], [7, 11], [12, 6, 5], [13, 10, 3], [14, 9], [8, 15], [19, 20], [17, 18, 16], [22, 21, 23, 24]]
21: [[2, 1], [7, 11], [12, 6, 5], [13, 10, 3], [14, 9], [8, 15, 19, 20], [17, 18, 16], [22, 21, 4], [23, 24]]
22: [[2, 1], [7, 11, 16], [12, 6, 5], [13, 10, 3], [14, 9], [8, 15], [19, 20, 17, 18], [22, 21, 4], [23, 24]]
23: [[2, 1], [7, 11], [12, 6, 5], [13, 10, 3], [14, 9], [8, 15], [19, 20], [17, 18, 16], [22, 21, 4], [23, 24]]
24: [[2, 1], [7, 11], [12, 6, 5], [13, 10, 3], [14, 9], [8, 15], [19, 20], [17, 18, 16], [22, 21, 4], [23, 24]]
25: [[2, 1], [7, 11], [12, 6, 5], [13, 10, 3], [14, 9], [8, 15], [19, 20], [17, 18, 16], [22, 21, 4], [23, 24]]
