0: [[3, 5, 6, 10, 2, 1, 8, 7], [13, 11, 12, 9], [15, 14, 20, 19, 17, 18, 16, 4]]
1: [[3, 5, 6, 10, 2, 1, 8, 7], [9, 13, 11, 12], [4, 15, 14, 20, 19, 17, 18, 16]]
2: [[3, 5, 6, 10, 2, 1, 8, 7], [9, 13, 11, 12], [4, 15, 14, 20, 19, 17, 18, 16]]
3: [[3, 5, 6, 10, 2, 1, 8, 7], [9, 13, 11, 12], [4, 15, 14, 20, 19, 17, 18, 16]]
4: [[3, 5, 6, 10, 2, 1, 8, 7], [9, 13, 11, 12], [4, 15, 14, 20, 19, 17, 18, 16]]
5: [[3, 5, 6, 10, 2, 1, 8, 7], [9, 13, 11, 12], [4, 15, 14, 20, 19, 17, 18, 16]]
6: [[3, 5, 6, 10, 2, 1, 8, 7], [9, 13, 11, 12], [4, 15, 14, 20, 19, 17, 18, 16]]
7: [[3, 5, 6, 10, 2, 1, 8, 7], [9, 13, 11, 12], [4, 15, 14, 20, 19, 17, 18, 16]]
8: [[3, 5, 6, 10, 2, 1, 8, 7], [9, 13, 11, 12], [4, 15, 14, 20, 19, 17, 18, 16]]
9: [[3, 5, 6, 10, 2, 1, 8, 7], [9, 13, 11, 12], [4, 15, 14, 20, 19, 17, 18, 16]]
10: [[3, 5, 6, 10, 2, 1, 8, 7], [9, 13, 11, 12], [4, 15, 14, 20, 19, 17, 18, 16]]
11: [[3, 5, 6, 10, 2, 1, 8, 7], [9, 13, 11, 12], [4, 15, 14, 20, 19, 17, 18, 16]]
12: [[3, 5, 6, 10, 2, 1, 8, 7], [9, 13, 11, 12], [4, 15, 14, 20, 19, 17, 18, 16]]
13: [[3, 5, 6, 10, 2, 1, 8, 7], [9, 13, 11, 12], [4, 15, 14, 20, 19, 17, 18, 16]]
14: [[3, 5, 6, 10, 2, 1, 8, 7], [9, 13, 11, 12], [4, 15, 14, 20, 19, 17, 18, 16]]
15: [[3, 5, 6, 10, 2, 1, 8, 7], [9, 13, 11, 12], [4, 15, 14, 20, 19, 17, 18, 16]]
16: [[3, 5, 6, 10, 2, 1, 8, 7], [9, 13, 11, 12], [4, 15, 14, 20, 19, 17, 18, 16]]
17: [[3, 5, 6, 10, 2, 1, 8, 7], [9, 13, 11, 12], [4, 15, 14, 20, 19, 17, 18, 16]]
18: [[3, 5, 6, 10, 2, 1, 8, 7, 9], [13, 11, 12], [4, 15, 14, 20, 19, 17, 18, 16]]
19: [[3, 5, 6, 10, 2, 1, 8, 7, 9], [13, 11, 12], [4, 15, 14, 20, 19, 17, 18, 16]]
20: [[3, 5, 6, 10, 2, 1, 8, 7, 9], [13, 11, 12], [4, 15, 14, 20, 19, 17, 18, 16]]
21: [[3, 5, 6, 10, 2, 1, 8, 7, 9], [13, 11, 12], [4, 15, 14, 20, 19, 17, 18, 16]]
22: [[3, 5, 6, 10, 2, 1, 8], [7, 9, 13, 11, 12], [4, 15, 14, 20, 19, 17, 18, 16]]
23: [[3, 5, 6, 10, 2, 1, 8], [7, 9, 13, 11, 12], [4, 15, 14, 20, 19, 17, 18, 16]]
24: [[3, 5, 6, 10, 2, 1, 8], [7, 9, 13, 11, 12], [4, 15, 14, 20, 19, 17, 18, 16]]
25: [[3, 5, 6, 10, 2, 1, 8], [7, 9, 13, 11, 12], [4, 15, 14, 20, 19, 17, 18, 16]]
26: [[3, 5, 6, 10, 2, 1, 8], [7, 9, 13, 11, 12], [4, 15, 14, 20, 19, 17, 18, 16]]
27: [[3, 5, 6, 10, 2, 1, 8, 7], [9, 13, 11, 12, 4], [15, 14, 20, 19, 17, 18, 16]]
28: [[3, 5, 6, 10, 2, 1, 8, 7], [9, 13, 11, 12, 4], [15, 14, 20, 19, 17, 18, 16]]
29: [[3, 5, 6, 10, 2, 1, 8, 7, 9], [13, 11, 12, 4], [15, 14, 20, 19, 17, 18, 16]]
30: [[3, 5, 6, 10, 2, 1, 8, 7, 9], [13, 11, 12, 4], [15, 14, 20, 19, 17, 18, 16]]
31: [[3, 5, 6, 10, 2, 1, 8, 7, 9], [13, 11, 12, 4], [15, 14, 20, 19, 17, 18, 16]]
32: [[3, 5, 6, 10, 2, 1, 8, 7, 9], [13, 11, 12, 4], [15, 14, 20, 19, 17, 18, 16]]
33: [[3, 5, 6, 10, 2, 1, 8, 7, 9], [13, 11, 12, 4], [15, 14, 20, 19, 17, 18, 16]]
34: [[3, 5, 6, 10, 2, 1, 8, 7, 9], [13, 11, 12, 4], [15, 14, 20, 19, 17, 18, 16]]
35: [[3, 5, 6, 10, 2, 1, 8, 7], [9, 13, 11], [12, 4, 15, 14, 20, 19, 17, 18, 16]]
36: [[3, 5, 6, 10, 2, 1, 8, 7], [9, 13, 11], [12, 4, 15, 14, 20, 19, 17, 18, 16]]
37: [[3, 5, 6, 10, 2, 1, 8], [7, 9, 13, 11], [12, 4, 15, 14, 20, 19, 17, 18, 16]]
38: [[3, 5, 6, 10, 2, 1, 8], [7, 9, 13, 11], [12, 4, 15, 14, 20, 19, 17, 18, 16]]
39: [[3, 5, 6, 10, 2, 1, 8], [7, 9, 13, 11], [12, 4, 15, 14, 20, 19, 17, 18, 16]]
40: [[3, 5, 6, 10, 2, 1, 8], [7, 9, 13, 11], [12, 4, 15, 14, 20, 19, 17, 18, 16]]
41: [[3, 5, 6, 10, 2, 1, 8], [7, 9, 13, 11], [12, 4, 15, 14, 20, 19, 17, 18, 16]]
