0: [[11, 3, 1], [5, 4], [2, 10, 7, 8], [12, 13, 9], [14, 16, 6, 15], [19, 17, 18, 20]]
1: [[11, 3, 1], [5, 2, 4], [10, 7, 8], [12, 13, 9], [14, 16, 6, 15], [17, 19, 18, 20]]
2: [[11, 3, 1], [5, 2, 4], [10, 7, 8], [12, 13, 14, 9], [16, 6, 15], [19, 17, 18, 20]]
3: [[11, 3, 1], [5, 2, 4], [10, 7, 8], [12, 13, 9], [14, 6, 15], [18, 17, 19, 20, 16]]
4: [[11, 3, 1], [5, 2, 4], [10, 7, 8], [12, 13, 9], [14, 6], [15, 16, 19], [17, 18, 20]]
5: [[11, 3, 1], [5, 2], [10, 7, 8, 4], [12, 13, 9], [14, 16, 6, 15], [19, 17, 18, 20]]
6: [[11, 3, 1], [5, 2, 4], [10, 7, 8], [12, 13, 9], [14, 6], [16, 17, 18, 15], [19, 20]]
7: [[11, 3, 1], [5, 2], [10, 7, 8], [12, 13, 9], [14, 4], [16, 19, 6, 15], [17, 18, 20]]
8: [[11, 3, 1], [5, 2], [10, 7, 8], [12, 13, 9], [14, 4], [19, 16, 6, 15], [18, 17, 20]]
9: [[11, 3, 1], [5, 2, 4], [10, 7, 8], [12, 13, 9], [14, 6], [17, 19], [16, 18, 20, 15]]
10: [[11, 3, 1], [5, 2, 4], [10, 7, 8], [12, 13, 9], [14, 6], [17, 19, 16, 15], [20, 18]]
11: [[11, 3, 1], [5, 2, 4], [10, 7, 8], [12, 13, 9], [14], [17, 19, 18], [16, 20, 6, 15]]
12: [[11, 3, 1], [5, 2, 4], [10, 7, 8], [12, 13, 14, 9, 6], [15, 16, 19, 17, 18, 20]]
13: [[11, 3, 1], [5, 2], [10, 7, 8], [12, 13, 9], [14, 18, 4, 6, 15], [16, 17, 19, 20]]
14: [[11, 3, 1], [5, 2, 4], [10, 7, 8], [12, 13, 14, 15, 9, 6], [16, 17, 18, 19, 20]]
15: [[11, 3, 1], [5, 2, 4], [10, 7, 8], [12, 13, 14, 9], [16, 19, 6, 15], [17, 18, 20]]
16: [[11, 3, 1], [5, 2, 4], [10, 7, 8, 12, 13, 9], [14, 6, 16, 17, 15], [18, 19, 20]]
17: [[11, 3, 1], [5, 2, 4], [10, 7, 8], [12, 13, 9], [14, 19, 6, 15], [18, 17, 16, 20]]
18: [[11, 3, 1], [5, 2, 4], [10, 7, 8, 12, 13, 9], [14, 6, 16, 18, 15], [19, 20, 17]]
19: [[11, 3, 1], [5, 2], [4, 10, 7, 8], [12, 13], [9, 14, 6], [15, 16], [19, 17, 18, 20]]
20: [[11, 3], [1, 5], [2, 10, 7, 8], [12, 13, 9], [14, 4, 6], [16, 17, 19, 15], [18, 20]]
21: [[11, 3, 1], [5, 2], [10, 7, 8, 4], [12, 13, 14, 9], [16, 6, 15], [17, 19, 18, 20]]
22: [[11, 3, 1], [5, 2, 4], [10, 7, 8], [12, 13, 9], [14, 19, 18, 6, 15], [16, 17, 20]]
23: [[11, 3, 1], [5, 2, 4], [10, 7], [8, 12, 13, 9], [14, 15, 16, 18, 17, 19, 20, 6]]
24: [[11, 3, 1], [5, 2, 4], [10, 7, 8, 12], [13, 14, 6, 9], [16, 19, 17, 18, 20, 15]]
25: [[11, 3], [1, 5, 2, 4], [10, 7, 8], [12, 13, 14, 9], [15, 16, 19, 17, 18, 20, 6]]
26: [[11, 3, 1], [5, 2], [4, 10, 7], [8, 12, 13], [9, 14, 6], [15, 16], [19, 17, 18, 20]]
27: [[11, 3, 1], [5, 2, 4], [10, 7, 8, 12, 13, 9, 6, 14, 15, 16, 17], [20, 19, 18]]
28: [[11, 3], [1, 5, 4], [2, 10, 7], [8, 12, 13], [14, 9, 6], [17, 16, 15], [19, 18, 20]]
29: [[11, 3, 1], [5, 2, 4], [12, 7, 8], [13, 9], [10, 14, 6], [16, 19, 15], [17, 18, 20]]
30: [[11, 3, 1], [5, 2], [10, 7, 4], [8, 12, 13], [14, 9, 6], [17, 16, 15], [19, 18, 20]]
31: [[11, 3, 1], [5, 2, 4, 10, 7], [8, 12, 13, 9, 14, 6, 15, 16, 19, 17, 18, 20]]
32: [[11, 3], [1, 5, 2], [10, 7, 4], [8, 12, 13], [14, 9, 6], [16, 18, 15], [19, 17, 20]]
33: [[11, 3, 1], [5, 2, 10], [7, 8, 4, 6], [12, 13, 14, 15, 16, 17, 19, 18, 20, 9]]
34: [[11, 3, 1], [5, 2, 4], [10, 7, 8, 12, 13], [14, 15, 16, 19, 17, 18, 20, 9, 6]]
35: [[11, 3], [1, 5, 2], [4, 10], [7, 8, 12, 13], [9, 14, 6], [15, 16], [17, 19, 18, 20]]
36: [[11, 3, 1], [5, 4, 2, 10, 7, 8, 12], [13, 9, 14, 6, 15, 16, 19, 17, 18, 20]]
37: [[11, 3, 1], [5, 2, 6, 4], [7, 8, 12, 13, 9], [14, 10, 16, 19, 17, 15], [18, 20]]
38: [[11, 3, 1, 5], [2, 10, 6], [7, 8, 12, 9], [13, 14, 4], [16, 19, 17, 15], [18, 20]]
39: [[11, 3, 1, 5], [2, 10, 4, 6], [7, 8], [12, 13, 14, 15, 9], [17, 16, 19, 18, 20]]
40: [[11, 3, 1, 5], [2, 10, 4], [7, 8], [12, 13, 9], [14, 6], [16, 17, 19, 15], [18, 20]]
41: [[11, 3, 1], [5, 2, 4, 10], [7, 8, 12, 13, 9, 6, 14, 15, 16, 17, 20, 19, 18]]
