0: [[10, 3, 4, 1, 5, 2], [7, 13, 12], [6, 8, 9, 11]]
1: [[10, 3, 4, 1, 2, 5], [7, 13, 12], [6, 8, 9, 11]]
2: [[10, 3, 4, 1, 2, 5], [7, 13, 12], [6, 8, 9, 11]]
3: [[10, 3, 4, 1], [2, 5, 7, 13, 12], [6, 8, 9, 11]]
4: [[10, 3, 4, 1], [2, 5, 7, 13, 12], [6, 8, 9, 11]]
5: [[10, 3, 4, 1], [2, 5, 7, 13, 12], [6, 8, 9, 11]]
6: [[10, 3, 4, 1], [2, 5, 7, 13, 12], [6, 8, 9, 11]]
7: [[10, 3, 4, 1], [2, 5, 7, 13, 12], [6, 8, 9, 11]]
8: [[10, 3, 4, 1], [2, 5, 7, 13, 12], [6, 8, 9, 11]]
9: [[10, 3, 4, 1], [2, 5, 7, 13, 12], [6, 8, 9, 11]]
10: [[10, 3, 4, 1], [2, 5, 7, 13, 12], [6, 8, 9, 11]]
11: [[10, 3, 4, 1, 2], [5, 7, 13, 12], [6, 8, 9, 11]]
12: [[10, 3, 4], [1, 2, 5, 7, 13, 12], [6, 8, 9, 11]]
13: [[10, 3, 4], [1, 2, 5, 7, 13, 12], [6, 8, 9, 11]]
14: [[10, 3, 4], [1, 2, 5, 7, 13, 12], [6, 8, 9, 11]]
15: [[10, 3, 4], [1, 2, 5, 7, 13, 12], [6, 8, 9, 11]]
16: [[10, 3, 4], [1, 2, 5, 7, 13, 12], [6, 8, 9, 11]]
17: [[10, 3, 4], [1, 2, 5, 7, 13, 12], [6, 8, 9, 11]]
18: [[10, 3, 4, 1], [2, 5, 7, 13], [12, 6, 8, 9, 11]]
19: [[10, 3, 4, 1], [2, 5, 7, 13], [12, 6, 8, 9, 11]]
20: [[10, 3, 4, 1], [2, 5, 7, 13], [12, 6, 8, 9, 11]]
21: [[10, 3, 4, 1], [2, 5, 7, 13, 12, 6], [8, 9, 11]]
22: [[10, 3, 4, 1, 2], [5, 7, 13], [12, 6, 8, 9, 11]]
23: [[10, 3, 4, 1, 2], [5, 7, 13], [12, 6, 8, 9, 11]]
24: [[10, 3, 4, 1, 2], [5, 7, 13], [12, 6, 8, 9, 11]]
25: [[10, 3, 4, 1, 2, 5, 7], [13, 12], [6, 8, 9, 11]]
26: [[10, 3, 4], [1, 2, 5, 7, 13], [12, 6, 8, 9, 11]]
27: [[10, 3, 4, 1, 2, 5, 7], [13, 12, 6], [8, 9, 11]]
