0: [[1, 14, 4, 3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
1: [[1, 14, 4, 3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
2: [[1, 14, 4, 3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
3: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
4: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
5: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
6: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
7: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
8: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
9: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
10: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
11: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
12: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
13: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
14: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
15: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
16: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
17: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
18: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
19: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
20: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
21: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
22: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
