0: [[3, 5, 1], [12, 7], [8, 2, 6, 13, 11], [4, 9, 10]]
1: [[3, 5, 1], [12, 7], [8, 2, 6, 13, 11], [4, 9, 10]]
2: [[3, 5, 1], [12, 7, 8], [2, 6, 13, 11], [4, 9, 10]]
3: [[3, 5, 1], [12, 7, 8], [2, 6, 13, 11, 4, 9, 10]]
4: [[3, 5, 1], [12, 7, 8], [2, 6, 13, 11, 4, 9, 10]]
5: [[3, 5, 1], [12, 7, 8], [2, 6, 13, 11], [4, 9, 10]]
6: [[3, 5, 1], [12, 7, 8], [2, 6, 13, 11], [4, 9, 10]]
7: [[3, 5, 1], [12, 7, 8], [2, 6, 13, 11], [4, 9, 10]]
8: [[3, 5, 1], [12, 7, 8], [2, 6, 13, 11], [4, 9, 10]]
9: [[3, 5, 1], [12, 7, 8], [2, 6, 13, 11], [4, 9, 10]]
10: [[3, 5, 1], [12, 7, 8], [2, 6, 13, 11], [4, 9, 10]]
11: [[3, 5, 1], [12, 7, 8], [2, 6, 13, 11], [4, 9, 10]]
12: [[3, 5, 1], [12, 7, 8, 2], [6, 13, 11], [4, 9, 10]]
13: [[3, 5, 1], [12, 7, 8, 2], [6, 13, 11], [4, 9, 10]]
14: [[3, 5, 1], [12, 7, 8, 2], [6, 13, 11], [4, 9, 10]]
15: [[3, 5, 1], [12, 7, 8, 2], [6, 13, 11], [4, 9, 10]]
16: [[3, 5, 1], [12, 7, 8], [2, 6, 13], [11, 4, 9, 10]]
17: [[3, 5, 1], [12, 7, 8], [2, 6, 13], [11, 4, 9, 10]]
18: [[3, 5, 1], [12, 7, 8], [2, 6, 13], [11, 4, 9, 10]]
19: [[3, 5, 1], [12, 7, 8], [2, 6, 13], [11, 4, 9, 10]]
20: [[3, 5, 1], [12, 7, 8], [2, 6, 13], [11, 4, 9, 10]]
21: [[3, 5, 1], [12, 7, 8], [2, 6, 13], [11, 4, 9, 10]]
22: [[3, 5], [1, 12, 7, 8, 2], [6, 13, 11], [4, 9, 10]]
23: [[3, 5, 1], [12, 7, 8, 2, 6], [13, 11, 4, 9, 10]]
24: [[3, 5, 1], [12, 7, 8], [2, 6], [13, 11], [4, 9, 10]]
25: [[3, 5, 1, 12], [7, 8, 2], [6, 13, 11], [4, 9, 10]]
