It No., Best MQ, No clusters, max clus, min clus
1,1.9583296403850396,5,5,4
2,1.828236444512616,5,5,4
3,1.711385444436292,5,5,4
4,1.831306073153899,6,4,4
5,1.2630757220921156,3,8,8
6,2.0639294811749878,7,4,3
7,2.0452536033570516,9,3,2
8,1.9011841197195887,6,4,4
9,1.8295038295038295,6,4,4
10,2.0559128991653903,7,4,3
11,2.012074744427686,8,3,3
12,1.8458365436524784,5,5,4
13,1.8379043268608646,6,4,4
14,1.9123017484336886,6,4,4
15,1.7643900303343028,5,5,4
16,1.9325738916256157,7,4,3
17,1.8240594899633802,6,4,4
18,2.1214021867446897,7,4,3
19,1.66325858049996,5,5,4
20,1.9195804308380373,8,3,3
21,1.9674422506129825,7,4,3
22,2.022694202349375,8,3,3
23,1.9091419465694308,7,4,3
24,1.833758207045038,6,4,4
25,2.0249598133264195,7,4,3
26,2.0506627642318005,8,3,3
27,1.7515177581100503,8,3,3
28,2.0405814568669,7,4,3
29,1.849171289068987,6,4,4
30,2.077262692160634,8,3,3
31,1.867612779377485,6,4,4
