0: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
1: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
2: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
3: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
4: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
5: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
6: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
7: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
8: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
9: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
10: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
11: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
12: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
13: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
14: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
15: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
16: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
17: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
