0: [[10, 7, 2], [3, 1, 8], [13, 5, 4], [14, 16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
1: [[10, 7, 2], [3, 1, 8], [13, 5, 4], [14, 16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
2: [[10, 7, 2], [3, 1, 8], [13, 5, 4], [14, 16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
3: [[10, 7, 2], [3, 1, 8], [13, 5, 4], [14, 16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
4: [[10, 7, 2], [3, 1, 8], [13, 5, 4], [14, 16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
5: [[10, 7, 2], [3, 1, 8], [13, 5, 4], [14, 16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
6: [[10, 7, 2], [3, 1, 8], [13, 5, 4], [14, 16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
7: [[10, 7, 2], [3, 1, 8], [13, 5, 4], [14, 16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
8: [[10, 7, 2], [3, 1, 8], [13, 5, 4], [14, 16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
9: [[10, 7, 2], [3, 1, 8], [13, 5, 4], [14, 16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
10: [[10, 7, 2], [3, 1, 8], [13, 5, 4], [14, 16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
11: [[10, 7, 2], [3, 1, 8], [13, 5, 4], [14, 16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
12: [[10, 7, 2], [3, 1, 8], [13, 5, 4], [14, 16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
13: [[10, 7, 2], [3, 1, 8], [13, 5, 4], [14, 16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
14: [[10, 7, 2], [3, 1, 8], [13, 5, 4], [14, 16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
15: [[10, 7, 2], [3, 1, 8], [13, 5, 4], [14, 16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
16: [[10, 7, 2], [3, 1, 8], [13, 5, 4], [14, 16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
17: [[10, 7, 2], [3, 1, 8], [13, 5, 4], [14, 16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
18: [[10, 7, 2], [3, 1, 8], [13, 5, 4], [14, 16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
19: [[10, 7, 2], [3, 1, 8], [13, 5, 4], [14, 16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
20: [[10, 7, 2], [3, 1, 8], [13, 5, 4], [14, 16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
21: [[10, 7, 2], [3, 1, 8], [13, 5, 4], [14, 16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
22: [[10, 7, 2], [3, 1, 8], [13, 5, 4, 14], [16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
23: [[10, 7, 2], [3, 1, 8], [13, 5, 14, 4], [16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
24: [[10, 7, 2], [3, 1, 8], [13, 5, 14, 4], [16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
25: [[10, 7, 2], [3, 1, 8], [13, 5, 14, 4], [16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
26: [[10, 7, 2], [3, 1, 8], [13, 5, 4, 14], [16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
27: [[10, 7, 2], [3, 1, 8, 13], [5, 4, 14], [16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
28: [[10, 7, 2], [3, 1, 8, 13], [5, 14, 4], [16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
29: [[10, 7, 2], [3, 1, 8, 13], [5, 4, 14], [16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
30: [[10, 7, 2], [3, 1, 8, 13], [5, 4, 14], [16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
31: [[10, 7, 2], [3, 1, 8, 13], [5, 4, 14], [16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
32: [[10, 7, 2], [3, 1, 8, 13], [5, 4, 14], [16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
33: [[10, 7, 2], [3, 1, 8, 13], [5, 4, 14], [16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
34: [[10, 7, 2], [3, 1, 8, 13], [5, 4, 14], [16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
35: [[10, 7, 2], [3, 1, 8], [13, 5, 12], [16, 6, 4, 15], [11, 14, 9], [20, 17, 19, 18]]
36: [[10, 7, 2, 3], [1, 8, 13], [5, 4, 14], [16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
37: [[10, 7, 2, 3], [1, 8, 13], [5, 14, 4], [16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
38: [[10, 7, 2, 3], [1, 8, 13], [5, 4, 14], [16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
39: [[10, 7, 2, 3], [1, 8, 13], [5, 4, 14], [16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
40: [[10, 7, 2, 3], [1, 8, 13], [5, 4, 14], [16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
41: [[10, 7, 2, 3], [1, 8, 13], [5, 14, 4], [16, 6, 15], [11, 12, 9], [20, 17, 19, 18]]
