0: [[35, 2, 7], [1, 3, 4], [13, 5, 21, 6], [8, 12, 11, 15, 9, 14, 23, 29, 10], [27, 31, 16, 17, 28, 22], [19, 20, 24, 25, 26, 30, 36, 32, 34, 33, 39], [37, 45, 42, 38, 43, 40, 41, 46, 47, 18], [44, 48, 55, 50], [49, 57, 53], [56, 51, 52, 58, 59, 54, 60]]
1: [[35, 2, 7], [1, 3, 4], [13, 5, 21, 6], [8, 12, 11, 15, 9, 14, 23, 29, 10], [27, 31, 16, 17, 28, 22], [19, 20, 24, 25, 26, 30, 36, 32, 34, 33, 39], [37, 45, 42, 38, 43, 40, 41, 46, 47, 18], [44, 48, 55, 50], [49, 57, 53], [56, 51, 52, 58, 59, 54, 60]]
2: [[35, 2, 7], [1, 3, 4], [13, 5, 21, 6], [8, 14, 9, 15, 10, 11, 31, 12, 24], [19, 23, 18, 16, 20, 30, 17], [22, 25, 27, 26, 28, 29, 33, 50, 32, 38, 37], [41, 34, 46, 45, 43, 36, 39, 40, 42, 44], [47, 53, 48, 49, 57, 55, 60], [51, 52, 58, 59, 54, 56]]
3: [[35, 7, 2], [1, 3, 4], [13, 5, 17, 6, 21], [8, 12, 11, 15, 9, 14, 23, 10, 18], [27, 31, 16, 28, 22], [19, 20, 30, 24, 25, 26], [29, 32, 50, 33, 39, 34, 45, 42], [38, 43, 40, 41, 46, 36, 37], [44, 48, 52, 47], [49, 55, 53], [56, 54, 58, 51, 57, 59, 60]]
4: [[35, 2, 7], [1, 3, 4], [13, 5, 21, 6], [8, 9, 11], [15, 10, 12, 23, 28, 14, 25], [30, 16, 17, 31, 22, 24, 18, 26, 19, 20, 27, 32, 29, 34, 37, 33, 38, 44, 42, 36, 43, 40, 41, 47, 39, 54, 45, 49, 55, 48, 46, 51, 52, 50, 53, 57, 58, 56, 60, 59]]
5: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6, 8, 9, 11], [12, 14, 15, 16, 29, 10, 27, 23, 18, 17, 20, 24], [19, 22, 25, 26, 30, 28, 52, 32, 39, 33, 38, 37, 36, 34, 31, 42], [40, 43, 46, 41, 44, 45, 58, 55, 47, 49, 51, 48, 60, 50, 53, 56, 59, 54, 57]]
6: [[35, 2, 7, 1], [3, 4, 13, 21, 6, 5, 24, 26, 10, 31, 8, 11], [29, 9, 12, 15, 16, 14, 20, 23, 19, 17, 28], [22, 18, 54, 30, 25, 32, 27, 36, 33, 38, 45, 42, 34, 47, 37, 40, 39], [41, 46, 44, 50], [51, 43, 53], [48, 49, 52, 55, 57, 58, 56, 59, 60]]
7: [[35, 2, 7], [1, 3, 4], [13, 21, 5], [6, 24, 14, 9, 12, 8, 11, 19, 31, 22, 16, 15, 17, 20, 23, 10, 18, 25, 27], [28, 26, 29, 30, 37, 50, 55, 38, 40, 33, 34, 32, 42, 45, 36, 47, 41, 46, 39], [54, 49, 43, 48, 53, 44, 51, 59, 52, 57, 56, 58, 60]]
8: [[35, 2, 7], [1, 3, 4], [13, 5, 20, 6, 8, 11, 9, 14, 10, 12, 17, 16, 24, 19, 15, 21, 23, 25, 29, 22, 30, 18, 28, 26, 31, 27, 32, 36, 37, 33, 39, 44, 34, 41, 38, 42, 40, 43, 47], [45, 60, 59, 48], [52, 46], [50, 51, 55, 54, 53, 57, 58, 49, 56]]
9: [[35, 2, 7], [1, 3, 4], [13, 5, 20, 6, 8, 11, 9, 14, 10, 12, 17, 16, 24, 19, 15, 21, 23, 25, 29, 22, 30, 18, 28, 26, 31, 27, 32, 36, 37, 33, 39, 44, 34, 41, 38, 42, 40, 43, 47], [45, 60, 59, 48], [52, 46], [50, 51, 55, 54, 53, 57, 58, 49, 56]]
10: [[35, 2, 7], [1, 3, 4, 13], [5, 21, 6, 8, 12, 11, 14, 9, 15], [31, 19, 10, 27, 18, 16], [20, 17, 30, 22, 23, 24, 25, 26, 28, 60, 32], [48, 33, 29, 36, 44, 42, 43, 45, 34, 37], [46, 39, 38, 40], [50, 55, 59], [49, 57, 53, 56, 51, 41, 47], [52, 54, 58]]
11: [[35, 2, 7], [1, 3, 4, 13, 21, 5, 6], [10, 28, 11, 15, 9, 8, 22, 25, 19, 12, 31, 16, 17, 18, 14, 27, 20, 23, 29, 30, 24, 36, 32, 54, 37, 39, 26, 45, 38, 34, 47, 40, 41, 42, 33, 58, 44, 48, 43, 46, 51, 49, 55, 56, 50, 52, 53, 57, 59, 60]]
12: [[35, 2, 7, 1, 3, 4, 13], [5, 21, 6], [8, 12, 9], [11, 25, 14, 23], [29, 10, 15, 19, 17, 20, 16, 18, 24], [22, 26, 28, 27, 30, 44], [32, 38, 37, 31], [33, 34, 42, 36, 43, 40, 41, 45, 47, 39], [46, 48, 55, 50], [51, 53, 52], [56, 49, 54, 58, 59, 57, 60]]
13: [[35, 2, 7], [1, 3, 4, 13, 21, 5, 6, 24, 25], [11, 12, 10, 8, 9, 14, 15, 20, 16, 18, 19, 23, 27, 22, 28, 17, 26, 31, 29, 30, 50, 34, 37, 42, 39, 36, 33, 38, 32, 45, 43, 41, 46, 44, 40, 58, 47, 49, 53, 51, 48], [52, 55, 56, 57, 59, 54, 60]]
14: [[35, 2, 7], [1, 3, 4], [13, 21, 12, 6], [25, 5, 10, 8, 9, 30, 28, 11, 15], [20, 19], [17, 23, 14, 18, 16, 24, 22, 26, 27, 29, 31, 32, 43, 37, 36, 42, 39, 34, 33, 38, 44, 45, 41, 40, 47, 46, 49, 50, 54, 53, 48, 59, 51, 55, 58, 52, 60, 57, 56]]
15: [[35, 2, 7], [1, 3, 4, 13, 21, 5, 6], [8, 14, 11, 12, 9, 10, 31, 28, 15, 20, 23, 17, 25, 16, 18, 22, 27, 19, 24, 26], [30, 29, 32, 33, 37, 45], [36], [38, 34, 39, 40, 41, 42, 46, 47, 43, 44, 56, 50, 48, 53, 49, 51, 58, 52, 55, 54, 59, 57], [60]]
