0: [[8, 6], [12, 7], [1, 3], [9, 11], [13, 2, 4, 5, 10]]
1: [[8, 6], [12, 7], [1, 3], [9, 11], [13, 2, 4, 5, 10]]
2: [[8, 6], [12, 7], [1, 3], [9, 11], [13, 2], [4, 5, 10]]
3: [[8, 6], [12, 7], [1, 3], [9, 11], [13, 2], [4, 5, 10]]
4: [[8, 6], [12, 7], [1, 3], [9, 11], [13, 2], [4, 5, 10]]
5: [[8, 6], [12, 7], [1, 3], [9, 11], [13, 2], [4, 5, 10]]
6: [[8, 6], [12, 7], [1, 3], [9, 11], [13, 2], [4, 5, 10]]
7: [[8, 6], [12, 7], [1, 3], [9, 11], [13, 2], [4, 5, 10]]
8: [[8, 6], [12, 7], [1, 3], [9, 11, 13], [2, 4, 5, 10]]
9: [[8, 6], [12, 7], [1, 3], [9, 11], [13, 2, 4], [5, 10]]
10: [[8, 6], [12, 7], [1, 3], [9, 11], [13, 2, 4], [5, 10]]
11: [[8, 6], [12, 7], [1, 3], [9, 11], [13, 2, 4], [5, 10]]
12: [[8, 6], [12, 7], [1, 3, 9], [11, 13, 2, 4, 5, 10]]
13: [[8, 6], [12, 7], [1, 3], [9, 11, 13], [2, 4], [5, 10]]
14: [[8, 6], [12, 7], [1, 3, 9], [11, 13, 2, 4, 5, 10]]
15: [[8, 6, 12], [7, 1, 3, 9, 11], [13, 2, 4, 5, 10]]
16: [[8, 6], [12, 7, 1, 3, 9], [11, 13, 2, 4, 5, 10]]
17: [[8, 6], [12, 7], [1, 3, 9], [11, 13], [2, 4, 5, 10]]
18: [[8, 6, 12], [7, 1, 3], [9, 11], [13, 2, 4], [5, 10]]
19: [[8, 6], [12, 7, 1], [3, 9, 11, 13], [2, 4, 5, 10]]
20: [[8, 6], [12, 7, 1], [3, 9], [11, 13, 2, 4, 5, 10]]
21: [[8, 6], [12, 7, 1], [3, 9], [11, 13], [2, 4, 5, 10]]
22: [[8, 6], [12, 7], [1, 3, 9], [11, 13], [2, 4], [5, 10]]
23: [[8, 6], [12, 7], [1, 3, 9], [11, 13], [2, 4], [5, 10]]
24: [[8, 6, 12], [7, 1], [3, 9], [11, 13], [2, 4], [5, 10]]
25: [[8, 6, 12], [7, 1], [3, 9], [11, 13], [2, 4], [5, 10]]
