0: [[4, 10], [3, 1, 5], [6, 9, 11, 2, 8], [7, 13, 12]]
1: [[10, 4], [1, 5, 3], [6, 9, 11], [2, 8, 7, 13, 12]]
2: [[4, 10, 3, 1], [5, 6, 9, 11, 2, 8], [7, 13, 12]]
3: [[4, 10], [3, 1, 5], [6, 9, 11, 2, 8, 7, 13, 12]]
4: [[4, 10], [3, 1, 5], [6, 9, 11, 2, 8, 7, 13, 12]]
5: [[10], [1, 5, 3], [6, 9, 4], [11, 2, 8], [7, 13, 12]]
6: [[10], [1, 5, 3], [6, 9, 4], [11, 2, 8], [7, 13, 12]]
7: [[10, 4], [1, 3], [5, 6, 9, 11, 2], [8, 7, 13, 12]]
8: [[10, 4], [1, 3], [5, 6, 9, 11], [2, 8, 7, 13, 12]]
9: [[4, 10], [3, 1], [5, 6, 9], [11, 2, 8], [7, 13, 12]]
10: [[4, 10], [3, 1], [5, 6, 9], [11, 2, 8], [7, 13, 12]]
11: [[4, 10], [3, 1], [5, 6, 9, 11, 2, 8, 7, 13, 12]]
12: [[4, 10], [3, 1, 5, 6], [9, 11, 2], [8, 7, 13, 12]]
13: [[4, 10], [3, 1, 5, 6, 9, 11, 2], [8, 7, 13, 12]]
14: [[10, 4], [3, 1, 5], [9, 11, 6], [2, 8, 7], [13, 12]]
15: [[4, 10], [3, 1], [5, 6], [9, 11, 2, 8], [7, 13, 12]]
16: [[4, 10], [3, 1, 5, 6, 9, 11], [2, 8, 7, 13, 12]]
17: [[10, 1, 4], [5, 6, 9, 3], [11, 2], [8, 7, 13, 12]]
18: [[4, 10], [3, 1], [5, 6], [9, 11, 2, 8, 7, 13, 12]]
19: [[4, 10], [3, 1, 5, 6], [9, 11, 8, 7, 2], [13, 12]]
20: [[4, 10], [1, 5, 6, 3, 9], [11, 2, 8], [7, 13], [12]]
21: [[10], [1], [5, 6, 4, 3], [9, 11, 2, 8, 7, 13, 12]]
22: [[4, 10], [3, 1], [5, 6, 9], [11, 2, 8, 7], [13, 12]]
23: [[4, 10], [3, 1, 5, 6, 9], [11, 8, 7, 2], [13, 12]]
24: [[4, 10], [3, 1, 5, 6, 9, 11, 2, 8, 7], [13, 12]]
25: [[4, 10, 3], [1, 5, 6], [9, 11, 2, 8, 7, 13, 12]]
26: [[4, 10, 3], [1, 5, 6], [9, 11, 2, 8, 7, 13, 12]]
27: [[4, 10, 3], [1, 5, 6, 9, 11, 2, 8, 7], [13, 12]]
