0: [[25, 35, 3, 4, 47, 1, 24, 2, 60, 7, 12], [8, 15, 16, 11, 9, 31, 14, 18, 10], [17, 22, 19, 23, 20, 26, 28, 27], [29, 36, 30, 5, 32, 34, 40, 38], [41, 37, 46, 13, 42, 33, 39, 45, 50, 43, 56, 44, 52, 51, 53, 54, 21, 6], [55, 48, 49, 57, 59, 58]]
1: [[27, 35, 7, 2, 33, 3, 20], [13, 5, 1, 12, 4, 14, 6, 8, 9, 10, 26, 23, 11, 17, 15, 30, 16, 25, 31, 24, 18, 19, 28, 21], [29, 36, 22, 32, 34, 45, 37, 38, 42, 39, 40, 43, 41, 44], [47, 46, 51, 48, 50, 49, 54, 53, 52, 55, 59, 56, 57, 58, 60]]
2: [[27, 35, 7, 2, 33, 3, 20], [13, 5, 1, 12, 4, 14, 10, 11, 6, 8, 9, 31, 21, 19, 16, 18, 15, 17, 23, 30, 22, 26, 28, 24], [25, 36, 29, 32, 34, 45, 37, 38, 42, 39, 40, 43, 41, 44], [47, 46, 51, 48, 50, 49, 54, 53, 52, 55, 59, 56, 57, 58, 60]]
3: [[27, 35, 7, 2, 33, 3, 20], [13, 5, 1, 12, 4, 14, 6, 8, 9, 26, 11, 31, 10, 17, 16, 15, 19, 22, 23, 18, 21, 24, 30, 28], [29, 36, 25, 32, 34, 45, 37, 38, 42, 39, 40, 43, 41, 44], [47, 46, 51, 48, 50, 49, 54, 53, 52, 55, 59, 56, 57, 58, 60]]
4: [[27, 35, 7, 2, 33, 3, 20], [13, 5, 1, 12, 4, 14, 6, 8, 26, 9, 30, 11, 10, 16, 19, 18, 15, 17, 23, 28, 31, 21, 22, 24], [29, 36, 25, 32, 34, 45, 37, 38, 42, 39, 40, 43, 41, 44], [47, 46, 51, 48, 50, 49, 54, 53, 52, 55, 59, 56, 57, 58, 60]]
5: [[27, 35, 7, 2, 33, 3, 20], [13, 5, 1, 12, 4, 14, 10, 11, 6, 8, 9, 31, 21, 15, 18, 17, 19, 16, 22, 30, 24, 26, 23, 28], [25, 36, 29, 32, 34, 45, 37, 38, 42, 39, 40, 43, 41, 44], [47, 46, 51, 48, 50, 49, 54, 53, 52, 55, 59, 56, 57, 58, 60]]
6: [[27, 35, 7, 2, 33, 3, 20], [13, 5, 1, 12, 4, 14, 24, 11, 31, 9, 6, 10, 8, 16, 18, 15, 21, 19, 22, 28, 17, 23, 25, 30], [29, 36, 26, 32, 34, 45, 37, 38, 42, 39, 40, 43, 41, 44], [47, 46, 51, 48, 50, 49, 54, 53, 52, 55, 59, 56, 57, 58, 60]]
7: [[27, 35, 7, 2, 33, 3, 20], [13, 5, 1, 12, 4, 14, 6, 8, 9, 10, 15, 23, 11, 16, 24, 19, 17, 18, 22, 25, 28, 21, 30, 31], [29, 36, 26, 32, 34, 45, 37, 38, 42, 39, 40, 43, 41, 44], [47, 46, 51, 48, 50, 49, 54, 53, 52, 55, 59, 56, 57, 58, 60]]
8: [[27, 35, 7, 2, 33, 3, 20], [13, 5, 1, 12, 4, 14, 6, 8, 9, 10, 15, 31, 19, 11, 22, 16, 23, 18, 17, 30, 24, 21, 25, 28], [29, 36, 26, 32, 34, 45, 37, 38, 42, 39, 40, 43, 41, 44], [47, 46, 51, 48, 50, 49, 54, 53, 52, 55, 59, 56, 57, 58, 60]]
9: [[27, 35, 7, 2, 33, 3, 20], [13, 5, 1, 12, 4, 14, 10, 6, 11, 9, 8, 23, 16, 15, 18, 19, 21, 22, 17, 31, 24, 28, 25, 30], [29, 36, 26, 32, 34, 45, 37, 38, 42, 39, 40, 43, 41, 44], [47, 46, 51, 48, 50, 49, 54, 53, 52, 55, 59, 56, 57, 58, 60]]
10: [[27, 35, 7, 2, 33, 3, 20], [13, 5, 1, 12, 4, 14, 8, 11, 6, 24, 25, 9, 15, 19, 18, 16, 17, 23, 10, 22, 21, 26, 28, 31], [29, 36, 30, 32, 34, 45, 37, 38, 42, 39, 40, 43, 41, 44], [47, 46, 51, 48, 50, 49, 54, 53, 52, 55, 59, 56, 57, 58, 60]]
11: [[27, 35, 7, 2, 33, 3, 20], [13, 5, 1, 12, 4, 14, 6, 10, 9, 8, 26, 23, 24, 17, 11, 28, 21, 15, 16, 18, 31, 19, 25, 22], [29, 36, 30, 32, 34, 45, 37, 38, 42, 39, 40, 43, 41, 44], [47, 46, 51, 48, 50, 49, 54, 53, 52, 55, 59, 56, 57, 58, 60]]
12: [[27, 35, 7, 2, 33, 3, 20], [13, 5, 1, 12, 4, 14, 11, 8, 6, 9, 21, 25, 18, 23, 19, 10, 22, 15, 16, 24, 31, 26, 17, 28], [30, 36, 29, 32, 34, 45, 37, 38, 42, 39, 40, 43, 41, 44], [47, 46, 51, 48, 50, 49, 54, 53, 52, 55, 59, 56, 57, 58, 60]]
13: [[27, 35, 7, 2, 33, 3, 20], [13, 5, 1, 12, 4, 14, 6, 8, 15, 11, 9, 31, 10, 18, 26, 21, 17, 16, 19, 22, 23, 25, 28, 24], [29, 36, 30, 32, 34, 45, 37, 38, 42, 39, 40, 43, 41, 44], [47, 46, 51, 48, 50, 49, 54, 53, 52, 55, 59, 56, 57, 58, 60]]
14: [[27, 35, 7, 2, 33, 3, 20], [13, 5, 1, 12, 4, 14, 6, 8, 9, 11, 26, 23, 10, 15, 24, 16, 17, 18, 21, 19, 22, 25, 28, 31], [29, 36, 30, 32, 34, 45, 37, 38, 42, 39, 40, 43, 41, 44], [47, 46, 51, 48, 50, 49, 54, 53, 52, 55, 59, 56, 57, 58, 60]]
