0: [[15, 2, 7, 17], [19, 1], [3, 8, 4, 11], [5, 6], [9, 13, 10, 14], [20, 25], [16, 18, 23, 12, 22], [21, 27, 26], [28, 24], [29]]
1: [[15, 2, 7, 17], [19, 1], [3, 8, 4, 11], [5, 6], [9, 13, 10, 14], [20, 25], [16, 18, 23, 12, 22], [21, 27, 26], [28, 24], [29]]
2: [[15, 2, 7, 17], [19, 1], [3, 8, 4, 11], [5, 6], [9, 13, 10, 14], [20, 25], [16, 18, 23, 12, 22], [21, 27, 26], [28, 24], [29]]
3: [[15, 2, 7, 17], [19, 1], [3, 8, 4, 11], [5, 6], [9, 13, 10, 14], [20, 25], [16, 18, 23, 12, 22], [21, 27, 26], [28, 24], [29]]
4: [[15, 2, 7, 17], [19, 1], [3, 8, 4, 11], [5, 6], [9, 13, 14, 12], [20, 25], [16, 18, 23, 10], [22, 21, 26], [27, 28, 24, 29]]
5: [[15, 2, 7, 17, 19], [1, 3, 8, 4, 11], [6, 12], [10, 5, 9, 13], [20, 18], [16, 14, 22, 23, 29], [24, 25, 21, 28], [27, 26]]
6: [[15, 2, 7, 17, 19, 1], [3, 8, 4, 11], [5, 6], [9, 12, 10, 14], [20, 23, 22, 13], [16, 25, 21, 24, 26, 27, 18, 28, 29]]
7: [[15, 2, 7, 17, 19, 1], [3, 8, 4, 11], [6, 9, 13, 5, 10], [12, 20, 18, 16], [14, 23], [22, 29, 24, 25, 21, 28], [27, 26]]
8: [[15, 2, 7, 17, 19, 1], [3, 8, 4, 11], [5, 6], [9, 13, 10, 14], [21, 20, 16, 12], [18, 25, 23, 22], [26, 28, 24], [27, 29]]
9: [[15, 2, 7, 17], [19, 1], [3, 8, 4, 11, 13], [6, 9, 5, 22, 12, 10, 20, 29, 18, 14, 16], [21, 23, 24, 25, 28, 27, 26]]
10: [[15, 2, 7, 17, 19, 1, 3, 8, 4, 11, 5, 6, 9, 13, 10, 12, 20], [24, 16, 14, 23, 18, 22], [21, 26, 25, 28, 27, 29]]
11: [[15, 2, 7, 17], [19, 1], [3, 8, 4, 11], [5, 6, 13, 12], [9, 14, 20, 10, 18, 21, 16, 23, 22], [28, 26, 27, 24, 25, 29]]
12: [[15, 2, 7, 17], [19, 1], [3, 8, 4, 11], [5, 6], [10, 13, 9, 14], [21, 12, 16, 18, 22], [23, 20, 24], [27, 28, 25, 26, 29]]
13: [[15, 2, 7, 17, 19], [1, 3, 8, 4, 11], [5, 6, 10, 13, 9], [12, 20], [29, 16, 14, 22, 18], [21, 24, 27], [26, 23, 28, 25]]
14: [[15, 2], [7, 17, 19, 1, 3], [8, 4, 11], [5, 6], [13, 20, 25], [9, 12, 23, 18, 26, 21, 14, 29, 28, 16, 10, 22, 24, 27]]
15: [[15, 2, 7, 17, 19, 1], [3, 8, 4], [11, 6, 5, 9], [13, 12, 10, 20, 22, 18, 14, 23, 21, 24, 27, 25, 26, 16, 28, 29]]
16: [[15, 2, 7, 17, 19], [1, 3], [8, 4, 11, 5], [6, 9], [13, 14, 12, 24], [16, 18, 22, 23, 10], [20, 21, 26, 27, 29], [25, 28]]
17: [[15, 2, 7, 17, 19], [1, 3, 8, 4, 11, 5, 6, 9, 12, 10, 13, 20, 27, 22, 21, 14, 18, 16, 24, 26], [23, 28, 25, 29]]
18: [[15, 2, 7, 17, 19], [1, 3, 8, 4], [11, 5, 6, 9, 12, 10, 14, 20, 29, 16], [22, 13, 18, 21, 27], [23, 25, 26, 28, 24]]
19: [[15, 2, 7, 17, 19], [1, 3, 8, 4], [11, 5, 6, 10, 12, 14, 9, 20, 29, 16], [22, 13, 18, 21, 24, 23, 26, 27, 28, 25]]
20: [[15, 2, 7], [17, 19, 1, 3, 8, 4, 11, 6, 5, 9, 13, 10], [12, 20, 26, 22, 14, 16, 18, 21, 24, 25, 23, 28, 27, 29]]
21: [[15, 2, 7, 17], [19, 1], [3, 8, 4, 11], [13, 6, 9, 5, 10, 12, 20, 14, 18, 21, 23, 25], [16, 24, 27, 22, 29, 26, 28]]
22: [[15, 2, 7, 17], [19, 1], [3, 8, 4, 11], [5, 6], [9, 13, 10, 12], [20, 26], [16, 18, 23], [14, 21, 22, 27, 24, 28], [25, 29]]
23: [[15, 2, 7, 17, 19, 1, 3], [8, 4], [11, 5, 12, 13, 6, 9, 10, 16, 14, 18, 22, 23, 20, 28, 27], [21, 26, 29, 24, 25]]
24: [[15, 2, 7, 17], [19], [1, 3, 8, 4, 11, 5, 6, 10, 12, 13, 14, 20, 28, 16, 9, 22], [18, 21, 29, 23, 27, 24, 26, 25]]
25: [[15, 2, 7, 17], [19, 1], [3, 8, 4, 11], [6, 12], [9, 5, 13, 10], [20, 24], [18, 14, 27, 21], [16, 23, 22], [25, 28, 26, 29]]
26: [[15, 2, 7, 17], [19, 1, 3, 8, 4], [11, 5, 6, 10, 12, 14, 9, 20, 23, 22], [13, 18, 26, 21, 24, 27, 29, 16, 28, 25]]
27: [[15, 2, 7, 17, 19, 1], [3, 8, 4, 11], [5, 6, 9], [13, 10], [14], [21, 25, 18, 12, 26, 16, 22, 20, 23, 27, 24, 28, 29]]
28: [[15, 2], [7, 17, 19, 1], [3, 8, 4], [11, 5, 14, 6], [9, 13, 20, 10, 21, 16, 18, 23, 12, 28, 27, 25, 26, 22, 24, 29]]
29: [[15, 2, 7, 17, 19, 1], [3, 8, 4, 11, 5, 6, 9, 12, 13], [10, 21], [22, 14, 16, 20, 24, 18, 23, 27, 25, 26, 28, 29]]
30: [[15, 2, 7, 17], [19, 1, 3, 8, 4], [11, 5, 6], [9, 13], [10], [14, 20, 25, 16, 22, 23, 12, 18, 21, 24, 27, 28, 26, 29]]
