0: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
1: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
2: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
3: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
4: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
5: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
6: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
7: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
8: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
9: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
10: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
11: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
12: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
13: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
14: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
15: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
16: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
17: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
18: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
19: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
20: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
21: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
22: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
23: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
24: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
25: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
26: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
27: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
28: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
29: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
30: [[12, 5, 4, 16, 6, 3, 20], [2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
31: [[12, 5, 4, 16, 6, 3, 20], [2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
32: [[12, 5, 4, 16, 6, 3, 20], [2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
33: [[12, 5, 4, 16, 6, 3, 20], [2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
34: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9, 10], [14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
35: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9, 10], [14, 7, 13, 11, 8], [15, 17, 18, 19, 22], [23, 21, 24]]
36: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13], [11, 8, 15, 17, 18, 19, 22], [23, 21, 24]]
37: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13], [11, 8, 15, 17, 18, 19, 22], [23, 21, 24]]
38: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13], [11, 8, 15, 17, 18, 19, 22], [23, 21, 24]]
39: [[12, 5, 4, 16, 6, 3], [20, 2, 1], [9, 10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
40: [[12, 5, 4, 16, 6, 3], [20, 2, 1], [9, 10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
41: [[12, 5, 4, 16, 6, 3], [20, 2, 1], [9, 10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
42: [[12, 5, 4, 16, 6, 3], [20, 2, 1], [9, 10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
43: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11, 8], [15, 17, 18, 19], [22, 23, 21, 24]]
44: [[12, 5, 4, 16, 6], [3, 20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22], [23, 21, 24]]
45: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13], [11, 8, 15, 17, 18, 19], [22, 23, 21, 24]]
46: [[12, 5, 4, 16, 6, 3, 20], [2, 1, 9, 10], [14, 7, 13, 11, 8, 15], [17, 18, 19], [22, 23, 21, 24]]
47: [[12, 5, 4, 16, 6], [3, 20, 2, 1], [9, 10, 14, 7, 13], [11, 8, 15, 17, 18, 19, 22], [23, 21, 24]]
48: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11], [8, 15, 17, 18, 19, 22, 23], [21, 24]]
49: [[12, 5, 4, 16, 6, 3], [20, 2, 1, 9], [10, 14, 7, 13, 11, 8], [15, 17, 18, 19, 22, 23], [21, 24]]
