0: [[10, 4, 1, 3, 12, 5, 2], [7, 13], [8, 11, 9, 6]]
1: [[2, 10, 4, 1], [3, 12, 5, 7, 13], [8, 11, 9, 6]]
2: [[2, 10, 4, 1], [3, 12, 5, 7, 13], [8, 11, 9, 6]]
3: [[2, 10, 4, 1], [3, 12, 5, 7, 13], [8, 11, 9, 6]]
4: [[10, 2], [4, 1, 3], [12, 5, 7, 13], [8, 11, 9, 6]]
5: [[10, 2], [4, 1, 3], [12, 5, 7, 13], [8, 11, 9, 6]]
6: [[10, 4, 1, 2], [12], [5, 7, 13, 3], [8, 11, 9, 6]]
7: [[2, 10, 4, 1, 3], [12, 5, 7, 13, 8], [11, 9, 6]]
8: [[2, 10], [4, 1], [3, 12, 5, 7, 13], [8, 11, 9, 6]]
9: [[10, 2], [4, 1, 3], [12, 5], [7, 13], [8, 11, 9, 6]]
10: [[2, 10, 4, 1], [3, 12, 5, 7, 13, 8], [11, 9, 6]]
11: [[10, 2], [1, 3, 12, 5], [7, 13, 8, 11], [9, 6, 4]]
12: [[2, 10, 4, 1], [3, 12, 5, 7], [13, 8, 11, 9, 6]]
13: [[2, 10, 4, 1], [3, 12, 5, 7], [13, 8, 11, 9, 6]]
14: [[2, 10, 4], [1, 3, 12, 5], [7, 13, 8, 11, 9, 6]]
15: [[2, 10], [4, 1], [3, 12, 5], [7, 13], [8, 11], [9, 6]]
16: [[2, 10, 4, 1, 3], [12, 5, 7], [13, 8, 11, 9, 6]]
17: [[2, 10], [4, 1], [3, 12, 5], [7, 13, 8, 11], [9, 6]]
18: [[10, 2], [4, 1, 3], [12, 5, 7], [13, 8, 11, 9, 6]]
19: [[10, 2], [1, 3, 4], [12, 5, 7, 13, 8, 11], [9, 6]]
20: [[2, 10], [4, 1], [3, 12, 5, 7], [13, 8, 11, 9, 6]]
21: [[2, 10], [4, 1], [3, 12, 5, 7], [13, 8, 11, 9, 6]]
22: [[10, 2], [1, 3, 4], [12, 5], [7, 13, 8, 11], [9, 6]]
23: [[10, 2], [1, 3, 12, 4], [5, 7, 13, 8], [11, 9, 6]]
24: [[2, 10, 4, 1], [3, 12, 5, 7, 13, 8, 11], [9, 6]]
25: [[2, 10], [4, 1], [3, 12], [5, 7, 13], [8, 11, 9, 6]]
26: [[2, 10], [4, 1], [3, 12], [5, 7, 13, 8, 11], [9, 6]]
27: [[2], [10, 4, 1, 3, 12, 5, 7, 13, 8, 11, 9], [6]]
