0: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
1: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
2: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
3: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
4: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
5: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
6: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
7: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
8: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
9: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
10: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
11: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
12: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
13: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
14: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
15: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
16: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
17: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
18: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
19: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
20: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
21: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
22: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
23: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
24: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
25: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
26: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
27: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
28: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
29: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
30: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
31: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
32: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
33: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
34: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
35: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
36: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
37: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
38: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
39: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
40: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
41: [[5, 3, 4], [10, 8], [2, 1, 7], [14, 15, 11, 13, 12, 16, 6, 9], [17, 19, 20, 18]]
