0: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
1: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
2: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
3: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
4: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
5: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
6: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
7: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
8: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
9: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
10: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
11: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
12: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
13: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
14: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
15: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
16: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
17: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
18: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
19: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
20: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
21: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
22: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
23: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
24: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
25: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
26: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
27: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
28: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
29: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
30: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
31: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
32: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
33: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
34: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
35: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
36: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
37: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
38: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
39: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
40: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
41: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
42: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
43: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
44: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
45: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
46: [[19, 1, 11, 7, 16], [2, 24, 21, 23], [12, 6, 3, 5, 13], [15, 18, 9, 17, 8], [22, 10, 14, 4, 20]]
