0: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
1: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
2: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
3: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
4: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
5: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
6: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
7: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
8: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
9: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
10: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
11: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
12: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
13: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
14: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
15: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
16: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
17: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
18: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
19: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
20: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
21: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
22: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
23: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
24: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
25: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
26: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
27: [[6, 2, 19, 7, 1, 5], [11, 3, 8, 4, 15, 13, 12], [9, 24, 18, 10, 14], [17, 20, 16, 23, 28, 22], [27, 25, 21, 26, 29]]
