0: [[2, 19, 1], [3, 13, 6], [4, 5], [8, 9], [10, 14], [7, 11], [15, 12], [17, 16, 18, 20, 22], [21, 23, 24]]
1: [[2, 19, 1], [3, 13, 6], [4, 5], [8, 9], [10, 14], [7, 11], [15, 12], [17, 16], [18, 20, 22], [21, 23, 24]]
2: [[2], [6, 3], [4, 5], [8, 9, 19, 1, 13], [10, 14], [7, 11], [15, 12], [17, 16], [18, 20, 22], [21, 23, 24]]
3: [[2], [13, 6, 4, 5], [8, 9], [10, 14], [7, 11], [15, 12, 19], [17, 16, 1, 3], [18, 20, 22], [21, 23, 24]]
4: [[2], [6, 13], [4, 5], [8, 9], [10, 14, 7], [11, 15], [12, 17, 19], [16, 18, 3], [20, 22, 1], [21, 23, 24]]
5: [[2], [6, 3], [4, 5], [8, 9, 19, 1, 13], [10, 14], [7, 11], [15, 12], [17, 16], [18, 20], [22, 21, 23, 24]]
6: [[2], [6, 3], [4, 5], [8, 9, 19, 1, 13], [10, 14], [7, 11], [15, 12], [17, 16], [18, 20], [22, 21, 23, 24]]
7: [[2], [6, 3], [4, 5], [8, 9, 19, 1, 13], [10, 14], [7, 11], [15, 12], [17, 16], [18, 20], [22, 21, 23, 24]]
8: [[2], [6, 3], [4, 5], [8, 9, 19, 1, 13], [10, 14], [7, 11], [15, 12], [17, 16, 18, 20], [22, 21], [23, 24]]
9: [[2], [13, 6], [4, 5], [8, 9], [10, 14], [7, 11, 15], [12, 17, 19], [16, 18, 20, 1, 3], [22, 21, 23, 24]]
10: [[2], [13, 6, 4, 5], [8, 9, 19, 1], [10, 14], [7, 11], [15, 12, 17, 16, 18, 3], [20, 22, 21], [23, 24]]
11: [[2], [6, 13], [4, 5], [8, 9, 10], [14, 7], [11, 15], [12, 17, 19], [16, 18, 3], [20, 22, 1], [21, 23, 24]]
12: [[2], [6, 13], [4, 5], [8, 9, 10], [14, 7], [11, 15], [12, 17, 19], [16, 18, 3], [20, 22, 1], [21, 23, 24]]
13: [[2], [6, 13], [4, 5], [8, 9, 10], [14, 7], [11, 15], [12, 17, 19], [16, 18, 3], [20, 22, 1], [21, 23, 24]]
14: [[2], [13, 6, 1], [4, 5], [8, 9, 19], [10, 14], [7, 11], [15, 12, 17, 16, 18, 3], [20, 22, 21, 23, 24]]
15: [[2], [6, 3], [4, 5, 19], [8, 9, 13], [10, 14], [7, 11], [15, 12, 17, 16], [18, 20, 1], [22, 21], [23, 24]]
16: [[2], [13, 6], [4, 5], [8, 9, 19, 1], [10, 14], [7, 11], [15, 12], [17, 16, 3], [18, 20], [22, 21], [23, 24]]
17: [[2, 19, 1], [3, 13, 6], [4, 5], [8, 9], [10, 14], [7, 11], [15, 12], [17, 16], [18, 20], [22, 21], [23, 24]]
18: [[2], [6, 13], [4, 5, 8], [9, 10, 1], [14, 7], [11, 15], [12, 17, 19], [16, 18, 3], [20, 22], [21, 23, 24]]
19: [[2], [6, 3], [4, 5], [8, 9, 19, 1, 13], [10, 14], [7, 11], [15, 12], [17, 16], [18, 20], [22, 21], [23, 24]]
20: [[2], [6, 3], [4, 5], [8, 9, 19, 1, 13], [10, 14], [7, 11], [15, 12], [17, 16], [18, 20], [22, 21], [23, 24]]
21: [[2], [6, 3], [4, 5], [8, 9, 19, 1, 13], [10, 14], [7, 11], [15, 12], [17, 16], [18, 20], [22, 21], [23, 24]]
22: [[2], [6, 3], [4, 5], [8, 9, 19, 1, 13], [10, 14], [7, 11], [15, 12], [17, 16], [18, 20], [22, 21], [23, 24]]
23: [[2], [6, 3], [4, 5], [8, 9, 19, 1, 13], [10, 14], [7, 11], [15, 12], [17, 16], [18, 20], [22, 21], [23, 24]]
24: [[2], [6, 3], [4, 5], [8, 9, 19, 1, 13], [10, 14], [7, 11], [15, 12], [17, 16], [18, 20], [22, 21], [23, 24]]
25: [[2], [6, 3], [4, 5], [8, 9, 19, 1, 13], [10, 14], [7, 11], [15, 12], [17, 16], [18, 20], [22, 21], [23, 24]]
26: [[2], [6, 3], [4, 5], [8, 9, 19, 1, 13], [10, 14], [7, 11], [15, 12], [17, 16], [18, 20], [22, 21], [23, 24]]
27: [[2], [6, 3], [4, 5], [8, 9, 19, 1, 13], [10, 14], [7, 11], [15, 12], [17, 16], [18, 20], [22, 21], [23, 24]]
28: [[2], [6, 3], [4, 5], [8, 9, 19, 1, 13], [10, 14], [7, 11], [15, 12], [17, 16], [18, 20, 22, 21], [23, 24]]
29: [[2], [13, 6, 4, 1], [5, 8], [9, 10, 14], [7, 11], [15, 12, 19], [17, 16, 3], [18, 20], [22, 21], [23, 24]]
30: [[2], [6, 4, 3], [5, 8, 13], [9, 10, 19, 1], [14, 7, 11], [15, 12], [17, 16], [18, 20], [22, 21], [23, 24]]
31: [[2], [6, 3], [4, 5, 19], [8, 9, 13], [10, 14], [7, 11], [15, 12, 17, 16], [18, 20, 1], [22, 21, 23], [24]]
32: [[2], [13, 6, 1], [4, 5], [8, 9], [10, 14], [7, 11], [15, 12, 19], [17, 16, 3], [18, 20, 22, 21, 23, 24]]
33: [[2], [13, 6, 1], [4, 5], [8, 9], [10, 14], [7, 11], [15, 12, 19], [17, 16, 3], [18, 20, 22, 21, 23, 24]]
34: [[2], [6, 3], [4, 5], [8, 9, 10, 1, 13], [14, 7], [11, 15], [12, 17, 19], [16, 18, 20], [22, 21], [23, 24]]
35: [[2], [6, 4], [5, 8, 13], [9, 10, 1], [14, 7], [11, 15], [12, 17, 19], [16, 18, 20, 3], [22, 21], [23, 24]]
36: [[2], [6, 4], [5, 8, 13], [9, 10, 1], [14, 7], [11, 15], [12, 17, 19], [16, 18, 20, 3], [22, 21], [23, 24]]
37: [[2], [13, 6, 1, 3], [4, 5], [8, 9], [10, 14], [7, 11], [15, 12, 17, 19], [16, 18, 20, 22, 21, 23, 24]]
38: [[2], [13, 6, 1, 3], [4, 5], [8, 9], [10, 14], [7, 11], [15, 12, 19], [17, 16, 18, 20, 22, 21, 23, 24]]
